鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,土地,新光段214地號,1081.0,,特定農業區,農牧用地,1120412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,40000,37,,0.0,0,,RPPNMLLKNHIGFBM28CC
南投市,房地(土地+建物)+車位,南投縣南投市南崗二路３３６號４樓之２,16.73,住,,,1120506,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,132.71,3,2,2,有,有,有,18000,136,坡道機械,0.0,0,含管理費,RPPNMLMKNHIGFAM28CC
草屯鎮,房地(土地+建物),南投縣草屯鎮民生二街４３號２樓之２,12.03,住,,,1120512,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,79.69,2,1,1,有,無,有,13000,163,,0.0,0,,RPPNMLSKNHIGFBM98CC
草屯鎮,建物,南投縣草屯鎮富中路６９號四樓,0.0,住,,,1120523,土地0建物0車位0,四層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.620000000000005,1,0,1,有,有,有,6400,170,,0.0,0,,RPPNMLLMNHIGFBM48CC
名間鄉,房地(土地+建物),南投縣名間鄉田寮巷１０之１號,4346.6,,特定農業區,丁種建築用地,1120526,土地4建物1車位0,見其他登記事項,2,廠辦,廠房、機電室,鋼架有牆,0870713,2925.48,0,0,0,無,無,有,300000,103,,0.0,0,,RPPNMLLJOHIGFAM18CC
南投市,房地(土地+建物),南投縣南投市嘉和一路２號,59.0,住,,,1120524,土地1建物1車位0,全,3,透天厝,商業用,鋼筋混凝土加強磚造,0710830,165.87,4,2,3,有,無,有,13000,78,,0.0,0,,RPPNMLMJOHIGFAM28CC
南投市,房地(土地+建物),南投縣南投市南崗二路３１９號一樓二樓,104.0,住,,,1120516,土地1建物1車位0,全,4,透天厝,補習班、住宅,鋼筋混凝土造,0880303,116.97,4,0,2,有,無,有,32000,274,,0.0,0,,RPQNMLMJOHIGFAM38CC
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮新富寮１２９號９樓之３,3272.4,住,,,1120608,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100910,75.1,3,2,2,有,無,有,30000,399,坡道平面,0.0,0,,RPPNMLTJOHIGFBM09CC
草屯鎮,房地(土地+建物),南投縣草屯鎮建興巷２６９號,84.03,住,,,1120604,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0601230,76.5,0,0,0,無,無,無,18000,235,,0.0,0,,RPQNMLTJOHIGFBM56CC
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段８５-１０號６樓,23.09,住,,,1120606,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870306,115.53,3,2,2,有,有,有,12000,104,升降機械,0.0,0,,RPPNMLNKOHIGFAM48CC
南投市,房地(土地+建物),南投縣南投市育樂路２７號５樓,18.11,住,,,1120524,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820322,109.76,3,2,2,有,有,有,12000,109,,0.0,0,,RPQNMLNKOHIGFAM58CC
南投市,房地(土地+建物),南投縣南投市大同南街８３號,113.0,商,,,1120605,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土加強磚造,0620613,187.49,4,3,4,有,無,無,33000,176,,0.0,0,,RPQNMLOKOHIGFAM68CC
草屯鎮,房地(土地+建物),南投縣草屯鎮建國街２３之４號,10.0,住,,,1120517,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土加強磚造,0660423,99.0,3,1,2,有,無,無,12000,121,,0.0,0,,RPPNMLOKOHIGFBM68CC
名間鄉,建物,南投縣名間鄉彰南路５４０之１號,0.0,,鄉村區,乙種建築用地,1120606,土地0建物1車位0,一層,1,其他,住家用,鋼骨造,1060612,116.49,0,1,1,有,無,無,19900,171,,0.0,0,112年6月6日起至112年11月5日每月新台幣壹萬元,RPRNMLOKOHIGFAM88DC
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮新富路１２９號之６,3272.4,住,,,1120615,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100910,56.55,2,1,2,有,無,有,23000,407,坡道機械,0.0,0,,RPPNMLTKOHIGFBM56CC
草屯鎮,建物,南投縣草屯鎮富中路６７號六樓,0.0,住,,,1120614,土地0建物0車位0,六層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.4,1,0,1,有,有,有,6400,171,,0.0,0,,RPPNMLLLOHIGFBM48CC
草屯鎮,建物,南投縣草屯鎮富中路６９號六樓,0.0,住,,,1120616,土地0建物0車位0,六層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.620000000000005,1,0,1,有,有,有,6400,170,,0.0,0,,RPQNMLLLOHIGFBM58CC
南投市,房地(土地+建物),南投縣南投市成功三路１９８號,9283.0,,工業區,丁種建築用地,1120526,土地2建物2車位0,見其他登記事項,1,廠辦,防空避難室、廠房,鋼構造、ＲＣ造,0810429,3666.92,0,0,0,無,無,有,912600,249,,0.0,0,133建號為1~3層樓120建號為1層樓租金第1-5年912600第6-10年1404000皆營業稅外加租賃範圍不含預計施工太陽能板座落之屋頂A區。,RPPNMLLLOHIGFAM38CC
南投市,房地(土地+建物),南投縣南投市育樂路３７-８號８樓,18.22,住,,,1120625,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820322,106.97,3,1,2,有,有,有,15000,140,,0.0,0,,RPPNMLSLOHIGFAM09CC
南投市,房地(土地+建物),南投縣南投市祖祠路２５４巷９號,82.0,住,,,1120630,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0681218,104.65,4,2,3,有,無,無,12000,115,,0.0,0,,RPPNMLKMOHIGFAM38CC
