編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLJOHIGFAM18CC,25,2925.48,廠房、機電室,鋼架有牆,87年7月13日,二層,,
RPPNMLSKNHIGFBM98CC,29,61.73,住家用,鋼筋混凝土造,83年4月11日,八層,,
RPPNMLSKNHIGFBM98CC,29,17.96,防空避難室、停車場、機械室、門廳、車道、梯間,鋼筋混凝土造,83年4月11日,八層,,
RPPNMLLMNHIGFBM48CC,8,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLMNHIGFBM48CC,8,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLMKNHIGFAM28CC,24,132.71,住家用,鋼筋混凝土造,88年2月12日,十二層,,
RPPNMLMJOHIGFAM28CC,41,165.87,商業用,鋼筋混凝土加強磚造,71年8月30日,三層,,
RPQNMLTJOHIGFBM56CC,51,76.50,住家用,鋼筋混凝土加強磚造,60年12月30日,二層,,
RPPNMLTJOHIGFBM09CC,2,75.10,集合住宅,鋼筋混凝土造,110年9月10日,十五層,,
RPQNMLNKOHIGFAM58CC,30,84.26,住家用,鋼筋混凝土造,82年3月22日,八層,,
RPPNMLNKOHIGFAM48CC,25,91.33,住家用,鋼筋混凝土造,87年3月6日,九層,,
RPQNMLNKOHIGFAM58CC,30,25.50,防空避難室、人行道、電梯,鋼筋混凝土造,82年3月22日,八層,,
RPPNMLNKOHIGFAM48CC,25,13.00,停車空間,鋼筋混凝土造,87年3月6日,九層,,
RPPNMLNKOHIGFAM48CC,25,11.20,梯間、管理員室、水箱、機械間,鋼筋混凝土造,87年3月6日,九層,,
RPQNMLMJOHIGFAM38CC,24,116.97,補習班、住宅,鋼筋混凝土造,88年3月3日,四層,,
RPQNMLOKOHIGFAM68CC,50,187.49,住商用,鋼筋混凝土加強磚造,62年6月13日,二層,,
RPPNMLOKOHIGFBM68CC,46,99.00,住家用,鋼筋混凝土加強磚造,66年4月23日,五層,,
RPPNMLTKOHIGFBM56CC,2,56.55,集合住宅,鋼筋混凝土造,110年9月10日,十五層,,
RPPNMLLLOHIGFBM48CC,8,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLLOHIGFBM48CC,8,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLLLOHIGFBM58CC,8,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLLLOHIGFBM58CC,8,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLLOHIGFAM38CC,,526.58,辦公室、單身宿舍,鋼筋混凝土造,,三層,,
RPPNMLLLOHIGFAM38CC,31,3140.34,防空避難室、廠房,鋼構造、ＲＣ造,81年4月29日,一層,,
RPPNMLKMOHIGFAM38CC,44,104.65,住商用,鋼筋混凝土加強磚造,68年12月18日,二層,,
RPPNMLNJPHIGFBM58CC,32,23.45,住家用,鋼筋混凝土造,80年9月20日,九層,,
RPPNMLNJPHIGFBM58CC,32,8.66,梯間、通道、機房、水箱,鋼筋混凝土造,80年9月20日,九層,,
RPPNMLNJPHIGFBM58CC,32,4.71,避難室、梯間、變電室、水箱、機械室,鋼筋混凝土造,80年9月20日,十一層,,
RPPNMLNJPHIGFAM48CC,2,19.83,住宅、樓梯間,鋼筋混凝土造,110年7月14日,四層,,
RPPNMLSLOHIGFAM09CC,30,85.58,住家用,鋼筋混凝土造,82年3月22日,八層,,
RPPNMLSLOHIGFAM09CC,30,21.39,防空避難室、人行道、電梯,鋼筋混凝土造,82年3月22日,八層,,
RPPNMLQJPHIGFAM78CC,25,26.44,住商用,鋼筋混凝土造,87年1月6日,四層,,
RPRNMLKKPHIGFBM58CC,8,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLKKPHIGFBM58CC,8,14.03,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLOKPHIGFAM78CC,29,1822.18,廠房、防空避難室,ＲＣ造、鋼架造有牆,83年1月20日,三層,,
RPQNMLKKPHIGFBM48CC,8,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLKKPHIGFBM48CC,8,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLKPHIGFAM38CC,1,138.55,集合住宅、停車空間,鋼筋混凝土造,111年1月27日,三層,,
RPPNMLTKPHIGFBM66CC,8,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLTKPHIGFBM66CC,8,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLTKPHIGFBM76CC,8,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLTKPHIGFBM76CC,8,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLOLPHIGFAM78CC,45,164.22,住商用,鋼筋混凝土加強磚造,67年12月19日,三層,,
RPQNMLQLPHIGFBM56CC,43,65.07,住商用,鋼筋混凝土造,69年11月8日,三層,,
RPPNMLLMPHIGFBM68CC,31,60.23,住家用,鋼筋混凝土造,81年2月21日,六層,,
RPRNMLQLPHIGFBM66CC,22,122.13,住商用,鋼骨鋼筋混凝土造,90年3月21日,三層,,
RPPNMLLMPHIGFBM68CC,31,26.65,地下層、梯間、走道、玄關、機房、變電室,鋼筋混凝土造,81年2月21日,六層,,
RPQNMLLMPHIGFDM98CC,27,242.33,住商用,鋼筋混凝土造,85年3月1日,四層,,
RPRNMLLJQHIGFCM78CC,31,395.62,農舍,鋼造,81年9月9日,二層,,
RPPNMLMJQHIGFAM48CC,9,270.62,住宅、水箱、停車空間,鋼筋混凝土造,103年10月23日,四層,,
RPPNMLRJQHIGFCM56CC,31,150.78,住商用,鋼筋混凝土造,82年1月20日,四層,,
RPRNMLOKOHIGFAM88DC,6,116.49,住家用,鋼骨造,106年6月12日,一層,,
