鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
彰化市,土地,新快官段779地號,3469.11,,鄉村區,乙種建築用地,1120818,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,126000000,36321,,0.0,0,,RPXNMLPKOHIGFAN86DA,0.0,0.0,0.0,無,
溪州鄉,房地(土地+建物),彰化縣溪州鄉中央路三段４８之１號,236.0,,特定農業區,甲種建築用地,1120801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0851114,331.43,9,3,4,有,無,10300000,31077,,0.0,0,,RPTNMLTJQHIGFFN47DA,320.48,0.0,10.95,無,0001
田尾鄉,土地,福德段1203-9地號,95.64,,鄉村區,乙種建築用地,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2314480,24200,,0.0,0,,RPRNMLKKQHIGFFN09DA,0.0,0.0,0.0,無,0002
田尾鄉,土地,三豐段736-1地號,660.0,,特定農業區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,2727,,0.0,0,,RPVNMLRJQHIGFFN47DA,0.0,0.0,0.0,無,
二林鎮,土地,新萬合段217地號,1004.63,,特定農業區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,1692,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLJQHIGFGN76DA,0.0,0.0,0.0,無,
二林鎮,土地,儒興段805地號,114.54,住,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4503000,39314,,0.0,0,,RPTNMLTJQHIGFGN57DA,0.0,0.0,0.0,無,0003
彰化市,土地,三村段607地號,22.31,,鄉村區,乙種建築用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,417000,18691,,0.0,0,地清或未辦繼承標售；,RPPNMLLKQHIGFAN58EA,0.0,0.0,0.0,無,
彰化市,建物,彰化縣彰化市景宗街６６巷２３號,0.0,,,,1120802,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870512,192.94,4,3,4,有,無,3000000,15549,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKQHIGFAN58DA,186.91,0.0,6.03,無,
彰化市,土地,彰化段西門小段390-1地號,37.52,都市：其他:道路用地,,,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,723492,19283,,0.0,0,包含公共設施保留地用地；,RPSNMLLKQHIGFAN78DA,0.0,0.0,0.0,無,
