編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLTJQHIGFFN47DA,27,331.43,住家用,鋼筋混凝土造,85年11月14日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLLKQHIGFAN58DA,25,192.94,住家用,鋼筋混凝土造,87年5月12日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPPNMLOKQHIGFAN78DA,30,68.90,商業用,鋼筋混凝土造,82年9月23日,七層,一層 平台 騎樓,全筆移轉
RPPNMLOKQHIGFAN78DA,30,2.37,停車空間、避難室、通道、梯間,鋼筋混凝土造,82年9月23日,七層,,持分移轉
RPQNMLOKQHIGFDN56DA,1,166.49,住宅,鋼筋混凝土造,111年5月6日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLPKQHIGFAN98EA,32,37.32,住家用,鋼筋混凝土造,80年5月14日,七層,六層 陽台,持分移轉
RPPNMLPKQHIGFAN98EA,32,16.58,梯間,鋼筋混凝土造,80年5月14日,七層,,持分移轉
RPTNMLRJQHIGFCN96DA,35,102.16,住商用,鋼筋混凝土造,77年10月20日,二層,一層 二層 騎樓,全筆移轉
RPPNMLRKQHIGFAN09DA,28,162.69,農舍,鋼筋混凝土造,84年11月21日,三層,一層 二層 三層,全筆移轉
RPOOMLRKQHIGFBN56DA,7,274.22,住宅、停車空間、樓梯間,鋼筋混凝土造,105年4月22日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLRKQHIGFGN17DA,27,9.59,梯間．走廊．防空避難室．（公共設施）．停車空間門廳,鋼筋混凝土造,85年6月26日,八層,,持分移轉
RPQNMLRKQHIGFGN17DA,27,23.52,集合住宅,鋼筋混凝土造,85年6月26日,八層,三層 陽台,全筆移轉
RPSNMLRKQHIGFGN37DA,27,9.43,梯間．走廊．防空避難室．（公共設施）．停車空間門廳,鋼筋混凝土造,85年6月26日,八層,,持分移轉
RPSNMLRKQHIGFGN37DA,27,24.19,集合住宅,鋼筋混凝土造,85年6月26日,八層,五層 陽台,全筆移轉
RPRNMLRKQHIGFGN27DA,27,9.59,梯間．走廊．防空避難室．（公共設施）．停車空間門廳,鋼筋混凝土造,85年6月26日,八層,,持分移轉
RPRNMLRKQHIGFGN27DA,27,23.76,集合住宅,鋼筋混凝土造,85年6月26日,八層,三層 陽台,全筆移轉
RPPNMLLKQHIGFHN56DA,28,78.20,住家用,鋼筋混凝土造,84年5月8日,八層,四層 陽台 花台,全筆移轉
RPPNMLLKQHIGFHN56DA,28,30.61,共有部份,鋼筋混凝土造,84年5月8日,八層,,持分移轉
RPVNMLRKQHIGFAN07DA,40,112.56,住家用,加強磚造,72年9月12日,二層,一層 二層,全筆移轉
RPRNMLKKQHIGFHN66DA,,182.07,住家用,鋼筋混凝土造,112年3月24日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSOMLNLQHIGFAN56DA,49,85.60,住家用,鋼筋混凝土加強磚造,63年12月31日,二層,一層 二層,全筆移轉
RPTNMLNLQHIGFAN56DA,42,163.20,住商用,鋼筋混凝土造,70年6月13日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLOJQHIGFAN88DA,44,101.88,住家用,鋼筋混凝土加強磚造,68年7月18日,二層,一層 二層,全筆移轉
RPUNMLNLQHIGFAN66DA,41,81.57,住商用,鋼筋混凝土造,71年3月30日,三層,一層 二層 三層 騎樓,持分移轉
RPPNMLOLQHIGFAN98EA,25,47.15,集合住宅,鋼筋混凝土造,88年2月10日,九層,九層 陽台,持分移轉
RPPNMLOLQHIGFAN98EA,25,14.35,社區辦公室梯間、避難室、停車空間、娛樂室、機械室、水箱,鋼筋混凝土造,88年2月10日,九層,,持分移轉
RPPNMLNLQHIGFAN88EA,7,183.74,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLPLQHIGFAN56EA,42,164.88,住商用,鋼筋混凝土造,70年5月25日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLOLQHIGFDN86DA,32,122.07,住家用,鋼筋混凝土造,80年11月16日,九層,一層 二層 陽台 平台,全筆移轉
RPSNMLOLQHIGFDN86DA,32,11.05,共有部份,鋼筋混凝土造,80年11月16日,九層,,持分移轉
RPSNMLOLQHIGFDN86DA,32,9.59,共有部份,鋼筋混凝土造,80年11月16日,九層,,持分移轉
RPSNMLOLQHIGFDN86DA,32,9.79,停車空間,鋼筋混凝土造,80年11月16日,九層,地下層,持分移轉
RPTNMLOLQHIGFDN96DA,27,17.42,住家用,鋼筋混凝土造,85年2月12日,十三層,六層 陽台,全筆移轉
RPPNMLSJQHIGFFN96DA,40,42.20,住家用,磚造,72年2月21日,一層,一層,全筆移轉
RPTNMLOLQHIGFDN96DA,27,9.08,陽台、水塔、車道、機械室、梯間、機房、電梯、樓梯、受電室,鋼筋混凝土造,85年2月12日,十三層,,持分移轉
RPOOMLPLQHIGFAN98DA,3,157.95,住宅、停車空間,鋼筋混凝土造,109年12月21日,四層,一層 二層 三層 四層,全筆移轉
RPRNMLSLQHIGFCN07DA,1,171.52,住宅、人行道、停車空間、樓梯間,鋼筋混凝土造,111年9月21日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項,全筆移轉
