鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉中正路２０２號,90.71,住,,,1120418,土地1建物1車位0,見其他登記事項,4,店面(店鋪),騎樓、住宅、樓梯間,鋼筋混凝土造,1070122,170.67,3,2,3,有,無,無,20000,117,,0.0,0,,RPPNMLLKNHIGFHN98CC
溪湖鎮,建物,彰化縣溪湖鎮二溪路一段４５２號,103.5,住,,,1120512,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0790111,103.5,1,1,1,有,無,有,23000,222,,0.0,0,,RPPNMLMKNHIGFHN09CC
彰化市,建物,彰化縣彰化市埔內街４８０巷２弄２號,0.0,住,,,1120508,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土加強磚造,0590302,18.18,1,0,1,有,無,有,7500,413,,0.0,0,,RPPNMLMKNHIGFAN38CC
員林市,房地(土地+建物),彰化縣員林市中山路二段１４０號,88.82,住,,,1120417,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720627,156.36,0,0,0,無,無,有,7000,45,,0.0,0,,RPQNMLMKNHIGFDN78CC
彰化市,土地,牛稠子段中庄子小段66-34地號,250.0,,鄉村區,乙種建築用地,1120401,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,120,,0.0,0,C1NA11204010001,RPQNMLPKNHIGFAN78CC
彰化市,房地(土地+建物),彰化縣彰化市彰化市進德路３２號,15.73,住,,,1120503,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土加強磚造,0620926,22.33,3,1,2,有,無,無,17000,761,,0.0,0,1. 3樓為鐵皮加建使用。2. 115年8月1 日至117年7月31日租金為19800元。,RPSNMLPKNHIGFAN09DC
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮光平街８８號２F,39.68,商,,,1120505,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),人行道、店舖、集合住宅,鋼筋混凝土造,1110613,60.62,1,0,1,有,有,有,15000,247,,0.0,0,,RPPNMLQKNHIGFHN86CC
彰化市,房地(土地+建物),彰化縣彰化市自強路９號,111.0,住,,,1120516,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0961126,45.79,3,2,2,有,無,有,13000,284,,0.0,0,,RPPNMLQKNHIGFAN78CC
彰化市,房地(土地+建物),彰化縣彰化市城中街２０號,93.0,商,,,1120524,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土加強磚造,0630410,237.6,0,0,0,無,無,無,16000,67,,0.0,0,,RPPNMLOLNHIGFAN68CC
彰化市,建物,彰化縣彰化市中山路一段１１９巷７７號三樓之３,0.0,住,,,1120515,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101013,150.95999999999998,3,2,2,有,有,有,18000,119,坡道平面,29.75,0,,RPPNMLTLNHIGFAN56CC
員林市,房地(土地+建物),彰化縣員林市中正路５６９號,62.0,商,,,1120517,土地2建物1車位0,見其他登記事項,4,店面(店鋪),人行道、店舖、住家,鋼筋混凝土造,0710709,196.96,5,1,4,有,無,無,30000,152,,0.0,0,,RPPNMLTLNHIGFDN86CC
員林市,房地(土地+建物),彰化縣員林市至平街５２號,220.35,住,,,1120505,土地1建物1車位0,全,2,透天厝,店鋪、住宅,鋼骨造,1060720,247.11,0,0,0,無,無,無,59165,239,,0.0,0,,RPPNMLKMNHIGFDN68CC
