編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKNHIGFHN09CC,33,103.50,住商用,鋼筋混凝土造,79年1月11日,四層,,
RPQNMLMKNHIGFDN78CC,40,156.36,住商用,鋼筋混凝土造,72年6月27日,四層,,
RPPNMLLKNHIGFHN98CC,5,170.67,騎樓、住宅、樓梯間,鋼筋混凝土造,107年1月22日,四層,,
RPPNMLQKNHIGFHN86CC,1,60.62,人行道、店舖、集合住宅,鋼筋混凝土造,111年6月13日,七層,,
RPPNMLQKNHIGFAN78CC,15,45.79,住家用,鋼筋混凝土造,96年11月26日,四層,,
RPPNMLTLNHIGFAN56CC,2,80.24,集合住宅,鋼筋混凝土造,110年10月13日,十五層,,
RPPNMLTLNHIGFAN56CC,2,70.72,停車空間、水箱、消防機房、污雨水機房、防空避難室兼停車空間、台電配電室、電信室、發電機室、管委會、公共服務空間、梯廳、梯間、機房、機械室,鋼筋混凝土造,110年10月13日,十五層,,
RPPNMLOLNHIGFAN68CC,49,237.60,住商用,鋼筋混凝土加強磚造,63年4月10日,四層,,
RPPNMLTLNHIGFDN86CC,41,196.96,人行道、店舖、住家,鋼筋混凝土造,71年7月9日,四層,,
RPPNMLMKNHIGFAN38CC,53,18.18,住家用,鋼筋混凝土加強磚造,59年3月2日,二層,,
RPPNMLKMNHIGFDN68CC,6,247.11,店鋪、住宅,鋼骨造,106年7月20日,二層,,
RPPNMLLMNHIGFDN78CC,17,280.64,店舖、停車空間、住宅、機電設備空間,鋼筋混凝土造,95年7月20日,五層,,
RPQNMLMJOHIGFGN09CC,3,125.29,住家用,鋼筋混凝土造,109年6月22日,四層,,
RPRNMLSJOHIGFHN27CC,3,191.43,住宅、門廊,鋼筋混凝土造,109年10月8日,四層,,
RPPNMLRJOHIGFAN88CC,43,16.50,店舖、住宅,鋼筋混凝土造,68年12月18日,四層,,
RPPNMLKKOHIGFAN28CC,28,40.82,住家用,鋼筋混凝土造,84年7月5日,五層,,
RPPNMLPKOHIGFGN76CC,3,89.71,住家用,鋼筋混凝土造,109年6月22日,四層,,
RPPNMLQKOHIGFDN56CC,30,96.48,住商用,鋼筋混凝土造,82年11月4日,五層,,
RPPNMLOKOHIGFGN66CC,4,245.04,住商用,鋼筋混凝土造,108年2月20日,三層,,
RPPNMLTKOHIGFBN66CC,46,150.57,住商用,鋼筋混凝土加強磚造,66年6月14日,三層,,
RPPNMLKLOHIGFDN68CC,1,510.81,店鋪、住宅,鋼骨造有牆,110年12月22日,二層,,
RPRNMLQLOHIGFAN56CC,48,16.50,住家用,鋼筋混凝土加強磚造,64年10月14日,二層,,
RPQNMLKLOHIGFDN78CC,46,39.53,住家用,鋼筋混凝土加強磚造,66年6月11日,三層,,
RPQNMLQLOHIGFAN09CC,1,52.39,集合住宅,鋼筋混凝土造,111年5月4日,十層,,
RPQNMLQLOHIGFAN09CC,1,22.13,台電配電室、機械室、停車空間兼防空避難室、緊急發電機房、梯廳、安全梯、管理委員會使用空間、電信機房、樓梯間、機房,鋼筋混凝土造,111年5月4日,十層,,
RPPNMLSLOHIGFDN86CC,1,150.96,住宅、停車空間,鋼筋混凝土造,111年1月19日,四層,,
RPRNMLNJPHIGFAN78CC,57,131.56,住家用,鋼筋混凝土加強磚造,55年7月2日,二層,,
RPRNMLNJPHIGFAN78CC,57,52.54,住家用,鋼筋混凝土加強磚造,55年7月2日,二層,,
RPQNMLNJPHIGFAN68CC,25,106.25,住家用,鋼筋混凝土造,87年6月10日,十四層,,
RPQNMLNJPHIGFAN68CC,25,41.36,梯間、機械室、避難室．水箱,鋼筋混凝土造,87年6月10日,十四層,,
RPPNMLNJPHIGFAN58CC,31,114.82,住家用,鋼筋混凝土造,81年1月17日,九層,,
RPPNMLNJPHIGFAN58CC,31,32.71,避難室、停車空間、梯間、頂蓋型、開放空間、通道,鋼筋混凝土造,81年1月17日,九層,,
RPPNMLOJPHIGFDN98CC,48,67.25,住家用,加強磚造,64年6月3日,一層,,
RPPNMLPJPHIGFDN09CC,5,29.75,騎樓、停車空間、樓梯間、住宅、水塔間、電梯機房,鋼筋混凝土造,107年8月15日,五層,,
RPPNMLQJPHIGFDN56CC,40,14.70,住商用,鋼筋混凝土造,72年6月27日,四層,,
RPPNMLQJPHIGFDN56CC,40,38.64,住商用,鋼筋混凝土造,72年6月27日,四層,,
RPPNMLLKPHIGFHN56CC,29,170.13,住家用,鋼筋混凝土造,83年2月26日,四層,,
RPQNMLLKPHIGFAN58CC,2,74.47,集合住宅,鋼筋混凝土造,109年11月19日,十四層,,
RPQNMLLKPHIGFAN58CC,2,51.94,停車空間，緊急發電機室，電信室，消防機械室，安全梯，排煙室，緊急昇降機間，停車空間兼防空避難室，台電配電室，電錶室，水箱，管委會使用空間，梯廳，戶外安全梯，管委會空間，公共服務空間，水錶室，瓦斯錶室，電梯機械室,鋼筋混凝土造,109年11月19日,十四層,,
RPQNMLMKPHIGFDN98CC,11,21.44,住家用,鋼筋混凝土造,101年5月25日,五層,,
RPPNMLMKPHIGFDN88CC,11,21.44,住家用,鋼筋混凝土造,101年5月25日,五層,,
RPPNMLMKPHIGFDN88CC,11,8.51,停車空間、住宅、樓梯間、水箱、機房,鋼筋混凝土造,101年5月25日,五層,,
RPQNMLMKPHIGFDN98CC,11,8.51,停車空間、住宅、樓梯間、水箱、機房,鋼筋混凝土造,101年5月25日,五層,,
RPPNMLRKPHIGFDN76CC,3,175.57,住宅,鋼筋混凝土造,109年1月21日,四層,,
RPPNMLNKPHIGFBN78CC,16,586.13,住家用,鋼筋混凝土造,96年12月3日,三層,,
RPPNMLLLPHIGFDN88CC,41,208.08,住工用,鋼筋混凝土造,71年7月9日,四層,,
RPPNMLRKPHIGFAN09CC,1,186.76,倉儲,鋼骨造,111年9月1日,一層,,
RPPNMLRKPHIGFAN09CC,1,190.95,倉儲,鋼骨造,111年9月1日,一層,,
RPRNMLLLPHIGFDN09CC,29,63.13,商業用,鋼筋混凝土造,83年2月1日,七層,,
RPRNMLLLPHIGFDN09CC,29,14.48,電梯、樓梯、守衛室,鋼筋混凝土造,83年2月1日,七層,,
RPQNMLLLPHIGFDN98CC,67,154.93,商業用,鋼筋混凝土加強磚造,45年12月10日,二層,,
RPQNMLLLPHIGFDN98CC,67,150.38,商業用,鋼筋混凝土加強磚造,45年12月10日,二層,,
RPQNMLLLPHIGFDN98CC,67,142.39,商業用,鋼筋混凝土加強磚造,45年12月10日,二層,,
RPPNMLPLPHIGFCN56CC,3,25.43,守衛室,鋼骨造、鋼筋混凝土造,109年8月27日,一層,,
RPPNMLPLPHIGFCN56CC,3,2690.85,廠房,鋼骨造、鋼筋混凝土造,109年8月27日,一層,,
RPPNMLQLPHIGFGN07CC,47,59.39,住商用,加強磚造,65年3月10日,三層,,
RPQNMLRLPHIGFAN66CC,1,186.76,倉儲,鋼骨造,111年9月1日,一層,,
RPPNMLSLPHIGFAN66CC,36,90.90,住家用,鋼筋混凝土造,76年10月5日,三層,,
RPQNMLLJQHIGFAN58CC,,967.28,作業廠房，工廠附屬辦公室，機械室，機房,鋼骨造,112年4月10日,四層,,
RPPNMLLMPHIGFAN68CC,39,162.99,住家用,鋼筋混凝土造,73年12月24日,三層,,
RPPNMLNJQHIGFAN68CC,40,141.94,住家用,鋼筋混凝土造,72年12月6日,四層,,
RPQNMLNJQHIGFDN09CC,31,88.47,住商用,鋼筋混凝土造,81年7月29日,三層,,
RPQNMLNJQHIGFDN09CC,31,15.86,住商用,鋼筋混凝土造,81年7月29日,三層,,
RPPNMLLJQHIGFAN48CC,53,86.70,住家用,鋼筋混凝土加強磚造,59年3月2日,二層,,
RPRNMLLJQHIGFAN68CC,28,132.10,住家、停車空間,鋼筋混凝土造,84年6月22日,四層,,
RPQNMLRJQHIGFAN56CC,40,89.33,辦公室,鋼筋混凝土造,72年7月14日,八層,,
RPPNMLNJQHIGFDN98CC,33,22.25,廠房、倉庫、宿舍、辦公室,鋼筋混凝土造,79年11月20日,六層,,
RPPNMLRJQHIGFAN09CC,40,14.34,走道、樓梯間,鋼筋混凝土造,72年7月14日,八層,,
RPPNMLRJQHIGFAN09CC,40,35.24,辦公室,鋼筋混凝土造,72年7月14日,八層,,
RPPNMLSJQHIGFDN86CC,35,374.00,商場、停車場,鋼筋混凝土造,77年6月27日,七層,,
RPPNMLRLOHIGFBN66DC,35,57.71,住商用,鋼筋混凝土造,77年10月8日,三層,,
RPSNMLPKNHIGFAN09DC,50,22.33,住商用,鋼筋混凝土加強磚造,62年9月26日,二層,,
RPPNMLQJOHIGFBN98DC,27,242.00,住商用,鋼筋混凝土造,85年4月11日,五層,,
