編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKNHIGFHN09CC,北勢段,103.50,都市：住,,,,05020003
RPQNMLMKNHIGFDN78CC,僑信段,88.82,都市：住,,,,12060000
RPPNMLLKNHIGFHN98CC,成功段,90.71,都市：住,,,,25680001
RPPNMLQKNHIGFHN86CC,光平段,39.68,都市：商,,,,05960000
RPQNMLPKNHIGFAN78CC,牛稠子段中庄子小段,237.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00660034
RPQNMLPKNHIGFAN78CC,牛稠子段中庄子小段,5.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00630002
RPQNMLPKNHIGFAN78CC,牛稠子段中庄子小段,8.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00630001
RPPNMLQKNHIGFAN78CC,西勢子段西勢子小段,111.00,都市：住,,,,00010013
RPPNMLTLNHIGFAN56CC,南興段,.00,都市：住,,,,04130000
RPPNMLOLNHIGFAN68CC,成功段,93.00,都市：商,,,,04540000
RPPNMLTLNHIGFDN86CC,員林段,13.00,都市：商,,,,05080075
RPPNMLTLNHIGFDN86CC,員林段,49.00,都市：商,,,,05080055
RPPNMLMKNHIGFAN38CC,延和段,.00,都市：住,,,,09120000
RPPNMLKMNHIGFDN68CC,員林段,220.35,都市：住,,,,08640000
RPPNMLLMNHIGFDN78CC,仁愛段,70.57,都市：住,,,,10910022
RPQNMLMJOHIGFGN09CC,儒興段,84.81,都市：住,,,,02840044
RPRNMLSJOHIGFHN27CC,永平段,80.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03450000
RPPNMLRJOHIGFAN88CC,南郭段南郭小段,.00,都市：住,,,,04490100
RPPNMLKKOHIGFAN28CC,大埔段,84.00,都市：住,,,,09390000
RPPNMLRJOHIGFAN88CC,南郭段南郭小段,.00,都市：住,,,,04490128
RPPNMLPKOHIGFGN76CC,儒興段,84.81,都市：住,,,,02840044
RPPNMLQKOHIGFDN56CC,三條圳段十七份小段,146.00,都市：住,,,,03320000
RPPNMLTKOHIGFBN66CC,伸榮段,102.00,都市：住,,,,01720000
RPPNMLOKOHIGFGN66CC,儒香段,130.74,都市：住,,,,06690002
RPPNMLKLOHIGFDN68CC,復興段,435.05,都市：住,,,,14220000
RPRNMLQLOHIGFAN56CC,延平段,84.00,都市：住,,,,06140000
RPPNMLKLOHIGFAN38CC,彰崙段,615.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08040000
RPQNMLKLOHIGFDN78CC,員林段,28.00,都市：住,,,,02160004
RPQNMLKLOHIGFDN78CC,員林段,23.00,都市：住,,,,02200003
RPQNMLQLOHIGFAN09CC,南郭段南郭小段,9.65,都市：商,,,,03860001
RPQNMLQLOHIGFAN09CC,南郭段南郭小段,8.42,都市：住,,,,03860016
RPPNMLLLOHIGFAN48CC,彰化段西門小段,16.00,都市：商,,,,00680007
RPPNMLLLOHIGFAN48CC,彰化段西門小段,13.00,都市：商,,,,04540105
RPPNMLLLOHIGFAN48CC,彰化段西門小段,20.00,都市：商,,,,00680000
RPPNMLSLOHIGFDN86CC,橋愛段,273.82,都市：住,,,,14350000
RPRNMLNJPHIGFAN78CC,南郭段南郭小段,60.50,都市：住,,,,03480011
RPQNMLNJPHIGFAN68CC,南郭段南郭小段,12.36,都市：住,,,,04140003
RPPNMLNJPHIGFHN66CC,出水段,96.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01550000
RPPNMLNJPHIGFHN66CC,出水段,149.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01560000
RPPNMLNJPHIGFHN66CC,出水段,110.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01570000
RPPNMLNJPHIGFHN66CC,出水段,22.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01580000
RPPNMLNJPHIGFAN58CC,大埔段,34.44,都市：住,,,,05020004
RPPNMLOJPHIGFDN98CC,美港段,77.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01040000
RPPNMLPJPHIGFDN09CC,三義段,.00,都市：商,,,,02390001
RPPNMLPJPHIGFDN09CC,三義段,.00,都市：商,,,,02390007
RPQNMLLKPHIGFHN66CC,西安段,155.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09600004
RPPNMLQJPHIGFDN56CC,僑信段,88.77,都市：住,,,,11990000
RPPNMLLKPHIGFHN56CC,光明北段,142.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03640000
RPQNMLLKPHIGFAN58CC,延平段,26.01,都市：住,,,,09620000
RPQNMLMKPHIGFDN98CC,犁頭厝段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10440000
RPPNMLMKPHIGFDN88CC,犁頭厝段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10440000
RPPNMLRKPHIGFDN76CC,惠農段,85.93,都市：住,,,,11870000
RPPNMLNKPHIGFBN78CC,和西段,285.00,都市：住,,,,05450000
RPPNMLLLPHIGFDN88CC,員林段,49.00,都市：商,,,,05080056
RPPNMLLLPHIGFDN88CC,員林段,14.00,都市：商,,,,05080076
RPPNMLRKPHIGFAN09CC,秀水段,379.89,都市：工,,,,16140005
RPPNMLRKPHIGFAN09CC,秀水段,657.61,都市：工,,,,16140006
RPRNMLLLPHIGFDN09CC,莒光段,33.42,都市：住,,,,30700000
RPQNMLLLPHIGFDN98CC,員林段,178.00,都市：商,,,,05170022
RPQNMLLLPHIGFDN98CC,員林段,173.00,都市：商,,,,05170026
RPQNMLLLPHIGFDN98CC,員林段,170.00,都市：商,,,,05170025
RPSNMLPLPHIGFHN37CC,光明段,294.93,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07460000
RPSNMLPLPHIGFHN37CC,光明段,42.42,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07470000
RPTNMLPLPHIGFHN47CC,光明段,294.93,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07460000
RPTNMLPLPHIGFHN47CC,光明段,42.42,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07470000
RPPNMLPLPHIGFCN56CC,鹿工段,4720.94,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00450000
RPPNMLQLPHIGFGN07CC,儒明段,181.98,都市：住,,,,07800000
RPQNMLRLPHIGFAN66CC,秀水段,379.89,都市：工,,,,16140004
RPPNMLSLPHIGFAN66CC,秀水段,70.61,都市：住,,,,03350000
RPQNMLSLPHIGFAN76CC,新東興段,275.83,都市：商,,,,03200001
RPQNMLLJQHIGFAN58CC,牛稠子段山腳小段,151.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00400020
RPPNMLLMPHIGFAN68CC,新東興段,91.09,都市：住,,,,01840000
RPQNMLLJQHIGFAN58CC,牛稠子段山腳小段,305.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00400043
RPPNMLNJQHIGFAN68CC,南郭段南郭小段,64.00,都市：住,,,,03770000
RPPNMLNJQHIGFAN68CC,南郭段南郭小段,1.70,都市：住,,,,03830139
RPQNMLNJQHIGFDN09CC,三條圳段十七份小段,318.00,都市：住,,,,05430000
RPPNMLLJQHIGFAN48CC,延和段,162.00,都市：住,,,,09120000
RPRNMLLJQHIGFAN68CC,新三家春段,83.31,非都市：特定農業區 ; 非都市編定：特定目的事業用地,,,,08060000
RPQNMLRJQHIGFAN56CC,南郭段南郭小段,37.63,都市：商,,,,02800014
RPPNMLNJQHIGFDN98CC,豐年段,.00,都市：住,,,,04840000
RPQNMLRJQHIGFAN56CC,民權段,6.94,都市：商,,,,02550000
RPPNMLRJQHIGFAN09CC,南郭段南郭小段,37.63,都市：商,,,,02800014
RPPNMLRJQHIGFAN09CC,民權段,6.94,都市：商,,,,02550000
RPRNMLRJQHIGFAN66CC,南郭段南郭小段,92.00,都市：住,,,,05620003
RPRNMLRJQHIGFAN66CC,南郭段南郭小段,43.00,都市：住,,,,05620005
RPRNMLRJQHIGFAN66CC,南郭段南郭小段,29.00,都市：住,,,,05610006
RPRNMLRJQHIGFAN66CC,南郭段南郭小段,164.00,都市：住,,,,05620001
RPPNMLSJQHIGFDN86CC,員林段,.00,都市：商,,,,05350014
RPPNMLSJQHIGFDN86CC,員林段,.00,都市：商,,,,05350021
RPPNMLRLOHIGFBN66DC,和東段,94.00,都市：住,,,,12650027
RPPNMLPJOHIGFDN09DC,三條段,1105.43,都市：住,,,,07690000
RPSNMLPKNHIGFAN09DC,牛稠子段牛稠子小段,15.73,都市：住,,,,01570010
RPPNMLQJOHIGFBN98DC,仁愛段,19.00,都市：住,,,,04820002
RPPNMLQJOHIGFBN98DC,仁愛段,61.00,都市：住,,,,04770002
