編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJQHIGFAO09DA,復中段,54.73,都市：其他:第二種住宅區,10000,361,持分移轉,08300001
RPQNMLSJQHIGFAO66DA,福林段,1.00,都市：其他:道路用地,1,1,全筆移轉,02640049
RPSPMLMJQHIGFAO09DA,中雅段,11.00,都市：其他:道路用地,1,1,全筆移轉,01350007
RPUOMLSJQHIGFAO17DA,仙水段,.24,都市：其他:第二種住宅區,57240,3435,持分移轉,03780000
RPVOMLSJQHIGFAO27DA,仙水段,.01,都市：其他:第二種住宅區,57240,106,持分移轉,03780000
RPTNMLSJQHIGFAO96DA,福林段,2.00,都市：其他:道路用地,1,1,全筆移轉,02640048
RPWOMLKKQHIGFAO66DA,榮光段一小段,7.38,都市：其他:園道用地,16,1,持分移轉,00360000
RPOPMLKKQHIGFAO58DA,三姓段,6.68,都市：其他:第一種商業區,100000,376,持分移轉,05210000
RPOPMLKKQHIGFAO58DA,三姓段,.12,都市：其他:乙種工業區,266,1,持分移轉,05700008
RPXOMLTJQHIGFAO57DA,建華段,93.19,都市：其他:住宅區,1,1,全筆移轉,09810000
RPTOMLLKQHIGFAO09DA,香中段,34.71,都市：其他:道路用地,432,11,持分移轉,01320000
RPTQMLPKQHIGFAO07DA,中華段,88.00,都市：其他:第一種住宅區,1,1,全筆移轉,04420000
RPUNMLQKQHIGFAO96DA,成德段,65.87,都市：其他:保護區,1,1,全筆移轉,05960028
RPXNMLQKQHIGFAO27DA,成德段,65.89,都市：其他:保護區,1,1,全筆移轉,05960027
RPPNMLRJQHIGFAO56EA,中雅段,1.00,都市：其他:道路用地,1,1,全筆移轉,01330001
RPPOMLTJQHIGFAO76DA,中雅段,3.57,都市：其他:第一種商業區,10000,3,持分移轉,02140000
RPPOMLTJQHIGFAO76DA,崙子段,.08,都市：其他:第一種商業區,10000,3,持分移轉,20600000
RPSNMLRKQHIGFAO86DA,五福段,32.96,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,125,持分移轉,04440000
RPROMLTJQHIGFAO96DA,中隘段,.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03420000
RPROMLTJQHIGFAO96DA,中隘段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03460000
RPSNMLRKQHIGFAO86DA,五福段,15.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,125,持分移轉,07620000
RPROMLTJQHIGFAO96DA,中隘段,.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03470000
RPROMLTJQHIGFAO96DA,中隘段,10.48,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,94,持分移轉,03520000
RPROMLTJQHIGFAO96DA,中隘段,.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03540000
RPROMLTJQHIGFAO96DA,中隘段,.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03550000
RPROMLTJQHIGFAO96DA,中隘段,.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,03570000
RPQNMLMKQHIGFAO78DA,東明段,28.00,都市：其他:第一種住宅區,1,1,全筆移轉,08070003
RPSNMLSKQHIGFAO07EA,新興段,27.00,都市：其他:第二種住宅區,1,1,全筆移轉,05360006
RPTNMLSKQHIGFAO17EA,新興段,40.00,都市：其他:第二種住宅區,1,1,全筆移轉,10360014
RPUPMLRKQHIGFAO27DA,西門段一小段,15.00,都市：其他:道路用地,1,1,全筆移轉,01890023
RPTOMLQKQHIGFAO96DA,朝山段,23.67,都市：其他:商業區,3390,175,持分移轉,06110000
