鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新竹市,房地(土地+建物)+車位,新竹市新竹市南大路,25.78,商,,,1120513,土地2建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.0,3,2,2,有,無,25450000,158048,升降平面,77.22,3200000,,RPQNMLPKNHIGFAO78CB,福砌3,B棟6號,
新竹市,房地(土地+建物),新竹市新竹市光復路二段,11.8,商,,,1120515,土地6建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.88,2,1,1,有,無,15200000,143559,,0.0,0,1申報人名稱及統編：古京建設股份有限公司 273425842不計價之共有部份二面積2.82平方公尺,RPRNMLRKNHIGFAO56DB,豐溢‧風藝,A1棟4號,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.38,住,,,1120515,土地6建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.56,3,2,2,有,無,21600000,152206,坡道平面,26.13,1900000,,RPQNMLSKNHIGFAO09CB,自有美,C棟8F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.38,住,,,1120516,土地6建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.56,3,2,2,有,無,21420000,151897,坡道平面,26.13,1760000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSKNHIGFAO56CB,自有美,C棟9F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.38,住,,,1120516,土地6建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.56,3,2,2,有,無,20530000,144866,坡道平面,26.13,1780000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSKNHIGFAO66CB,自有美,C棟4F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段307巷,37.92,,鄉村區,乙種建築用地,1120517,土地3建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.5,2,2,1,有,無,11800000,102251,升降機械,7.9,900000,,RPPNMLTKNHIGFAO09CB,幸福雄郡NO7,B棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路二段,11.74,商,,,1120519,土地6建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.06,2,1,1,有,無,19300000,170148,升降機械,21.27,1300000,1申報人名稱及統編：古京建設股份有限公司 273425842不計價之共有部份二面積2.82平方公尺3車位型態:倉儲棋盤式機械車位,RPPNMLKLNHIGFAO38DB,豐溢‧風藝,A1棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路二段,11.98,商,,,1120520,土地6建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.44,2,1,1,有,無,18160000,157320,升降機械,21.27,1300000,1申報人名稱及統編：古京建設股份有限公司 273425842不計價之共有部份二面積2.82平方公尺3車位型態:倉儲棋盤式機械車位,RPQNMLKLNHIGFAO48DB,豐溢‧風藝,A5棟15號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,35.62,住,,,1120521,土地1建物1車位2,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,228.85,4,2,2,有,無,32080000,170279,坡道平面,66.0,4350000,,RPPNMLMLNHIGFAO58DB,鴻萃,B棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,32.61,住,,,1120520,土地1建物1車位2,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.16,3,2,2,有,無,31430000,180544,坡道平面,66.0,4500000,,RPQNMLMLNHIGFAO68DB,鴻萃,A棟12號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,30.74,住,,,1120520,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.58,3,2,2,有,無,27620000,180467,坡道平面,33.0,2250000,,RPRNMLMLNHIGFAO78DB,鴻萃,D棟9號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,35.75,住,,,1120518,土地1建物1車位2,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,229.23,4,2,2,有,無,35860000,190896,坡道平面,66.0,4700000,,RPTNMLMLNHIGFAO98DB,鴻萃,B棟15號,
新竹市,房地(土地+建物)+車位,新竹市新竹市原興路,36.27,,鄉村區,乙種建築用地,1120512,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.93,3,2,2,有,無,21860000,149402,坡道平面,38.0,2000000,,RPPNMLMLNHIGFAO48CB,當岱是也,D棟7號,
新竹市,房地(土地+建物)+車位,新竹市新竹市原興路,36.27,,鄉村區,乙種建築用地,1120513,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.93,3,2,2,有,無,21890000,150380,坡道平面,38.0,1900000,,RPRNMLMLNHIGFAO68CB,當岱是也,D棟9號,
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段,27.73,住,,,1120514,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.04,3,2,2,有,無,15050000,102365,坡道平面,24.67,1500000,,RPSNMLMLNHIGFAO78CB,微笑南寮,C-13F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段,27.52,住,,,1120514,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.67,3,2,2,有,無,15100000,102273,坡道平面,24.67,1600000,,RPTNMLMLNHIGFAO88CB,微笑南寮,D-12F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段,27.52,住,,,1120514,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.67,3,2,2,有,無,15030000,102500,坡道平面,24.67,1500000,,RPUNMLMLNHIGFAO98CB,微笑南寮,D-13F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市原興路,35.95,,鄉村區,乙種建築用地,1120518,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.74,3,2,2,有,無,22040000,152118,坡道平面,38.0,2000000,,RPPNMLNLNHIGFAO58CB,當岱是也,C棟8號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段284巷1弄,23.37,,鄉村區,乙種建築用地,1120520,土地2建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.57,2,1,1,有,無,11700000,114331,其他,5.67,850000,,RPPNMLOLNHIGFAO78DB,璞居,A棟4號,
新竹市,房地(土地+建物),新竹市新竹市民權路268巷,7.58,住,,,1120517,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,35.04,1,0,1,有,無,5400000,154110,,0.0,0,,RPPNMLPLNHIGFAO88DB,PARK268,D1棟2F號,
