編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPKNHIGFAO78CB,升降平面,1500000,38.61,地下二樓
RPQNMLPKNHIGFAO78CB,一樓平面,1700000,38.61,一樓
RPPNMLKLNHIGFAO38DB,升降機械,1300000,21.27,無固定樓層
RPQNMLKLNHIGFAO48DB,升降機械,1300000,21.27,無固定樓層
RPPNMLMLNHIGFAO58DB,坡道平面,2250000,33.00,地下三樓
RPPNMLMLNHIGFAO58DB,坡道平面,2100000,33.00,地下三樓
RPQNMLMLNHIGFAO68DB,坡道平面,2250000,33.00,地下三樓
RPQNMLMLNHIGFAO68DB,坡道平面,2250000,33.00,地下三樓
RPSNMLSKNHIGFAO66CB,坡道平面,1780000,26.13,地下二樓
RPPNMLTKNHIGFAO09CB,升降機械,900000,7.90,一樓
RPRNMLSKNHIGFAO56CB,坡道平面,1760000,26.13,地下二樓
RPQNMLSKNHIGFAO09CB,坡道平面,1900000,26.13,地下一樓
RPRNMLMLNHIGFAO78DB,坡道平面,2250000,33.00,地下三樓
RPPNMLMLNHIGFAO48CB,坡道平面,2000000,38.00,地下一樓
RPTNMLMLNHIGFAO98DB,坡道平面,2350000,33.00,地下二樓
RPSNMLMLNHIGFAO78CB,坡道平面,1500000,24.67,地下二樓
RPTNMLMLNHIGFAO98DB,坡道平面,2350000,33.00,地下二樓
RPRNMLMLNHIGFAO68CB,坡道平面,1900000,38.00,地下二樓
RPTNMLMLNHIGFAO88CB,坡道平面,1600000,24.67,地下一樓
RPUNMLMLNHIGFAO98CB,坡道平面,1500000,24.67,地下二樓
RPPNMLNLNHIGFAO58CB,坡道平面,2000000,38.00,地下一樓
RPPNMLOLNHIGFAO78DB,其他,850000,5.67,一樓
RPTNMLPLNHIGFAO56CB,坡道平面,2350000,26.65,地下二樓
RPTNMLPLNHIGFAO56CB,坡道平面,2350000,26.65,地下二樓
RPSNMLPLNHIGFAO09CB,坡道平面,2350000,26.65,地下二樓
RPTNMLPLNHIGFAO56CB,坡道平面,1950000,26.65,地下四樓
RPSNMLPLNHIGFAO09CB,坡道平面,2350000,26.65,地下二樓
RPVNMLPLNHIGFAO76CB,坡道平面,1950000,26.65,地下四樓
RPVNMLPLNHIGFAO76CB,坡道平面,1800000,26.65,地下四樓
RPUNMLPLNHIGFAO66CB,坡道平面,1850000,26.65,地下四樓
RPRNMLPLNHIGFAO98CB,坡道平面,1950000,26.65,地下四樓
RPRNMLPLNHIGFAO98CB,坡道平面,1950000,26.65,地下四樓
RPWNMLPLNHIGFAO86CB,一樓平面,0,13.75,一樓
RPXNMLPLNHIGFAO96CB,一樓平面,0,13.75,一樓
RPPNMLQLNHIGFAO98DB,坡道平面,2250000,33.00,地下三樓
RPPNMLQLNHIGFAO98DB,坡道平面,2250000,33.00,地下三樓
RPPNMLSLNHIGFAO56DB,坡道平面,2450000,33.00,地下一樓
RPPNMLSLNHIGFAO56DB,坡道平面,2450000,33.00,地下一樓
RPRNMLTLNHIGFAO76CB,坡道平面,1900000,38.04,地下二樓
RPSNMLTLNHIGFAO86CB,坡道平面,1500000,24.67,地下二樓
RPUNMLTLNHIGFAO07CB,坡道平面,1600000,24.67,地下一樓
RPTNMLTLNHIGFAO96CB,坡道平面,1500000,24.67,地下二樓
RPOOMLTLNHIGFAO56CB,坡道平面,2400000,43.23,地下二樓
RPQOMLTLNHIGFAO76CB,坡道平面,2580000,43.23,一樓
RPPOMLTLNHIGFAO66CB,坡道平面,2580000,43.23,一樓
RPROMLTLNHIGFAO86CB,坡道平面,2400000,43.23,地下二樓
RPQNMLLMNHIGFAO68DB,一樓平面,0,13.75,一樓
RPRNMLLMNHIGFAO78DB,一樓平面,0,13.75,一樓
