鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市東門街１２２之１號,0.0,商,,,1120508,土地0建物0車位0,全,3,透天厝,商業用,加強磚造,,148.53,3,2,3,有,無,無,25000,168,,0.0,0,四樓有未登記建物,RPPNMLPKNHIGFAO78CC
新竹市,建物,新竹市新竹市西門街２３２巷１號二樓,0.0,住,,,1120507,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680902,82.46,3,2,2,有,無,有,15000,182,,0.0,0,,RPPNMLSKNHIGFAO09CC
新竹市,建物,新竹市新竹市武陵路２４０巷２號４樓,0.0,住,,,1120512,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730613,69.38,3,2,2,有,無,有,14000,202,,0.0,0,,RPQNMLSKNHIGFAO56CC
新竹市,建物,新竹市新竹市自由路７３號１２樓之１,0.0,商,,,1120513,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920110,77.93,2,1,1,有,有,有,16200,208,,0.0,0,,RPRNMLSKNHIGFAO66CC
新竹市,房地(土地+建物),新竹市新竹市延平路一段３１７巷８５弄６號,61.02,,鄉村區,乙種建築用地,1120517,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680326,103.96,3,2,2,有,無,有,16000,154,,0.0,0,,RPSNMLSKNHIGFAO76CC
新竹市,建物,新竹市新竹市林森路７３號１０樓之１１,0.0,商,,,1120517,土地0建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780107,29.82,1,1,1,有,有,有,7000,235,,0.0,0,,RPTNMLSKNHIGFAO86CC
新竹市,建物,新竹市新竹市公道五路二段４０５號,0.0,住,,,1120505,土地0建物0車位0,一層,3,店面(店鋪),停車空間、機電空間、店舖、住宅,鋼筋混凝土造,0961206,54.120000000000005,0,1,1,有,有,有,26000,480,,0.0,0,部分承租。租金含管理費。,RPUNMLSKNHIGFAO96CC
新竹市,建物,新竹市新竹市東明街１０３號２樓,0.0,住,,,1120512,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840802,119.89999999999999,3,2,2,有,有,有,20000,167,,0.0,0,,RPVNMLSKNHIGFAO07CC
新竹市,建物,新竹市新竹市慈濟路１８７號八樓,0.0,商,,,1120508,土地0建物1車位0,八層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100104,81.82,2,2,1,有,有,有,28000,342,,0.0,0,租金含管理費。,RPQNMLTKNHIGFAO66CC
新竹市,建物,新竹市新竹市北大路２０１號１６樓之７,0.0,商,,,1120426,土地0建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070903,131.82999999999998,2,2,1,有,有,有,43000,326,坡道平面,27.6,0,,RPSNMLTKNHIGFAO86CC
新竹市,建物,新竹市新竹市東大路三段５１０巷６號６樓之１,0.0,住,,,1120515,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830530,115.23,3,2,2,有,有,有,16500,143,,0.0,0,水電、瓦斯費及每月管理費1000元由承租人另外負擔。,RPTNMLTKNHIGFAO96CC
新竹市,建物,新竹市新竹市西濱路一段１８５號七樓之１,0.0,住,,,1120219,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111021,136.91,2,2,1,有,有,有,20000,146,坡道平面,37.23,0,租金含網路費用,RPUNMLTKNHIGFAO07CC
新竹市,建物,新竹市新竹市大庄路８６巷５弄２４號５樓,0.0,住,,,1120430,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830112,112.87,3,2,2,有,有,有,15000,133,,0.0,0,每月水電、瓦斯費及管理費600元由承租人另外負擔。,RPVNMLTKNHIGFAO17CC
新竹市,建物,新竹市新竹市北大路２２號１０樓之４,0.0,商,,,1120514,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850131,74.93,2,2,1,有,有,有,16000,214,,0.0,0,每月水電、瓦斯費及管理費1500元由承租人另外負擔。,RPWNMLTKNHIGFAO27CC
新竹市,建物,新竹市新竹市城北街１０號４樓之１號,0.0,商,,,1120513,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,41.05,1,1,1,有,無,有,11000,268,,0.0,0,每月水電費由承租人另外負擔。,RPXNMLTKNHIGFAO37CC
新竹市,房地(土地+建物)+車位,新竹市新竹市東新路１４８號,35.82,其他,,,1120430,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1090928,100.69,0,0,0,無,有,有,37000,367,坡道平面,36.52,0,,RPPNMLNLNHIGFAO68CC
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔東路１-３號１５F,20.62,住,,,1120507,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970131,99.86,4,2,2,有,無,有,21000,210,坡道平面,32.72,0,含B2一機車位,RPPNMLQLNHIGFAO98CC
新竹市,建物,新竹市新竹市光華北街６５號３樓之２,0.0,住,,,1120515,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810107,26.46,1,0,1,有,有,有,6300,238,,0.0,0,每月水電費由承租人另外負擔。,RPQNMLQLNHIGFAO09CC
新竹市,建物,新竹市新竹市經國路二段１１１號９樓之４,0.0,住,,,1120517,土地0建物1車位0,九層,12,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0860715,35.25,1,0,1,有,有,有,7500,213,,0.0,0,每月水電費由承租人另外負擔。,RPSNMLQLNHIGFAO66CC
新竹市,建物,新竹市新竹市西大路７０９巷１１之８號,0.0,住,,,1120518,土地0建物1車位0,一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810129,45.199999999999996,1,0,1,有,有,有,8000,177,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPTNMLQLNHIGFAO76CC
新竹市,建物,新竹市新竹市東區公道五路二段１０１號９F-１， ９F-２， ９F-３， ９F-５， １０F-７,0.0,工,,,1110718,土地0建物5車位0,見其他登記事項,16,廠辦,廠房,鋼骨造、ＲＣ造,0990607,1490.6599999999999,0,0,0,無,有,無,609657,409,,0.0,0,NTD 580626未稅。原申報書序號為C1OA11112130034,RPQNMLTLNHIGFAO76CC
新竹市,建物,新竹市新竹市光華南街１５號２樓,0.0,住,,,1120522,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690304,83.44999999999999,3,2,1,有,無,有,10000,120,,0.0,0,,RPRNMLTLNHIGFAO86CC
新竹市,建物,新竹市新竹市湳雅街３１１巷７１號６樓,0.0,住,,,1120525,土地0建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840529,137.45000000000002,3,2,2,有,有,有,16000,116,升降機械,0.0,0,,RPTNMLTLNHIGFAO07CC
新竹市,建物,新竹市新竹市東大路二段１９０巷２號５樓,0.0,住,,,1120527,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861030,146.44,3,2,2,有,有,有,17200,117,,0.0,0,,RPVNMLTLNHIGFAO27CC
新竹市,建物,新竹市新竹市光復路一段１０６號５樓,0.0,其他,,,1120501,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821228,30.14,2,0,2,有,無,有,4725,157,,0.0,0,由承租人另外負擔電費，租金含稅,RPPNMLKMNHIGFAO48CC
新竹市,建物,新竹市新竹市慈祥路８８號二樓之２,0.0,住,,,1120528,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000324,121.08000000000001,2,2,1,有,有,有,27000,223,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPRNMLKMNHIGFAO68CC
新竹市,建物,新竹市新竹市長和街８２巷２號３樓之４,0.0,商,,,1120507,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840522,51.36,1,0,1,有,有,有,12000,234,,0.0,0,租金含管理費800元,RPPNMLLJOHIGFAO38CC
新竹市,建物,新竹市新竹市經國路二段１１１號１２樓之１,0.0,住,,,1120515,土地0建物1車位0,十二層,12,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0860715,31.21,1,0,1,有,有,有,7000,224,,0.0,0,水電費及每月管理費500元由承租人另外負擔。,RPRNMLLJOHIGFAO58CC
新竹市,建物,新竹市新竹市東區公園路２９０號７樓之２,8.67,住,,,1120528,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891026,131.21,3,2,2,有,有,有,26000,198,,0.0,0,,RPPNMLMJOHIGFAO48CC
新竹市,房地(土地+建物),新竹市新竹市東區高峰路３８６巷１００弄４３號,89.13,住,,,1120518,土地2建物1車位0,全,1,透天厝,住家用,加強磚造,,49.15,7,3,5,有,無,有,42000,855,,0.0,0,,RPPNMLPJOHIGFAO78CC
