編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLSKNHIGFAO76CC,南勢段,61.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02130000
RPTNMLSKNHIGFAO86CC,南門段一小段,.00,都市：商,,,,00400000
RPPNMLSKNHIGFAO09CC,聚吉段,.00,都市：住,,,,00190001
RPRNMLSKNHIGFAO66CC,民主段一小段,.00,都市：商,,,,00140000
RPUNMLSKNHIGFAO96CC,光復段,.00,都市：住,,,,13020000
RPQNMLTKNHIGFAO66CC,光武段,.00,都市：商,,,,10220000
RPPNMLPKNHIGFAO78CC,東門段二小段,.00,都市：商,,,,00110009
RPQNMLSKNHIGFAO56CC,武陵段,.00,都市：住,,,,01790007
RPPNMLPKNHIGFAO78CC,東門段二小段,.00,都市：商,,,,00110010
RPUNMLSKNHIGFAO96CC,光復段,.00,都市：住,,,,13020012
RPPNMLPKNHIGFAO78CC,東門段二小段,.00,都市：商,,,,00120000
RPSNMLTKNHIGFAO86CC,中山段三小段,.00,都市：商,,,,03470000
RPVNMLSKNHIGFAO07CC,東明段,.00,都市：住,,,,08280000
RPQNMLQLNHIGFAO09CC,光華段,.00,都市：住,,,,04490000
RPUNMLTKNHIGFAO07CC,港北段,.00,都市：住,,,,00360000
RPTNMLTKNHIGFAO96CC,康朗段,.00,都市：住,,,,05080000
RPWNMLTKNHIGFAO27CC,光華段,.00,都市：商,,,,12470000
RPTNMLQLNHIGFAO76CC,崙子段,.00,都市：住,,,,07290000
RPPNMLQLNHIGFAO98CC,和平段,20.62,都市：住,,,,04500000
RPPNMLNLNHIGFAO68CC,東光段,35.82,都市：其他:住商混合區,,,,02380000
RPSNMLQLNHIGFAO66CC,北門段,.00,都市：商,,,,07630000
RPSNMLQLNHIGFAO66CC,北門段,.00,都市：住,,,,07640000
RPVNMLTKNHIGFAO17CC,香中段,.00,都市：住,,,,11040000
RPXNMLTKNHIGFAO37CC,北門段,.00,都市：商,,,,15260000
RPQNMLTLNHIGFAO76CC,光復段,.00,都市：工,,,,00940000
RPRNMLTLNHIGFAO86CC,民主段,.00,都市：住,,,,08580000
RPTNMLTLNHIGFAO07CC,自由段,.00,都市：住,,,,09250000
RPRNMLLJOHIGFAO58CC,北門段,.00,都市：商,,,,07630000
RPPNMLLJOHIGFAO38CC,民富段,.00,都市：商,,,,20110000
RPPNMLKMNHIGFAO48CC,關東段,.00,都市：其他:第一種住宅區,,,,03750000
RPRNMLLJOHIGFAO58CC,北門段,.00,都市：住,,,,07640000
RPRNMLKMNHIGFAO68CC,國道段,.00,都市：住,,,,10960000
RPPNMLPJOHIGFAO78CC,高翠段,53.15,都市：住,,,,10520000
RPVNMLTLNHIGFAO27CC,武陵段,.00,都市：住,,,,11270000
RPPNMLMJOHIGFAO48CC,東山段一小段,8.67,都市：住,,,,06420000
RPPNMLPJOHIGFAO78CC,高翠段,35.98,都市：其他:甲種風景區,,,,10520001
RPRNMLPJOHIGFAO98CC,崙子段,.00,都市：住,,,,00230000
RPSNMLPJOHIGFAO09CC,崙子段,.00,都市：住,,,,00230000
RPQNMLPJOHIGFAO88CC,北門段,.00,都市：商,,,,07630000
RPQNMLPJOHIGFAO88CC,北門段,.00,都市：住,,,,07640000
RPTNMLPJOHIGFAO56CC,香中段,52.36,都市：住,,,,15260015
RPQNMLQJOHIGFAO98CC,崙子段,620.00,都市：住,,,,07790000
RPQNMLQJOHIGFAO98CC,崙子段,1.00,都市：住,,,,07780002
RPTNMLRJOHIGFAO76CC,大庄段,.00,都市：其他:人行步道用地、第一種住宅用地,,,,00880000
RPUNMLRJOHIGFAO86CC,民富段,.00,都市：商,,,,25940000
RPRNMLRJOHIGFAO56CC,自由段,.00,都市：住,,,,10360006
RPPNMLRJOHIGFAO98CC,光華段,.00,都市：其他:第二種住宅區、道路用地,,,,15400000
RPTNMLRJOHIGFAO76CC,大庄段,.00,都市：住,,,,00880001
RPVNMLRJOHIGFAO96CC,長春段,.00,都市：住,,,,16030000
RPWNMLRJOHIGFAO07CC,光華段,.00,都市：住,,,,02600000
RPPNMLNKOHIGFAO68CC,中山段二小段,.00,都市：商,,,,00700000
RPRNMLNKOHIGFAO88CC,聚吉段,.00,都市：商,,,,00550000
RPRNMLTJOHIGFAO76CC,復興段,.00,都市：住,,,,02400000
RPSNMLNKOHIGFAO98CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04550000
RPQNMLNKOHIGFAO78CC,中雅段,.00,都市：住,,,,00960002
RPPNMLOKOHIGFAO78CC,南華段,.00,都市：商,,,,04010000
RPPNMLQKOHIGFAO98CC,南港段,18258.60,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,03420000
RPPNMLPKOHIGFAO88CC,金山段,72.71,都市：住,,,,11870001
RPQNMLPKOHIGFAO98CC,東山段一小段,22.00,都市：住,,,,09540000
RPRNMLRKOHIGFAO66CC,光華段,.00,都市：住,,,,03880000
RPPNMLRKOHIGFAO09CC,和平段,.00,都市：住,,,,00940000
RPQNMLRKOHIGFAO56CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04240000
RPSNMLRKOHIGFAO76CC,南門段二小段,.00,都市：商,,,,02480000
RPSNMLRKOHIGFAO76CC,南門段二小段,.00,都市：商,,,,02800003
RPTNMLRKOHIGFAO86CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01200000
RPSNMLRKOHIGFAO76CC,南門段二小段,.00,都市：商,,,,02820000
RPPNMLLLOHIGFAO58CC,香中段,339.60,都市：工,,,,07670000
RPPNMLTKOHIGFAO76DC,中雅段,.00,都市：住,,,,00960002
RPPNMLTKOHIGFAO76DC,崙子段,.00,都市：住,,,,20680005
RPPNMLKLOHIGFAO48CC,科園段科園小段,.00,都市：住,,,,00920472
RPQNMLKLOHIGFAO58CC,自由段,.00,都市：住,,,,08050000
RPQNMLLLOHIGFAO68CC,光武段,.00,都市：住,,,,11940000
RPQNMLLLOHIGFAO68CC,光武段,.00,都市：住,,,,11940001
RPQNMLLLOHIGFAO68CC,光武段,.00,都市：其他:道路用地,,,,11940002
RPRNMLLLOHIGFAO78CC,東山段一小段,.00,都市：商,,,,02100011
RPSNMLLLOHIGFAO88CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06810000
RPPNMLOLOHIGFAO88CC,介壽段,6.82,都市：住,,,,06310000
RPPNMLOLOHIGFAO88CC,介壽段,8.39,都市：住,,,,06360000
RPPNMLQLOHIGFAO09CC,自由段,.00,都市：住,,,,09130004
RPQNMLQLOHIGFAO56CC,民富段,.00,都市：住,,,,14120000
RPRNMLQLOHIGFAO66CC,民主段,.00,都市：住,,,,10990000
RPPNMLTLOHIGFAO76CC,中雅段,.00,都市：其他:部分第二種住宅區、部分第二種商業區,,,,00010004
RPPNMLSLOHIGFAO66CC,舊社段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02930004
RPQNMLTLOHIGFAO86CC,和平段,.00,都市：住,,,,00920000
RPQNMLTLOHIGFAO86CC,和平段,.00,都市：住,,,,00920003
RPRNMLTLOHIGFAO96CC,中央段,.00,都市：商,,,,08080001
RPTNMLTLOHIGFAO17CC,民富段,.00,都市：住,,,,14120000
RPPNMLOJPHIGFAO78CC,北門段,.00,都市：住,,,,01330000
RPQNMLOJPHIGFAO88CC,中央段,.00,都市：住,,,,02570000
RPSNMLTLOHIGFAO07CC,光華段,.00,都市：住,,,,12370000
RPSNMLTLOHIGFAO07CC,光華段,.00,都市：商,,,,12370001
RPRNMLOJPHIGFAO98CC,武陵段,.00,都市：住,,,,03160004
RPSNMLTLOHIGFAO07CC,光華段,.00,都市：商,,,,12390000
RPSNMLTLOHIGFAO07CC,光華段,.00,都市：其他:道路用地,,,,12390008
RPPNMLPJPHIGFAO88CC,南湖段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10160001
RPPNMLQJPHIGFAO98CC,南湖段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10160001
