編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLTKNHIGFAO86CC,坡道平面,0,27.60,地下四樓
RPUNMLTKNHIGFAO07CC,坡道平面,0,37.23,地下二樓
RPPNMLQLNHIGFAO98CC,坡道平面,0,32.72,地下一樓
RPPNMLNLNHIGFAO68CC,坡道平面,0,36.52,地下一樓
RPTNMLTLNHIGFAO07CC,升降機械,0,,地下一樓
RPRNMLKMNHIGFAO68CC,坡道平面,0,,地下三樓
RPVNMLRJOHIGFAO96CC,坡道平面,0,,地下三樓
RPQNMLNKOHIGFAO78CC,坡道平面,2500,.08,地下一樓
RPPNMLPKOHIGFAO88CC,一樓平面,0,,一樓
RPQNMLLLOHIGFAO68CC,坡道機械,0,15.73,地下二樓
RPRNMLLLOHIGFAO78CC,坡道平面,0,,地下一樓
RPSNMLLLOHIGFAO88CC,坡道平面,0,30.59,地下一樓
RPPNMLSLOHIGFAO66CC,一樓平面,0,,一樓
RPSNMLTLOHIGFAO07CC,坡道平面,0,39.60,地下三樓
RPWNMLQJPHIGFAO07CC,坡道平面,1000,34.58,地下二樓
RPPNMLRKPHIGFAO56CC,坡道平面,0,,地下一樓
RPRNMLLLPHIGFAO88CC,升降機械,1000,,地下二樓
RPPNMLNLPHIGFAO88CC,坡道平面,0,,地下二樓
RPPNMLQLPHIGFAO56CC,坡道平面,0,,地下二樓
RPPNMLRLPHIGFAO66CC,坡道平面,0,,地下二樓
RPPNMLLMPHIGFAO78CC,坡道平面,0,27.54,地下四樓
RPRNMLLMPHIGFAO98CC,坡道平面,0,,地下二樓
RPSNMLLMPHIGFAO09CC,坡道平面,0,,地下二樓
RPSNMLMJQHIGFAO98CC,坡道平面,0,,地下一樓
RPPNMLOJQHIGFAO88CC,坡道平面,0,36.04,地下二樓
RPPNMLRJQHIGFAO56CC,升降機械,0,19.22,地下二樓
