鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
二崙鄉,土地,崙北段1169-9地號,131.68,住,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1566992,11900,,0.0,0,,RPPNMLRJQHIGFCP86EA,0.0,0.0,0.0,無,
麥寮鄉,土地,崙南段1140地號,133.14,,鄉村區,乙種建築用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1610960,12100,,0.0,0,,RPPNMLPJQHIGFFP86DA,0.0,0.0,0.0,無,0001
斗六市,土地,咬狗段314-3地號,12792.0,,山坡地保育區,農牧用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8500000,664,,0.0,0,,RPPNMLPJQHIGFAP98DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段409地號,2259.6,,特定農業區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2033640,900,,0.0,0,政府機關標讓售；,RPPNMLSJQHIGFFP27EA,0.0,0.0,0.0,無,
大埤鄉,房地(土地+建物),雲林縣大埤鄉自立街２０巷３８號,112.23,住,,,1120803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120420,215.05,5,2,5,有,無,8680000,40363,,0.0,0,,RPQNMLKKQHIGFBP88EA,196.51,0.0,18.54,無,
大埤鄉,房地(土地+建物),雲林縣大埤鄉自立街２０巷３２號,112.37,住,,,1120803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120420,215.3,5,2,5,有,無,8800000,40873,,0.0,0,,RPRNMLKKQHIGFBP98EA,196.51,0.0,18.79,無,
台西鄉,土地,海口段548-7地號,8.0,住,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,270000,33750,,0.0,0,買賣雙方約定土地增值稅由買方支付。,RPPNMLTJQHIGFFP27DA,0.0,0.0,0.0,無,
崙背鄉,土地,豐草段565地號,3642.0,,特定農業區,農牧用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4296650,1180,,0.0,0,,RPPNMLKKQHIGFCP78DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮松園三路１１２號二樓之１０,12.65,住,,,1120802,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,1090519,50.3,1,0,1,有,有,2450000,48708,,0.0,0,,RPWQMLKKQHIGFDP27DA,29.66,0.0,4.25,有,
北港鎮,土地,劉厝段762-8地號,30.67,,鄉村區,乙種建築用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,278330,9075,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKQHIGFEP56DA,0.0,0.0,0.0,無,
元長鄉,土地,五塊寮段457-1地號,2464.0,,特定農業區,農牧用地,1120805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1921960,780,,0.0,0,,RPPNMLPJQHIGFEP76DA,0.0,0.0,0.0,無,
林內鄉,土地,進興段272-1地號,676.5,,特定農業區,農牧用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,670000,990,,0.0,0,,RPQNMLKKQHIGFAP78EA,0.0,0.0,0.0,無,
元長鄉,土地,潭內段1422地號,3362.0,,特定農業區,農牧用地,1120805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2622360,780,,0.0,0,,RPPNMLRKQHIGFEP17EA,0.0,0.0,0.0,無,
大埤鄉,房地(土地+建物),雲林縣大埤鄉自立街２０巷３８之１號,122.2,住,,,1120807,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120420,240.33,5,2,5,有,無,8600000,35784,,0.0,0,,RPPNMLOKQHIGFBP56EA,225.05,0.0,15.28,無,
大埤鄉,房地(土地+建物),雲林縣大埤鄉自立街２０巷３０號,112.5,住,,,1120803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120420,211.54,5,2,5,有,無,8360000,39520,,0.0,0,,RPQNMLOKQHIGFBP66EA,194.4,0.0,17.14,無,
麥寮鄉,土地,許厝寮段許厝寮小段208-7地號,12.0,,鄉村區,乙種建築用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,116160,9680,,0.0,0,因地上物占用此標的，故土地分割後，買方原價買回。,RPQNMLTJQHIGFFP37DA,0.0,0.0,0.0,無,
