編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJQHIGFFP86DA,崙南段,133.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,4800,344,持分移轉,11400000
RPPNMLSJQHIGFFP27EA,西安段,2259.60,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04090000
RPPNMLRJQHIGFCP86EA,崙北段,131.68,都市：其他:住宅區,1,1,全筆移轉,11690009
RPRNMLKKQHIGFBP98EA,南和段,112.37,都市：其他:住宅區,1,1,全筆移轉,12510000
RPPNMLKKQHIGFCP78DA,豐草段,3642.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05650000
RPQNMLKKQHIGFBP88EA,南和段,112.23,都市：其他:住宅區,1,1,全筆移轉,12530000
RPPNMLTJQHIGFFP27DA,海口段,8.00,都市：其他:住宅區,2,1,持分移轉,05480007
RPRNMLKKQHIGFEP56DA,劉厝段,30.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,4,持分移轉,07620008
RPPNMLPJQHIGFAP98DA,咬狗段,12792.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140003
RPQNMLKKQHIGFAP78EA,進興段,676.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02720001
RPPNMLOKQHIGFBP56EA,南和段,122.20,都市：其他:住宅區,1,1,全筆移轉,12580000
RPPNMLPJQHIGFEP76DA,五塊寮段,1702.00,非都市：特定農業區 ; 非都市編定：農牧用地,4097,1702,持分移轉,04570001
RPPNMLPJQHIGFEP76DA,五塊寮段,762.00,非都市：特定農業區 ; 非都市編定：農牧用地,3537,762,持分移轉,04580000
RPPNMLRKQHIGFEP17EA,潭內段,3362.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14220000
