編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPKNHIGFAP88DB,一樓平面,0,13.75,一樓
RPPNMLQKNHIGFAP88CB,坡道平面,0,,一樓
RPPNMLLLNHIGFAP48CB,坡道機械,580000,17.90,地下三樓
RPRNMLNLNHIGFDP56CB,坡道平面,900000,34.00,地下一樓
RPTNMLNLNHIGFDP76CB,坡道平面,900000,34.00,地下一樓
RPPNMLPLNHIGFDP56CB,坡道平面,1100000,24.82,地下一樓
RPQNMLPLNHIGFAP98CB,坡道平面,1300000,24.93,地下二樓
RPRNMLPLNHIGFAP09CB,坡道平面,0,,一樓
RPPNMLTLNHIGFAP66CB,坡道平面,1500000,36.30,地下一樓
RPSNMLQLNHIGFAP66CB,坡道平面,1350000,35.80,地下二樓
RPPNMLKMNHIGFAP48CB,一樓平面,0,29.63,一樓
RPPNMLKMNHIGFCP68CB,一樓平面,900000,22.39,一樓
RPQNMLKMNHIGFCP78CB,一樓平面,900000,19.64,一樓
RPPNMLKMNHIGFFP09DB,坡道平面,950000,29.78,地下一樓
RPQNMLKMNHIGFFP56DB,坡道平面,900000,29.78,地下二樓
RPQNMLKMNHIGFAP58CB,一樓平面,0,,一樓
RPPNMLOJOHIGFFP56CB,一樓平面,750000,,一樓
RPSNMLLJOHIGFEP09CB,一樓平面,0,18.18,一樓
RPRNMLLJOHIGFEP98CB,一樓平面,0,18.18,一樓
RPQNMLQJOHIGFEP76CB,坡道平面,950000,22.74,地下一樓
RPPNMLQJOHIGFAP88CB,坡道平面,1000000,22.40,地下一樓
RPQNMLRJOHIGFEP86CB,坡道平面,950000,22.74,地下一樓
RPRNMLQJOHIGFEP86CB,坡道平面,950000,22.74,地下一樓
RPRNMLRJOHIGFEP96CB,坡道平面,950000,22.74,地下一樓
RPSNMLRJOHIGFEP07CB,坡道平面,950000,22.74,地下一樓
RPPNMLRJOHIGFAP98CB,一樓平面,0,,一樓
RPQNMLRJOHIGFAP09CB,坡道平面,1400000,35.80,地下一樓
RPQNMLSJOHIGFAP56CB,坡道平面,900000,36.74,地下一樓
RPQNMLTJOHIGFDP96CB,坡道平面,800000,34.00,地下二樓
RPPNMLTJOHIGFDP86CB,坡道平面,800000,34.00,地下二樓
RPQNMLMKOHIGFBP78CB,坡道平面,1200000,26.45,地下一樓
RPQNMLNKOHIGFDP09CB,其他,1200000,26.44,地下一樓
RPPNMLNKOHIGFAP78DB,坡道平面,1300000,22.81,地下一樓
RPRNMLNKOHIGFDP56CB,其他,1100000,26.44,地下二樓
RPPNMLOKOHIGFDP09CB,坡道平面,1250000,23.47,地下二樓
RPPNMLOKOHIGFDP09CB,坡道平面,1250000,23.47,地下二樓
RPQNMLOKOHIGFDP56CB,坡道平面,1250000,23.47,地下二樓
RPQNMLOKOHIGFDP56CB,坡道平面,1250000,23.47,地下二樓
RPPNMLOKOHIGFAP78CB,坡道平面,1000000,22.40,地下一樓
RPPNMLOKOHIGFBP88CB,一樓平面,950000,13.75,一樓
RPSNMLOKOHIGFDP76CB,坡道平面,1350000,23.47,地下一樓
RPTNMLOKOHIGFDP86CB,坡道平面,1200000,25.00,地下一樓
RPPNMLPKOHIGFAP88CB,一樓平面,700000,17.26,一樓
RPRNMLQKOHIGFAP66DB,一樓平面,0,,一樓
RPRNMLRKOHIGFAP66CB,坡道平面,1300000,30.50,地下一樓
RPRNMLRKOHIGFAP66CB,坡道平面,1300000,30.50,地下一樓
RPSNMLTKOHIGFAP96CB,坡道平面,1000000,22.40,地下一樓
RPPNMLTKOHIGFAP66CB,一樓平面,700000,17.26,一樓
RPPNMLLLOHIGFAP58CB,坡道平面,1300000,22.35,地下一樓
RPRNMLLLOHIGFAP78CB,一樓平面,1350000,22.35,一樓
RPQNMLLLOHIGFAP68CB,一樓平面,1200000,14.37,一樓
RPSNMLLLOHIGFAP88CB,坡道平面,1300000,24.93,地下二樓
RPPNMLQLOHIGFAP09CB,坡道平面,1000000,19.90,地下一樓
RPPNMLQLOHIGFCP66CB,升降機械,500000,6.87,一樓
RPVNMLSLOHIGFAP27CB,坡道平面,1400000,24.93,地下一樓
RPUNMLSLOHIGFAP17CB,坡道平面,1000000,19.90,地下一樓
RPTNMLSLOHIGFAP07CB,一樓平面,1000000,19.90,一樓
RPPNMLTLOHIGFAP86DB,一樓平面,0,,一樓
RPPNMLRLOHIGFDP86CB,坡道平面,1200000,32.70,地下四樓
RPTNMLTLOHIGFDP47CB,坡道平面,1250000,32.70,地下三樓
RPPNMLKMOHIGFEP98CB,坡道平面,950000,22.74,地下一樓
RPTNMLKMOHIGFAP98CB,一樓平面,0,,一樓
RPTNMLKMOHIGFAP98CB,一樓平面,0,,一樓
RPPNMLLJPHIGFAP48CB,坡道機械,580000,17.90,地下三樓
RPPNMLNJPHIGFAP78DB,一樓平面,0,13.75,一樓
RPPNMLOJPHIGFAP78CB,坡道平面,1400000,26.16,地下二樓
RPQNMLOJPHIGFAP88CB,坡道平面,1300000,24.93,地下二樓
RPRNMLOJPHIGFAP98CB,坡道平面,1300000,24.93,地下二樓
RPPNMLPJPHIGFBP98CB,一樓平面,900000,13.75,一樓
RPRNMLPJPHIGFDP76CB,坡道平面,1200000,29.23,地下一樓
RPPNMLPJPHIGFEP66CB,一樓平面,0,35.04,一樓
