鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,建物,雲林縣斗六市樂利街５３號三樓之１２,0.0,住,,,1120423,土地0建物1車位0,三層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,,RPPNMLLKNHIGFAP48CC
斗六市,建物,雲林縣斗六市樂利街５３號二樓之８,0.0,住,,,1120426,土地0建物1車位0,二層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,,RPPNMLMKNHIGFAP58CC
斗六市,建物,雲林縣斗六市西平路２０９號四樓之１９,0.0,住,,,1120510,土地0建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,99.91,3,2,2,有,有,有,9000,90,,0.0,0,水電、瓦斯費及每月管理費1258元由承租人負擔。,RPQNMLPKNHIGFAP98CC
斗六市,房地(土地+建物),雲林縣斗六市科加六路６７號,88.4,,工業區,丁種建築用地,1120505,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1110804,165.6,4,2,4,有,無,有,27300,165,,0.0,0,,RPQNMLQKNHIGFAP09CC
莿桐鄉,土地,南安段721地號,508.53,其他,,,1120510,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,12000,24,,0.0,0,,RPRNMLQKNHIGFAP56CC
虎尾鎮,建物,雲林縣虎尾鎮五間厝６０號二樓之３３,0.0,住,,,1120428,土地0建物1車位0,二層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,有,4000,296,,0.0,0,,RPPNMLQKNHIGFDP66CC
虎尾鎮,建物,雲林縣虎尾鎮五間厝６０號三樓之２１,0.0,住,,,1120428,土地0建物1車位0,三層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080409,13.739999999999998,1,0,1,有,有,有,4000,291,,0.0,0,,RPQNMLQKNHIGFDP76CC
斗六市,建物,雲林縣斗六市龍潭路３之１２巷３８號三樓之３１,0.0,,一般農業區,甲種建築用地,1120502,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930326,19.32,1,0,1,有,有,有,4000,207,,0.0,0,,RPPNMLSKNHIGFAP56CC
斗六市,建物,雲林縣斗六市嘉東南路５０巷７８號,0.0,,特定農業區,甲種建築用地,1120515,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,0951201,16.3,1,0,1,有,無,有,3500,215,,0.0,0,,RPQNMLSKNHIGFAP66CC
