編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKNHIGFDP66CC,4,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKNHIGFDP66CC,4,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKNHIGFDP66CC,4,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLQKNHIGFDP76CC,4,9.29,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLQKNHIGFDP76CC,4,4.07,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLQKNHIGFDP76CC,4,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLTKNHIGFDP96CC,4,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLTKNHIGFDP96CC,4,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLTKNHIGFDP96CC,4,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLTKNHIGFDP07CC,4,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
