編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKNHIGFDP66CC,五間段,.00,都市：住,,,,04760000
RPQNMLQKNHIGFDP76CC,五間段,.00,都市：住,,,,04760000
RPPNMLTKNHIGFDP96CC,五間段,.00,都市：住,,,,04760000
RPQNMLTKNHIGFDP07CC,五間段,.00,都市：住,,,,04760000
RPRNMLTKNHIGFDP17CC,五間段,.00,都市：住,,,,04760000
RPSNMLTKNHIGFDP27CC,五間段,.00,都市：住,,,,04760000
RPTNMLTKNHIGFDP37CC,五間段,.00,都市：住,,,,04760000
RPPNMLOLNHIGFDP56CC,五間段,.00,都市：住,,,,04760000
RPQNMLOLNHIGFDP66CC,五間段,.00,都市：住,,,,04760000
RPRNMLOLNHIGFDP76CC,五間段,.00,都市：住,,,,04760000
RPPNMLPLNHIGFBP09CC,南昌段,.00,都市：商,,,,00070000
RPPNMLQLNHIGFDP76CC,五間段,.00,都市：住,,,,04760000
RPQNMLQLNHIGFDP86CC,五間段,.00,都市：住,,,,04760000
RPRNMLQLNHIGFDP96CC,五間段,.00,都市：住,,,,04760000
RPSNMLQLNHIGFDP07CC,五間段,.00,都市：住,,,,04760000
RPTNMLQLNHIGFDP17CC,五間段,.00,都市：住,,,,04760000
RPUNMLQLNHIGFDP27CC,五間段,.00,都市：住,,,,04760000
RPVNMLQLNHIGFDP37CC,五間段,.00,都市：住,,,,04760000
RPWNMLQLNHIGFDP47CC,五間段,.00,都市：住,,,,04760000
RPXNMLQLNHIGFDP57CC,五間段,.00,都市：住,,,,04760000
RPPNMLLKNHIGFAP48CC,大潭段社口小段,.00,都市：住,,,,01070014
RPPNMLMKNHIGFAP58CC,大潭段社口小段,.00,都市：住,,,,01070014
RPQNMLQKNHIGFAP09CC,科加段,88.40,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00280062
RPQNMLPKNHIGFAP98CC,斗六一段,.00,都市：住,,,,04180000
RPQNMLSKNHIGFAP66CC,大崙段茄苳腳小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320204
RPRNMLQKNHIGFAP56CC,南安段,135.06,都市：住,,,,07240000
RPRNMLQKNHIGFAP56CC,南安段,120.22,都市：住,,,,07220000
RPRNMLQKNHIGFAP56CC,南安段,149.87,都市：其他:道路用地,,,,07210000
RPRNMLSKNHIGFAP76CC,海豐崙段海豐崙小段,.00,都市：住,,,,15030002
