鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東石鄉,土地,栗子崙段中洲小段536地號,862.37,,一般農業區,農牧用地,1120928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,577950,670,,0.0,0,,RPSNMLQJRHIGFBQ07DA,0.0,0.0,0.0,無,
東石鄉,土地,栗子崙段東崙小段144地號,1014.6,,一般農業區,農牧用地,1120928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,679900,670,,0.0,0,,RPTNMLQJRHIGFBQ17DA,0.0,0.0,0.0,無,
六腳鄉,土地,後崩山段崩山小段417地號,2189.0,,特定農業區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2320000,1060,,0.0,0,,RPTNMLRJQHIGFBQ17DA,0.0,0.0,0.0,無,
朴子市,土地,鴨母寮段竹村小段975地號,2901.0,,特定農業區,農牧用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2720000,938,,0.0,0,有嫌惡設施，隔壁是雞舍,RPSNMLRJQHIGFBQ07DA,0.0,0.0,0.0,無,
鹿草鄉,土地,鹿西段261地號,100.41,都市：其他:住宅區,,,1120802,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1736696,17296,,0.0,0,,RPQNMLTJQHIGFDQ37EA,0.0,0.0,0.0,無,
民雄鄉,土地,東勢湖段590地號,249.75,都市：其他:農,,,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,8008,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJQHIGFCQ27EA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂村埤角２號之２１８九樓,22.3,都市：其他:住,,,1120806,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830808,125.59,3,2,2,有,有,4800000,38220,坡道機械,0.0,0,,RPTNMLKKQHIGFCQ66DA,81.71,0.0,10.1,有,0001
朴子市,土地,大葛段465地號,95.64,,鄉村區,乙種建築用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1692600,17698,,0.0,0,,RPTNMLKKQHIGFBQ56DA,0.0,0.0,0.0,無,
義竹鄉,土地,頭竹圍段頭竹小段177地號,1323.0,,特定農業區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,756,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLKQHIGFBQ09DA,0.0,0.0,0.0,無,
鹿草鄉,土地,鹿西段932地號,124.12,住,,,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,16113,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLKKQHIGFDQ98DA,0.0,0.0,0.0,無,
