編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLKKQHIGFCQ66DA,坡道機械,0,,地下一樓
RPOOMLPKQHIGFCQ76DA,坡道機械,800000,13.24,地下一樓
RPPNMLRLQHIGFCQ07DA,升降機械,0,,地下一樓
RPTNMLTLQHIGFCQ67DA,坡道機械,0,,地下一樓
RPXNMLQKQHIGFCQ67DA,坡道機械,0,,地下一樓
RPPNMLOLQHIGFCQ86EA,坡道平面,0,,地下一樓
RPPNMLPJRHIGFEQ96DA,坡道平面,0,,地下二樓
RPSNMLTLOHIGFEQ57DA,一樓平面,0,,一樓
RPTNMLLLOHIGFDQ76DA,升降平面,0,,一樓
RPRNMLLKPHIGFBQ98DA,坡道平面,0,,地下一樓
RPRNMLRLOHIGFEQ27DA,一樓平面,0,,一樓
RPRNMLQJQHIGFDQ07DA,一樓平面,800000,28.70,一樓
RPPNMLMKOHIGFDQ98DA,坡道平面,850000,29.87,地下二樓
RPPNMLMKOHIGFDQ98DA,坡道平面,850000,29.87,地下二樓
RPRNMLNKOHIGFDQ66DA,坡道平面,0,29.87,地下二樓
RPPNMLKMNHIGFEQ98DA,坡道平面,0,,地下二樓
RPPNMLQKOHIGFCQ66DA,坡道平面,0,,地下一樓
RPPNMLTKOHIGFBQ86DA,升降機械,0,,地下一樓
RPUNMLSLOHIGFDQ57DA,坡道平面,0,,地下二樓
RPQNMLOKQHIGFCQ76DA,坡道機械,0,,一樓
RPTRMLRKOHIGFCQ57DA,其他,500000,8.63,一樓
RPSNMLPJOHIGFDQ86DA,坡道平面,0,,地下二樓
RPTNMLPJOHIGFDQ96DA,坡道平面,0,,地下二樓
RPSNMLQKNHIGFCQ86DA,坡道機械,790000,13.24,地下一樓
RPPPMLTLNHIGFDQ27DA,一樓平面,0,,一樓
RPQPMLTLNHIGFDQ37DA,一樓平面,0,,一樓
RPWPMLTLNHIGFDQ97DA,一樓平面,0,,一樓
RPPOMLOKOHIGFDQ66DA,一樓平面,0,,一樓
RPTQMLRKOHIGFCQ47DA,其他,500000,8.63,一樓
RPTOMLOKOHIGFDQ07DA,一樓平面,0,,一樓
RPWOMLOKOHIGFDQ37DA,一樓平面,0,,一樓
RPOPMLTLNHIGFDQ17DA,一樓平面,0,,一樓
