鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,91.67,,鄉村區,乙種建築用地,1120517,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.35,4,2,4,有,無,8580000,57449,,0.0,0,,RPPNMLMLNHIGFBQ78CB,上荷院8期,8C區棟13號,
太保市,房地(土地+建物)+車位,嘉義縣太保市合德新村,46.21,住,,,1120521,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.0,3,1,2,有,無,8350000,75300,一樓平面,29.39,1000000,交易總價含下列非屬預售屋價格之費用:含傢俱設備費30000元；,RPPNMLNLNHIGFDQ09CB,美銓新宿,5E號,
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉後庄17巷,36.03,住,,,1120518,土地3建物1車位1,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,117.43,3,2,2,有,無,7600000,67809,一樓平面,22.31,1150000,,RPRNMLNLNHIGFDQ66CB,天晴19,A棟2A2號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中山路五段,106.58,住,,,1120523,土地1建物1車位0,全,4,透天厝,見使用執照,鋼筋混凝土造,,180.43,5,2,5,有,無,15000000,83135,,0.0,0,,RPSNMLOLNHIGFDQ86CB,豪冠丰藝,A棟7號,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村100-2號對面大崙國小南邊約250公尺,154.69,,鄉村區,乙種建築用地,1120526,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,208.87,5,2,3,有,無,12550000,60085,,0.0,0,,RPQNMLRLNHIGFDQ07DB,沐粼,A棟02號,
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,85.67,,鄉村區,乙種建築用地,1120522,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.38,4,2,4,有,無,8480000,58330,,0.0,0,,RPPNMLTLNHIGFBQ86CB,上荷院8期,8C區棟06號,
太保市,房地(土地+建物),嘉義縣太保市過溝段過溝小段1142之20地號,123.3,住,,,1120526,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.95,4,2,2,有,無,11100000,67704,,0.0,0,,RPPNMLTLNHIGFDQ07CB,鑫盛市五期,B棟7號,
太保市,房地(土地+建物),嘉義縣太保市過溝段過溝小段1142之21地號,123.3,住,,,1120514,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.95,4,2,2,有,無,11100000,67704,,0.0,0,,RPQNMLTLNHIGFDQ17CB,鑫盛市五期,B棟8號,
太保市,房地(土地+建物),嘉義縣太保市過溝段過溝小段1142之22地號,123.3,住,,,1120527,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,164.82,4,2,2,有,無,11100000,67346,,0.0,0,,RPRNMLTLNHIGFDQ27CB,鑫盛市五期,B棟9號,
太保市,房地(土地+建物),嘉義縣太保市過溝段過溝小段1142之28地號,124.3,住,,,1120515,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.37,4,2,2,有,無,11000000,68591,,0.0,0,,RPSNMLTLNHIGFDQ37CB,鑫盛市五期,B棟16號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,28.18,住,,,1120519,土地1建物1車位2,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,120.14,3,2,2,有,無,7980000,67203,坡道機械,17.02,1050000,,RPQNMLKMNHIGFBQ78CB,築夢,E棟4號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,17.54,住,,,1120513,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.82,2,2,2,有,無,5080000,70440,升降機械,8.51,550000,,RPRNMLKMNHIGFBQ88CB,築夢,F棟5號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,19.09,住,,,1120513,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,78.59,2,2,2,有,無,5260000,67488,升降機械,8.8,550000,,RPSNMLKMNHIGFBQ98CB,築夢,F棟3號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,28.18,住,,,1120518,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.78,3,2,2,有,無,7680000,69526,升降機械,8.51,500000,,RPTNMLKMNHIGFBQ09CB,築夢,B棟3號,
朴子市,房地(土地+建物),嘉義縣朴子市開元路,30.18,住,,,1120515,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,110.48,3,2,2,有,無,7350000,66528,,0.0,0,,RPWNMLKMNHIGFBQ76CB,築夢,D棟5號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,28.18,住,,,1120521,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.92,3,2,2,有,無,7360000,66524,升降機械,8.8,500000,,RPXNMLKMNHIGFBQ86CB,築夢,E棟6號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,30.18,住,,,1120521,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,119.28,3,2,2,有,無,7800000,66528,升降機械,8.8,450000,,RPOOMLKMNHIGFBQ68CB,築夢,D棟6號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,17.54,住,,,1120513,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,73.11,2,2,2,有,無,5070000,71062,升降機械,8.8,500000,,RPQOMLKMNHIGFBQ88CB,築夢,F棟4號,
