編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLNHIGFBQ78CB,湖底段湖底小段,71.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01940022
RPPNMLMLNHIGFBQ78CB,湖底段湖底小段,20.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,01940000
RPRNMLNLNHIGFDQ66CB,和睦段,35.83,都市：住,100000,3248,持分移轉,00690000
RPPNMLNLNHIGFDQ09CB,麻寮段,46.21,都市：住,10000,468,持分移轉,01240000
RPRNMLNLNHIGFDQ66CB,和睦段,.15,都市：住,6930,1,持分移轉,00740000
RPRNMLNLNHIGFDQ66CB,和睦段,.05,都市：住,12931644,331,持分移轉,03180000
RPQNMLTLNHIGFDQ17CB,過溝段過溝小段,88.00,都市：住,1,1,全筆移轉,11420021
RPQNMLTLNHIGFDQ17CB,過溝段過溝小段,35.30,都市：其他:道路,27,1,持分移轉,11420000
RPPNMLTLNHIGFBQ86CB,湖底段湖底小段,58.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01940009
RPPNMLTLNHIGFDQ07CB,過溝段過溝小段,88.00,都市：住,1,1,全筆移轉,11420020
RPPNMLTLNHIGFBQ86CB,湖底段湖底小段,7.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01940010
RPPNMLTLNHIGFBQ86CB,湖底段湖底小段,20.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,01940000
RPPNMLTLNHIGFDQ07CB,過溝段過溝小段,35.30,都市：其他:道路,27,1,持分移轉,11420000
RPQNMLRLNHIGFDQ07DB,新大崙段,154.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05710002
RPSNMLOLNHIGFDQ86CB,中庄仔段,106.58,都市：住,1,1,全筆移轉,01300001
RPRNMLTLNHIGFDQ27CB,過溝段過溝小段,88.00,都市：住,1,1,全筆移轉,11420022
RPRNMLTLNHIGFDQ27CB,過溝段過溝小段,35.30,都市：其他:道路,27,1,持分移轉,11420000
RPSNMLTLNHIGFDQ37CB,過溝段過溝小段,89.00,都市：住,1,1,全筆移轉,11420028
RPSNMLTLNHIGFDQ37CB,過溝段過溝小段,35.30,都市：其他:道路,27,1,持分移轉,11420000
RPRNMLKMNHIGFBQ88CB,德安段,17.54,都市：住,10000,193,持分移轉,03220000
RPQNMLKMNHIGFBQ78CB,德安段,28.18,都市：住,10000,310,持分移轉,03220000
RPSNMLKMNHIGFBQ98CB,德安段,19.09,都市：住,10000,210,持分移轉,03220000
RPQOMLKMNHIGFBQ88CB,德安段,17.54,都市：住,10000,193,持分移轉,03220000
RPWNMLKMNHIGFBQ76CB,德安段,30.18,都市：住,10000,332,持分移轉,03220000
RPTNMLKMNHIGFBQ09CB,德安段,28.18,都市：住,10000,310,持分移轉,03220000
RPOOMLKMNHIGFBQ68CB,德安段,30.18,都市：住,10000,332,持分移轉,03220000
RPXNMLKMNHIGFBQ86CB,德安段,28.18,都市：住,10000,310,持分移轉,03220000
RPROMLKMNHIGFBQ98CB,德安段,17.54,都市：住,10000,193,持分移轉,03220000
RPTOMLKMNHIGFBQ56CB,德安段,24.91,都市：住,10000,274,持分移轉,03220000
RPPNMLLJOHIGFBQ58CB,大德興段,99.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10450045
RPPNMLLJOHIGFBQ58CB,大德興段,22.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,10450004
RPQNMLLJOHIGFBQ68CB,大德興段,9.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10450034
