鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
朴子市,建物,嘉義縣朴子市仁和二路１３９號八樓之１８,0.0,住,,,1120509,土地0建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,10500,336,,0.0,0,,RPPNMLQKNHIGFBQ56CC
梅山鄉,房地(土地+建物)+車位,嘉義縣梅山鄉梅北村中華街７１號,107.0,住,,,1120510,土地1建物1車位1,全,3,透天厝,住宅,鋼筋混凝土造,1110613,182.92,4,2,5,有,無,有,19800,108,一樓平面,0.0,0,屋主保留三樓後面一間套房,RPPNMLSKNHIGFEQ07CC
民雄鄉,建物,嘉義縣民雄鄉豐收村７鄰大學路二段３５１０號五樓之二,0.0,,特定農業區,甲種建築用地,1120514,土地0建物1車位0,五層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0851203,36.67,1,0,1,有,無,有,4200,115,,0.0,0,嘉義縣政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPPNMLSKNHIGFCQ86CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之７號５樓之３１,0.0,,鄉村區,乙種建築用地,1120517,土地0建物1車位0,五層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,21.71,1,0,1,有,有,有,4700,216,,0.0,0,,RPPNMLSKNHIGFDQ96CC
太保市,建物,嘉義縣太保市安仁里頂港子墘３９之６號３樓之１９,0.0,,鄉村區,乙種建築用地,1120515,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0930609,20.259999999999998,1,0,1,有,無,有,3300,163,,0.0,0,,RPQNMLSKNHIGFDQ07CC
太保市,房地(土地+建物),嘉義縣太保市過溝里過溝４５之２２號,73.76,住,,,1120512,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0830625,180.14,3,2,3,有,無,有,12000,67,,0.0,0,,RPRNMLSKNHIGFDQ17CC
水上鄉,房地(土地+建物),嘉義縣水上鄉下寮村１１鄰鴿溪寮２０之９７號,165.56,住,,,1120512,土地1建物1車位0,全,1,透天厝,住家用,磚造,0660813,77.46,3,2,2,有,無,有,7500,97,,0.0,0,,RPSNMLSKNHIGFDQ27CC
大林鎮,房地(土地+建物),嘉義縣大林鎮共和街３５號３樓,36.47,住,,,1120517,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0820217,103.59,3,2,2,有,無,無,10000,97,,0.0,0,,RPPNMLQLNHIGFCQ76CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村１７鄰集福街２０巷３２號,67.4,住,,,1120524,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700710,98.53,3,1,2,有,無,有,6000,61,,0.0,0,嘉義縣政府包租代管計畫；每月水電瓦斯、網路費由承租人另外負擔。,RPPNMLLMNHIGFCQ98CC
水上鄉,房地(土地+建物),嘉義縣水上鄉柳子林１４５８號,79.25,,鄉村區,乙種建築用地,1120529,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0691216,129.08,4,3,3,有,無,有,10000,77,,0.0,0,,RPPNMLLMNHIGFDQ09CC
朴子市,建物,嘉義縣朴子市仁和二路１３９號八樓之８,0.0,住,,,1120527,土地0建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,4500,144,,0.0,0,嘉義縣政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPPNMLLMNHIGFBQ88CC
