編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKNHIGFBQ56CC,17,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLQKNHIGFBQ56CC,17,4.60,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLQKNHIGFBQ56CC,17,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLSKNHIGFCQ86CC,26,25.14,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLSKNHIGFCQ86CC,26,11.53,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLQLNHIGFCQ76CC,30,103.59,國民住宅,鋼筋混凝土造,82年2月17日,五層,,
RPPNMLSKNHIGFEQ07CC,1,182.92,住宅,鋼筋混凝土造,111年6月13日,三層,,
RPPNMLLMNHIGFCQ98CC,42,98.53,住家用,鋼筋混凝土加強磚造,70年7月10日,二層,,
RPPNMLLMNHIGFBQ88CC,17,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLLMNHIGFBQ88CC,17,4.60,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLLMNHIGFBQ88CC,17,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLMKOHIGFDQ09CC,43,81.00,住家用,加強磚造,68年12月15日,二層,,
RPPNMLPKOHIGFDQ76CC,6,127.33,集合住宅,鋼筋混凝土造,106年4月21日,十五層,,
RPPNMLPKOHIGFDQ76CC,6,20.71,本共有之項目有公共服務空間、管委會使用空間、防災中心、大廳、迴廊、頂蓋型開放空間、車道、機車停車空間、台電配電室﹝一﹞﹝二﹞﹝三﹞、排風機房、守衛室、垃圾儲藏室、垃圾車暫停區、緊急發電機室、泳池機房、泳池水箱、公共水箱、雨水蓄留機房、儲藏室、消防泵浦、汙水機房、採光井﹝上方投影﹞、電信室、地下一層車位﹝２３１、２３２﹞等２６項　,鋼筋混凝土造,106年4月21日,十六層,,
RPPNMLPKOHIGFDQ76CC,6,34.09,本共有之項目有梯廳、梯廳兼排煙室、排煙室、Ａ棟水箱、水錶室、電錶室、垃圾暫存、樓梯間、電梯機房、水箱、消防水箱等１１項。,鋼筋混凝土造,106年4月21日,十五層,,
RPPNMLPKOHIGFDQ76CC,6,29.87,本共有之項目有車道、防空避難室兼停車空間、停車空間等３項,鋼筋混凝土造,106年4月21日,十六層,,
RPQNMLPKOHIGFDQ86CC,18,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLPKOHIGFDQ86CC,18,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLPKOHIGFDQ96CC,43,96.46,住家用,鋼筋混凝土加強磚造,69年5月7日,二層,,
RPPNMLPKOHIGFBQ56CC,17,16.85,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLPKOHIGFBQ56CC,17,4.77,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLPKOHIGFBQ56CC,17,6.21,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLQKOHIGFCQ76CC,17,18.78,集合住宅,鋼筋混凝土造,95年10月19日,五層,,
RPPNMLQKOHIGFCQ76CC,17,11.16,管理委員會空間、集合住宅、停車空間,鋼筋混凝土造,95年10月19日,五層,,
RPQNMLQKOHIGFCQ86CC,40,62.00,集合住宅,鋼筋混凝土造,72年3月12日,五層,,
RPQNMLQKOHIGFCQ86CC,40,7.98,共有部分,鋼筋混凝土造,72年3月12日,五層,,
RPPNMLKLOHIGFCQ88CC,42,100.02,住家用,鋼筋混凝土加強磚造,70年2月10日,二層,,
RPPNMLKLOHIGFDQ98CC,28,160.90,住家用,鋼筋混凝土造,84年10月26日,三層,,
RPQNMLKLOHIGFDQ09CC,18,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLKLOHIGFDQ09CC,18,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPSNMLSKNHIGFDQ27CC,46,77.46,住家用,磚造,66年8月13日,一層,,
RPQNMLSKNHIGFDQ07CC,19,15.61,集合住宅,鋼筋混凝土造,93年6月9日,五層,,
RPQNMLSKNHIGFDQ07CC,19,4.65,集合住宅,鋼筋混凝土造,93年6月9日,五層,,
RPPNMLQJOHIGFDQ76CC,24,123.88,住家用,鋼筋混凝土造,88年6月11日,三層,,
RPRNMLSKNHIGFDQ17CC,29,180.14,住商用,鋼筋混凝土造,83年6月25日,三層,,
RPPNMLSKNHIGFDQ96CC,18,15.02,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLSKNHIGFDQ96CC,18,6.69,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLLMNHIGFDQ09CC,42,129.08,住家用,鋼筋混凝土加強磚造,69年12月16日,三層,,
RPPNMLRJOHIGFDQ86CC,18,17.13,集合住宅,鋼筋混凝土造,94年2月4日,五層,,
RPPNMLRJOHIGFDQ86CC,18,5.89,集合住宅、停車空間,鋼筋混凝土造,94年2月4日,五層,,
RPQNMLLJOHIGFDQ98CC,22,161.75,集合住宅、停車空間,鋼筋混凝土造,90年5月2日,四層,,
RPQNMLRJOHIGFDQ96CC,18,17.13,集合住宅,鋼筋混凝土造,94年2月4日,五層,,
RPQNMLRJOHIGFDQ96CC,18,5.89,集合住宅、停車空間,鋼筋混凝土造,94年2月4日,五層,,
RPPNMLRLOHIGFDQ07CC,18,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLRLOHIGFDQ07CC,18,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLRLOHIGFDQ17CC,18,17.13,集合住宅,鋼筋混凝土造,94年2月4日,五層,,
RPQNMLRLOHIGFDQ17CC,18,5.89,集合住宅、停車空間,鋼筋混凝土造,94年2月4日,五層,,
RPRNMLRLOHIGFDQ27CC,18,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLRLOHIGFDQ27CC,18,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLSLOHIGFCQ07CC,31,80.19,住家用,鋼筋混凝土造,81年4月24日,四層,,
RPQNMLNJPHIGFDQ66CC,45,88.00,住家用,鋼筋混凝土加強磚造,67年7月10日,二層,,
RPPNMLSLOHIGFEQ27CC,30,191.08,住家用,鋼筋混凝土造,82年3月8日,四層,,
RPPNMLRJPHIGFEQ07CC,43,98.32,住家用,鋼筋混凝土加強磚造,69年3月31日,二層,,
RPPNMLPJPHIGFDQ76CC,47,66.24,住家用,鋼筋混凝土加強磚造,65年4月9日,二層,,
RPPNMLKKPHIGFCQ88CC,41,107.79,住商用,鋼筋混凝土加強磚造,71年2月22日,二層,,
RPPNMLNJPHIGFDQ56CC,43,65.10,住家用,磚造,69年10月29日,一層,,
RPPNMLTLOHIGFBQ07CC,26,86.27,住家用,鋼筋混凝土造,86年1月10日,十層,,
RPPNMLTLOHIGFBQ07CC,26,21.64,防空避難室兼停車空間,鋼筋混凝土造,86年1月10日,十層,,
RPPNMLTLOHIGFBQ07CC,26,12.61,電、樓梯間,鋼筋混凝土造,86年1月10日,十層,,
RPQNMLMKPHIGFCQ56CC,2,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPPNMLLKPHIGFCQ98CC,31,83.63,住家用,鋼筋混凝土造,81年11月30日,五層,,
RPPNMLLKPHIGFCQ98CC,31,8.46,共有部分,鋼筋混凝土造,81年11月30日,地下層,,
RPPNMLLKPHIGFCQ98CC,31,6.94,共有部分,鋼筋混凝土造,81年11月30日,五層,,
RPQNMLMKPHIGFBQ09CC,17,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPQNMLMKPHIGFBQ09CC,17,4.60,共有部分,鋼筋混凝土造,95年8月28日,,,
RPQNMLMKPHIGFBQ09CC,17,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLSKPHIGFDQ17CC,20,179.17,住商用,鋼筋混凝土造,92年3月12日,四層,,
RPPNMLNKPHIGFDQ66CC,43,89.93,住商用,鋼筋混凝土加強磚造,69年8月20日,二層,,
RPPNMLNKPHIGFEQ76CC,30,33.90,住家用,鋼筋混凝土造,82年4月1日,十八層,,
RPPNMLNKPHIGFEQ76CC,30,6.62,梯間,鋼筋混凝土造,82年4月1日,十八層,,
RPPNMLNKPHIGFEQ76CC,30,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,,
RPRNMLMKPHIGFCQ66CC,2,32.36,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPQNMLRKPHIGFDQ17CC,18,17.13,集合住宅,鋼筋混凝土造,94年2月4日,五層,,
RPQNMLRKPHIGFDQ17CC,18,5.89,集合住宅、停車空間,鋼筋混凝土造,94年2月4日,五層,,
RPPNMLSKPHIGFBQ96CC,17,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLSKPHIGFBQ96CC,17,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLSKPHIGFBQ96CC,17,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLLLPHIGFBQ98CC,17,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLLLPHIGFBQ98CC,17,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLLLPHIGFBQ98CC,17,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPQNMLLLPHIGFDQ66CC,18,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
