鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
獅子鄉,土地,內文段26地號,17930.0,,山坡地保育區,林業用地,1120905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,11,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPJRHIGFFT57EA,0.0,0.0,0.0,無,
恆春鎮,房地(土地+建物),屏東縣恆春鎮南灣路鞍山巷３０號二樓之四四,20.88,,國家公園區,,1120801,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831209,55.09,0,0,0,無,有,1200000,21783,,0.0,0,,RPPNMLPJQHIGFET17DA,26.4,0.0,4.8,有,
獅子鄉,土地,竹坑段414-1地號,29537.0,,山坡地保育區,林業用地,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1196000,40,,0.0,0,,RPPNMLQJQHIGFFT37DA,0.0,0.0,0.0,無,
獅子鄉,土地,草埔段114地號,24450.0,,山坡地保育區,農牧用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,978000,40,,0.0,0,,RPQNMLQJQHIGFFT47DA,0.0,0.0,0.0,無,
高樹鄉,土地,泰和段124地號,7186.04,,一般農業區,農牧用地,1120801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4445280,619,,0.0,0,,RPPNMLRJQHIGFBT17EA,0.0,0.0,0.0,無,
萬丹鄉,土地,灣內段984地號,281.0,,鄉村區,乙種建築用地,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,7117,,0.0,0,本件買賣全部費用由賣方負擔,RPQNMLSJQHIGFAT17DA,0.0,0.0,0.0,無,
三地門鄉,土地,三地段15地號,15474.0,,山坡地保育區,林業用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,455000,29,,0.0,0,,RPSNMLTJQHIGFBT57DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉學人路２６７之１９號三樓,8.06,,鄉村區,乙種建築用地,1120801,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840710,28.259999999999998,1,1,1,有,有,550000,19462,,0.0,0,,RPTNMLTJQHIGFCT77DA,14.78,0.0,2.31,有,
鹽埔鄉,土地,久愛段827-2地號,0.0,,,,1120801,土地0建物0車位0,,,其他,,,,0.0,0,0,0,無,無,114000,0,,0.0,0,,RPQNMLSJQHIGFBT37EA,0.0,0.0,0.0,無,
恆春鎮,土地,下水泉段302地號,297.68,,國家公園區,,1120805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,15117,,0.0,0,增值稅由買方負擔1/2.其他相關稅費全部由買方負擔含土地增值稅或其他稅費400121元；親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTJQHIGFET38DA,0.0,0.0,0.0,無,0001
春日鄉,土地,力里段274地號,5960.0,,山坡地保育區,林業用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,149000,25,,0.0,0,,RPQNMLSJQHIGFFT67DA,0.0,0.0,0.0,無,
春日鄉,土地,力里段1806地號,15000.0,,山坡地保育區,林業用地,1120805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,30,,0.0,0,,RPRNMLSJQHIGFFT77DA,0.0,0.0,0.0,無,0002
萬巒鄉,房地(土地+建物),屏東縣萬巒鄉萬聖路２３號,136.9,,鄉村區,乙種建築用地,1120802,土地2建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0640613,38.64,5,2,3,有,無,300000,7764,,0.0,0,,RPRNMLKKQHIGFCT76DA,38.64,0.0,0.0,無,0003
屏東市,土地,新生段273-47地號,4.0,住,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,37500,,0.0,0,畸零地或有合併使用效益；,RPQNMLMJQHIGFAT56DA,0.0,0.0,0.0,無,
林邊鄉,土地,內庄段601地號,7.02,,一般農業區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,110000,15670,,0.0,0,,RPQNMLKKQHIGFDT76DA,0.0,0.0,0.0,無,0004
牡丹鄉,土地,高士段871地號,28090.0,,山坡地保育區,林業用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1151000,41,,0.0,0,,RPPNMLKKQHIGFET76DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿民享一路１４３號三樓之一,17.94,住,,,1120808,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,1020916,68.72,3,1,2,有,有,538300,7833,一樓平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKQHIGFAT56EA,35.99,4.55,4.75,有,0005
琉球鄉,土地,本漁段293地號,44.27,,,,1120809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,803500,18150,,0.0,0,,RPUNMLLKQHIGFDT27DA,0.0,0.0,0.0,無,0006
萬丹鄉,土地,田厝段1182-2地號,366.0,,一般農業區,農牧用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,10929,,0.0,0,農作物；,RPTNMLRJQHIGFAT37DA,0.0,0.0,0.0,無,0007
屏東市,土地,大同段280-7地號,51.0,住,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,15686,,0.0,0,畸零地或有合併使用效益；,RPUOMLLKQHIGFAT07DA,0.0,0.0,0.0,無,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉吉豐路９３號,137.35,,鄉村區,乙種建築用地,1120801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1101123,215.26,5,1,4,有,無,12400000,57605,,0.0,0,,RPRNMLOKQHIGFAT96DA,201.31,0.0,13.95,無,0008
屏東市,房地(土地+建物)+車位,屏東縣屏東巿豐榮街７４巷３號五樓之二,23.5,住,,,1120806,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830803,101.74000000000001,2,2,2,有,有,4050000,39807,升降機械,0.0,0,機械車位年久失修，現已無法使用,RPUOMLOKQHIGFAT37DA,63.78,0.0,9.53,有,0009
東港鎮,土地,大東段1126地號,1431.7,都市：其他:遊憩區,,,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11474592,8015,,0.0,0,含土地增值稅或其他稅費2474592元；,RPRNMLOKQHIGFDT27DA,0.0,0.0,0.0,無,
內埔鄉,土地,黎東段262地號,175.21,,一般農業區,農牧用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,265000,1512,,0.0,0,,RPPOMLOKQHIGFCT07DA,0.0,0.0,0.0,無,
新園鄉,土地,五龍段484地號,1106.89,,一般農業區,農牧用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3060000,2765,,0.0,0,,RPRNMLPKQHIGFDT47EA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿忠孝路３０２巷３弄７６號,133.0,,一般農業區,甲種建築用地,1120802,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110425,199.78,5,2,4,有,無,16880000,84493,,0.0,0,,RPSNMLKKQHIGFAT76EA,185.35,0.0,14.43,無,
潮州鎮,房地(土地+建物),屏東縣潮州鎮榮田路１２３號三樓之七,24.45,住,,,1120807,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850817,115.98,3,2,2,有,有,3500000,30178,,0.0,0,,RPXNMLRJQHIGFCT97DA,77.58,0.0,8.48,有,0010
林邊鄉,房地(土地+建物),屏東縣林邊鄉光前路１０５之２號,85.2,,鄉村區,乙種建築用地,1120806,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0691210,173.43,5,2,2,有,無,2500000,14415,,0.0,0,,RPOOMLOKQHIGFDT07DA,173.43,0.0,0.0,無,0011
東港鎮,土地,大潭新庄段573地號,232.68,,鄉村區,乙種建築用地,1120807,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,11604,,0.0,0,,RPUNMLOKQHIGFDT57DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿蘭州街１５２巷１５號,90.0,住,,,1120802,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671110,78.98,4,2,3,有,無,4350000,55077,,0.0,0,,RPUNMLKKQHIGFAT86DA,78.98,0.0,0.0,無,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉惠崙路５１９號,72.0,,鄉村區,乙種建築用地,1120803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1101130,193.93,5,2,3,有,無,11500000,59300,,0.0,0,,RPOOMLQKQHIGFAT96DA,185.05,0.0,8.88,無,
高樹鄉,房地(土地+建物),屏東縣高樹鄉產業路２６７之６號,98.02,,鄉村區,乙種建築用地,1120804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0790914,117.27,3,2,2,有,無,2720000,23194,,0.0,0,其他增建；,RPPNMLQKQHIGFBT07DA,108.3,6.27,2.7,無,
琉球鄉,土地,本漁段872地號,38.66,住,,,1120809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,936000,24211,,0.0,0,,RPPNMLLKQHIGFDT76DA,0.0,0.0,0.0,無,0012
滿州鄉,土地,新滿州段735地號,2612.7,農,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,1148,,0.0,0,,RPPNMLNKQHIGFET07DA,0.0,0.0,0.0,無,
恆春鎮,土地,湖內段393-1地號,75.68,,一般農業區,水利用地,1120814,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,268652,3550,,0.0,0,協議價購；,RPRNMLOKQHIGFET37DA,0.0,0.0,0.0,無,0013
恆春鎮,土地,湖內段393-1地號,25.23,,一般農業區,水利用地,1120814,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,89550,3549,,0.0,0,協議價購；,RPSNMLOKQHIGFET47DA,0.0,0.0,0.0,無,0013
恆春鎮,土地,湖內段393-1地號,25.23,,一般農業區,水利用地,1120814,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,89550,3549,,0.0,0,協議價購；,RPTNMLOKQHIGFET57DA,0.0,0.0,0.0,無,0013
