編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJQHIGFFT37DA,竹坑段,3700.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01510000
RPQNMLPJRHIGFFT57EA,內文段,17930.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00260000
RPPNMLQJQHIGFFT37DA,竹坑段,25837.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04140001
RPQNMLSJQHIGFAT17DA,灣內段,259.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09840000
RPQNMLSJQHIGFAT17DA,灣內段,22.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,09850000
RPPNMLPJQHIGFET17DA,一心段,20.88,非都市：國家公園區 ; 非都市編定：,100000,554,持分移轉,07950000
RPPNMLRJQHIGFBT17EA,泰和段,4946.22,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01240000
RPPNMLRJQHIGFBT17EA,泰和段,1219.80,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01510000
RPPNMLRJQHIGFBT17EA,泰和段,1020.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680000
RPSNMLTJQHIGFBT57DA,三地段,15474.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1000,120,持分移轉,00150000
RPTNMLTJQHIGFCT77DA,美和段,8.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,44,持分移轉,08870000
RPQNMLQJQHIGFFT47DA,草埔段,24450.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01140000
RPQNMLSJQHIGFBT37EA,久愛段,.00,,1,1,全筆移轉,08270002
RPQNMLSJQHIGFBT37EA,久愛段,.00,,1,1,全筆移轉,08270003
RPXNMLTJQHIGFET38DA,下水泉段,297.68,非都市：國家公園區 ; 非都市編定：,540,36,持分移轉,03020000
RPRNMLSJQHIGFFT77DA,力里段,15000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,43921,3750,持分移轉,18060000
RPQNMLSJQHIGFFT67DA,力里段,5960.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02740000
RPRNMLKKQHIGFCT76DA,萬金段,97.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,03700000
RPQNMLKKQHIGFDT76DA,內庄段,7.02,非都市：一般農業區 ; 非都市編定：農牧用地,142150,2000,持分移轉,06010000
RPUNMLLKQHIGFDT27DA,本漁段,13.36,都市：其他:公園用地,270,4,持分移轉,02910000
RPRNMLKKQHIGFCT76DA,萬金段,38.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,03710000
RPUNMLLKQHIGFDT27DA,本漁段,30.91,都市：其他:住宅區,270,4,持分移轉,02930000
RPQNMLMJQHIGFAT56DA,新生段,4.00,都市：其他:住宅區,1,1,全筆移轉,02730047
RPPNMLKKQHIGFET76DA,高士段,28090.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,08710000
RPPNMLLKQHIGFAT56EA,花園段,17.94,都市：其他:住宅區,10000,224,持分移轉,06190000
RPTNMLRJQHIGFAT37DA,田厝段,366.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11820002
RPUOMLLKQHIGFAT07DA,大同段,51.00,都市：其他:住宅區,128,51,持分移轉,02800007
RPRNMLOKQHIGFAT96DA,新社皮段,137.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09400002
RPPOMLOKQHIGFCT07DA,黎東段,175.21,非都市：一般農業區 ; 非都市編定：農牧用地,142843,17521,持分移轉,02620000
RPUOMLOKQHIGFAT37DA,豐田段,23.50,都市：其他:住宅區,10,1,持分移轉,08360000
RPRNMLPKQHIGFDT47EA,五龍段,1106.89,非都市：一般農業區 ; 非都市編定：農牧用地,4,3,持分移轉,04840000
RPSNMLKKQHIGFAT76EA,和興段,108.67,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08120008
RPSNMLKKQHIGFAT76EA,和興段,20.35,非都市：一般農業區 ; 非都市編定：甲種建築用地,22,1,持分移轉,08120014
RPSNMLKKQHIGFAT76EA,和興段,.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,184,1,持分移轉,08170001
RPXNMLRJQHIGFCT97DA,榮田段,24.42,都市：其他:住宅區,10000,175,持分移轉,10100000
RPSNMLKKQHIGFAT76EA,和興段,.43,非都市：一般農業區 ; 非都市編定：甲種建築用地,69000,334,持分移轉,08230000
RPSNMLKKQHIGFAT76EA,和興段,1.19,非都市：一般農業區 ; 非都市編定：農牧用地,184,1,持分移轉,08240001
RPSNMLKKQHIGFAT76EA,和興段,2.35,非都市：一般農業區 ; 非都市編定：農牧用地,184,1,持分移轉,08520002
RPRNMLOKQHIGFDT27DA,大東段,1431.70,都市：其他:遊憩區,1,1,全筆移轉,11260000
RPXNMLRJQHIGFCT97DA,榮田段,.02,都市：其他:住宅區,10000,175,持分移轉,10100001
RPUNMLKKQHIGFAT86DA,勝興段,90.00,都市：其他:住宅區,1,1,全筆移轉,14100000
RPOOMLOKQHIGFDT07DA,成功段,2.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,05570000
RPOOMLOKQHIGFDT07DA,成功段,82.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05570004
