編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKNHIGFDT07CB,龍帝段,107.56,都市：住,1,1,全筆移轉,07140015
RPPNMLRKNHIGFDT07CB,龍帝段,22.64,都市：住,375920,22635,持分移轉,07140000
RPPNMLRKNHIGFDT07CB,龍帝段,6.50,都市：其他:道路用地,16306,650,持分移轉,07160000
RPPNMLTKNHIGFDT27CB,龍帝段,26.32,都市：住,10000,206,持分移轉,08120008
RPVNMLTKNHIGFAT57CB,瑞光段,33.55,都市：住,100000,1149,持分移轉,11390000
RPQNMLMLNHIGFAT09CB,新安段,29.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,7655,持分移轉,13210000
RPWNMLTKNHIGFAT67CB,瑞光段,27.36,都市：住,100000,937,持分移轉,11390000
RPPNMLMLNHIGFAT98CB,新安段,21.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,5726,持分移轉,13210000
RPRNMLMLNHIGFAT56CB,新安段,29.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,7655,持分移轉,13210000
RPXNMLTKNHIGFAT77CB,九智段,76.89,都市：住,1,1,全筆移轉,10350029
RPSNMLMLNHIGFAT66CB,香揚段一小段,4.67,都市：住,100000,157,持分移轉,00300000
RPXNMLTKNHIGFAT77CB,九智段,11.86,都市：住,218101,7689,持分移轉,10380000
RPSNMLMLNHIGFAT66CB,香揚段一小段,1.28,都市：住,100000,157,持分移轉,00300001
RPXNMLTKNHIGFAT77CB,九智段,1.19,都市：住,218101,7689,持分移轉,10350030
RPSNMLMLNHIGFAT66CB,香揚段一小段,16.09,都市：住,100000,157,持分移轉,00120000
RPSNMLMLNHIGFAT66CB,香揚段一小段,4.45,都市：住,100000,157,持分移轉,00120001
RPXNMLTKNHIGFAT77CB,九智段,.45,都市：其他:道路用地,218101,7689,持分移轉,10350001
RPXNMLTKNHIGFAT77CB,九智段,6.04,都市：農,53,1,持分移轉,10370000
RPXNMLTKNHIGFAT77CB,九智段,.46,都市：住,53,1,持分移轉,10380002
