鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東港鎮,建物,屏東縣東港鎮水源路１３號,0.0,住,,,1120501,土地0建物1車位0,見其他登記事項,4,店面(店鋪),店鋪、住宅,鋼筋混凝土構造,1070905,218.37,0,0,0,無,無,無,30700,141,,0.0,0,,RPPNMLLKNHIGFDT66DC
長治鄉,建物,屏東縣長治鄉長春街一段５２號六樓之３,0.0,住,,,1120501,土地0建物1車位0,六層,6,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0930630,32.65,1,0,1,有,有,有,5550,170,,0.0,0,,RPPNMLQKNHIGFAT76CC
屏東市,房地(土地+建物),屏東縣屏東市建豐路１３０號,81.0,住,,,1120501,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0780404,217.0,5,4,4,有,無,無,22000,101,,0.0,0,,RPQNMLQKNHIGFAT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之５,10.0,,鄉村區,乙種建築用地,1120502,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.29,1,1,1,有,無,有,5400,178,,0.0,0,,RPPNMLQKNHIGFCT96CC
內埔鄉,建物,屏東縣內埔鄉南山路８８號四樓,0.0,,鄉村區,乙種建築用地,1120501,土地0建物1車位0,四層,6,套房(1房1廳1衛),辦公室,鋼筋混凝土構造,0930712,18.490000000000002,1,0,1,有,有,有,2900,157,,0.0,0,,RPQNMLQKNHIGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之３,10.0,,鄉村區,乙種建築用地,1120502,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.9,1,1,1,有,無,有,5500,178,,0.0,0,,RPRNMLQKNHIGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號６樓之５,10.0,,鄉村區,乙種建築用地,1120510,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.29,1,1,1,有,無,有,5500,182,,0.0,0,,RPSNMLQKNHIGFCT27CC
內埔鄉,建物,屏東縣內埔鄉南山路８８號四樓之６,0.0,,鄉村區,乙種建築用地,1120428,土地0建物1車位0,四層,6,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0930712,19.36,1,0,1,有,有,有,3200,165,,0.0,0,,RPTNMLQKNHIGFCT37CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號４樓之３,10.0,,鄉村區,乙種建築用地,1120508,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.9,1,1,1,有,無,有,5500,178,,0.0,0,,RPUNMLQKNHIGFCT47CC
