鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興四街４５之２號,148.0,住,,,1120801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960213,204.99,5,2,5,有,無,11700000,57076,,0.0,0,其他增建；,RPWNMLRJQHIGFAU77DA,182.2,0.0,22.79,無,0001
瑞穗鄉,土地,興北段262地號,2129.73,,一般農業區,農牧用地,1120802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,376,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJQHIGFCU47EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市華德街４２巷８號,117.0,工,,,1120801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810608,196.87,4,2,4,有,無,10000000,50795,,0.0,0,,RPPNMLKKQHIGFAU56EA,183.09,0.0,13.78,無,
吉安鄉,土地,光明段843地號,2281.76,,一般農業區,農牧用地,1120802,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6620000,2901,,0.0,0,,RPTNMLLKQHIGFAU96DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路１３１號七樓之一,4.79,商,,,1120801,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831007,40.47,0,0,0,無,無,1950000,48184,,0.0,0,,RPPNMLNKQHIGFAU76DA,22.74,7.15,0.0,有,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉吳全１３１號三樓之七,13.78,農,,,1120803,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871006,51.24,1,1,1,有,有,1200000,23419,,0.0,0,,RPWNMLSJQHIGFAU87DA,30.07,0.0,3.64,有,0002
玉里鎮,土地,玉城段1504-13地號,206.0,,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,24272,,0.0,0,,RPQNMLOKQHIGFCU17DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉南昌北路７８號,40.82,商,,,1120801,土地1建物1車位1,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1090828,273.45,0,0,0,無,有,24000000,87767,一樓平面,29.66,0,,RPWOMLQKQHIGFAU87DA,178.74,0.0,0.0,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市綜合市場３６號,25.0,商,,,1120804,土地2建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,0571231,96.45,0,0,0,無,無,2300000,23847,,0.0,0,,RPOOMLQKQHIGFAU07DA,96.45,0.0,0.0,無,
富里鄉,土地,富山段175地號,4874.8,,山坡地保育區,農牧用地,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2050000,421,,0.0,0,未面臨道路並嚴重缺水。,RPSNMLLKQHIGFCU07DA,0.0,0.0,0.0,無,
光復鄉,土地,水廣段129地號,322.91,,鄉村區,乙種建築用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1291640,4000,,0.0,0,不含地上建物親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKQHIGFBU27DA,0.0,0.0,0.0,無,
吉安鄉,土地,仁恥段959地號,163.0,都市：其他:道路用地,,,1120807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,16564,,0.0,0,包含公共設施保留地用地；,RPOOMLTJQHIGFAU27DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路８９巷２２號四樓之三,11.26,住,,,1120802,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830401,81.09,2,2,1,有,有,6400000,78925,,0.0,0,含傢俱設備費；其他增建；,RPOPMLMLQHIGFAU86DA,48.73,1.58,11.08,有,0003
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉吳全１２９之１號二樓之九,8.88,農,,,1120807,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881125,35.39,1,1,1,有,有,950000,26844,,0.0,0,含傢俱設備費；陽台外推；夾層；,RPSOMLSKQHIGFAU67DA,17.31,0.0,1.85,有,
富里鄉,土地,萬寧段575-1地號,146.04,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,306684,2100,,0.0,0,協議價購；,RPSNMLRKQHIGFCU67DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段577-1地號,43.78,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,91938,2100,,0.0,0,協議價購；,RPUNMLRKQHIGFCU87DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段581-1地號,48.84,,山坡地保育區,交通用地,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,63492,1300,,0.0,0,協議價購；,SPUNMLRKQHIGFCU97DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段145地號,25.64,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53844,2100,,0.0,0,協議價購；,RPVNMLRKQHIGFCU97DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段246地號,7.39,,山坡地保育區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9607,1300,,0.0,0,協議價購；,SPVNMLRKQHIGFCU08DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段646-1地號,181.17,,山坡地保育區,交通用地,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,235521,1300,,0.0,0,協議價購；,RPWNMLRKQHIGFCU08DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段661-1地號,60.25,,山坡地保育區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,78325,1300,,0.0,0,協議價購；,RPXNMLRKQHIGFCU18DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段670地號,377.15,,特定農業區,交通用地,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,792015,2100,,0.0,0,協議價購；,RPQNMLSKQHIGFCU57DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段692-1地號,18.25,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,233600,12800,,0.0,0,協議價購；,SPQNMLSKQHIGFCU67DA,0.0,0.0,0.0,無,
富里鄉,土地,埔頭段1196地號,3653.08,,一般農業區,農牧用地,1120814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,1095,,0.0,0,,RPPNMLLLQHIGFCU96EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路５１號,35.0,住,,,1120803,土地1建物1車位0,全,一層,透天厝,住工用,木造,,52.7,3,1,2,有,無,2717400,51564,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLQHIGFAU96EA,52.7,0.0,0.0,無,
富里鄉,土地,萬寧段861-1地號,19.85,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,41685,2100,,0.0,0,協議價購；,RPRNMLSKQHIGFCU67DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段866-1地號,22.17,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,283776,12800,,0.0,0,協議價購；,RPSNMLSKQHIGFCU77DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段896-1地號,270.55,,山坡地保育區,交通用地,1120808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,351715,1300,,0.0,0,協議價購；,SPSNMLSKQHIGFCU87DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段917-3地號,55.63,,山坡地保育區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,572989,10300,,0.0,0,協議價購；,RPTNMLSKQHIGFCU87DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段917-4地號,67.93,,山坡地保育區,交通用地,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,88309,1300,,0.0,0,協議價購；,SPTNMLSKQHIGFCU97DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段941-1地號,158.83,,山坡地保育區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,206479,1300,,0.0,0,協議價購；,RPUNMLSKQHIGFCU97DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市建安街３０號,135.15,住,,,1120801,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870811,324.69,5,2,3,有,無,15400000,47430,,0.0,0,頂樓加蓋；,RPSNMLMLQHIGFAU07DA,311.94,0.0,12.75,無,
花蓮市,土地,福祥段1044-3地號,148.0,住,,,1120808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8954000,60500,,0.0,0,未登記建物；,RPTOMLMLQHIGFAU27DA,0.0,0.0,0.0,無,
花蓮市,土地,福祥段1042地號,19.0,都市：其他:道路用地,,,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,46000,2421,,0.0,0,包含公共設施保留地用地；,RPVOMLMLQHIGFAU47DA,0.0,0.0,0.0,無,
鳳林鎮,土地,鳳光段282-10地號,268.0,住,,,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6880000,25672,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLLQHIGFBU27DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民權六街１巷１５號,88.0,住,,,1120810,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630118,80.22,4,2,2,有,無,9900000,123411,,0.0,0,其他增建；,RPTNMLNLQHIGFAU27DA,80.22,0.0,0.0,無,0004
花蓮市,房地(土地+建物),花蓮縣花蓮市成功街４６之６號,129.93,住,,,1120811,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091104,196.47,4,2,5,有,無,13000000,66168,,0.0,0,,RPVOMLRKQHIGFAU87DA,186.65,0.0,9.82,無,0005
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街５１號四樓之十九,8.51,住,,,1120802,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830811,51.040000000000006,1,1,1,有,有,2200000,43103,,0.0,0,,RPTOMLKKQHIGFAU96DA,24.88,0.0,8.71,有,0006
瑞穗鄉,土地,掃叭頂段63地號,108.0,,鄉村區,乙種建築用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,678494,6282,,0.0,0,,RPRNMLMLQHIGFCU17DA,0.0,0.0,0.0,無,0007
富里鄉,土地,中興段749地號,189.19,住,,,1120809,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,7929,,0.0,0,多筆地號：富里鄉中興段749、750、751、752地號,RPPNMLNLQHIGFCU07DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,舞鶴東段20地號,16155.58,,山坡地保育區,農牧用地,1120810,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,464,,0.0,0,,RPRNMLNLQHIGFCU27DA,0.0,0.0,0.0,無,0008
富里鄉,土地,萬寧段639-1地號,55.02,,山坡地保育區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,566706,10300,,0.0,0,協議價購；,RPPNMLTKQHIGFCU57DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段868-1地號,41.47,,特定農業區,交通用地,1120808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,530816,12800,,0.0,0,協議價購；,RPQNMLTKQHIGFCU67DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段908-1地號,22.41,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,286848,12800,,0.0,0,協議價購；,RPRNMLTKQHIGFCU77DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段929-1地號,160.57,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,337197,2100,,0.0,0,協議價購；,SPRNMLTKQHIGFCU87DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段1138-1地號,89.09,,特定農業區,交通用地,1120808,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,187089,2100,,0.0,0,協議價購；,RPSNMLTKQHIGFCU87DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段1153-1地號,121.64,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1556992,12800,,0.0,0,協議價購；,SPSNMLTKQHIGFCU97DA,0.0,0.0,0.0,無,
富里鄉,土地,東寧段1041-1地號,142.89,,山坡地保育區,交通用地,1120808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,185757,1300,,0.0,0,協議價購；,TPSNMLTKQHIGFCU08DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段1205-1地號,259.67,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,545307,2100,,0.0,0,協議價購；,RPTNMLTKQHIGFCU97DA,0.0,0.0,0.0,無,
富里鄉,土地,萬寧段1223-1地號,228.51,,特定農業區,交通用地,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,479871,2100,,0.0,0,協議價購；,RPUNMLTKQHIGFCU08DA,0.0,0.0,0.0,無,
