編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLSJQHIGFAU87DA,25,33.71,住家用,鋼筋混凝土造,87年10月6日,五層,三層 陽台,全筆移轉
RPWNMLSJQHIGFAU87DA,25,17.53,共有部份,鋼筋混凝土造,87年10月6日,五層,,持分移轉
RPPNMLNKQHIGFAU76DA,29,29.89,住家用,鋼筋混凝土造,83年10月7日,九層,七層 見其他登記事項,全筆移轉
RPPNMLNKQHIGFAU76DA,29,10.58,共有部份,鋼筋混凝土造,83年10月7日,九層,,持分移轉
RPWOMLQKQHIGFAU87DA,3,178.74,店舖,鋼筋混凝土造,109年8月28日,九層,一層 騎樓,全筆移轉
RPWOMLQKQHIGFAU87DA,3,65.05,本共有部分之項目有停車空間、機電設備空間、騎樓、樓梯間、梯廳、昇降設備機械房、台電配電場所、消防設備室、屋頂突出物１、２層等,鋼筋混凝土造,109年8月28日,九層,,持分移轉
RPWOMLQKQHIGFAU87DA,3,29.66,停車空間,鋼筋混凝土造,109年8月28日,九層,,持分移轉
RPPNMLKKQHIGFAU56EA,31,196.87,住家用,鋼筋混凝土造,81年6月8日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLRJQHIGFAU77DA,16,204.99,住家用,鋼筋混凝土造,96年2月13日,三層,一層 二層 三層 陽台,全筆移轉
RPOPMLMLQHIGFAU86DA,29,61.39,住家用,鋼筋混凝土造,83年4月1日,十層,四層 陽台 花台,全筆移轉
RPOPMLMLQHIGFAU86DA,29,19.70,共有部份,鋼筋混凝土造,83年4月1日,十層,,持分移轉
RPSOMLSKQHIGFAU67DA,24,19.16,住家用,鋼筋混凝土造,88年11月25日,六層,二層 陽台,全筆移轉
RPSOMLSKQHIGFAU67DA,24,16.23,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPPNMLNLQHIGFAU96EA,,52.70,住工用,木造,,一層,一層,持分移轉
RPSNMLMLQHIGFAU07DA,25,324.69,住家用,鋼筋混凝土造,87年8月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物 停車場,全筆移轉
RPTNMLNLQHIGFAU27DA,50,80.22,住家用,鋼筋混凝土加強磚造,63年1月18日,二層,一層 二層,全筆移轉
RPVOMLRKQHIGFAU87DA,3,196.47,住家用,鋼筋混凝土造,109年11月4日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTOMLKKQHIGFAU96DA,29,33.59,住家用,鋼筋混凝土造,83年8月11日,八層,四層 陽台,全筆移轉
RPTOMLKKQHIGFAU96DA,29,17.45,共有部份,鋼筋混凝土造,83年8月11日,八層,,持分移轉
RPPNMLPLQHIGFAU07DA,44,124.56,住商用,鋼筋混凝土加強磚造,68年2月28日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPSOMLOLQHIGFAU37DA,30,136.73,住家用,鋼筋混凝土造,82年10月29日,三層,一層 二層 三層 陽台,全筆移轉
RPXOMLPLQHIGFAU97DA,39,12.93,共有部份,鋼筋混凝土造,73年12月31日,五層,,持分移轉
RPXOMLPLQHIGFAU97DA,39,90.15,住家用,鋼筋混凝土造,73年12月31日,五層,三層,全筆移轉
RPXOMLPLQHIGFAU97DA,39,4.79,共有部份,鋼筋混凝土造,73年12月31日,五層,,持分移轉
RPTNMLOKQHIGFAU37EA,29,31.93,住家用,鋼筋混凝土造,83年4月21日,五層,五層 花台,全筆移轉
RPTNMLOKQHIGFAU37EA,29,5.74,共有部份,鋼筋混凝土造,83年4月21日,五層,,持分移轉
RPQNMLSLQHIGFCU67DA,28,431.33,住商用,鋼筋混凝土造,84年12月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPPOMLPLQHIGFAU17DA,41,116.95,住家用,鋼筋混凝土加強磚造,71年11月29日,一層,一層,全筆移轉
RPVNMLSLQHIGFAU97DA,,87.83,集合住宅,鋼筋混凝土造,112年6月9日,五層,四層 陽台,全筆移轉
RPVNMLSLQHIGFAU97DA,,40.38,共有部份,鋼筋混凝土造,112年6月9日,五層,,持分移轉
RPRNMLSLQHIGFAU57DA,,87.83,集合住宅,鋼筋混凝土造,112年6月9日,五層,二層 陽台,全筆移轉
RPRNMLSLQHIGFAU57DA,,40.38,共有部份,鋼筋混凝土造,112年6月9日,五層,,持分移轉
RPTPMLOLQHIGFAU57DA,,17.69,住家用,蓋瓦木造,,一層,一層,全筆移轉
RPORMLTLQHIGFAU77DA,25,555.01,農舍,鋼筋混凝土造,87年8月27日,二層,一層 二層 陽台,全筆移轉
RPPNMLKMQHIGFCU86DA,,68.08,住家用,鋼筋水泥磚瓦木造,,一層,一層 騎樓,全筆移轉
RPVPMLPLQHIGFAU87DA,2,65.35,見其他登記事項,鋼筋混凝土造,110年11月29日,六層,二層 陽台,全筆移轉
RPWPMLPLQHIGFAU97DA,36,47.44,住家用,鋼筋混凝土造,76年11月11日,二層,一層 二層,全筆移轉
