鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,,,1120515,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.47,3,1,2,有,無,12850000,100475,坡道平面,28.0,1650000,,RPQNMLTKNHIGFAU17CB,三銳海景,A棟2號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里五街,28.01,住,,,1120519,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.15,2,2,2,有,無,7500000,81389,,0.0,0,,RPTNMLTKNHIGFAU47CB,吉美登峰1,D棟6號,
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街,13.75,住,,,1120518,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,39.06,1,1,1,有,無,3420000,87558,,0.0,0,,RPVNMLTKNHIGFAU67CB,文雲硯,1棟2號,
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉新生路,92.0,住,,,1120517,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.82,5,2,5,有,無,9100000,52656,,0.0,0,,RPPNMLTKNHIGFCU27CB,晶匯首邸,A棟9號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.72,住,,,1120519,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.37,2,2,1,有,無,7020000,75185,,0.0,0,,RPSNMLMLNHIGFAU76CB,欣悅敦峰,C棟01號,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉嘉里三街,23.85,住,,,1120516,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.93,2,2,2,有,無,6000000,69555,一樓平面,9.92,1200000,,RPTNMLMLNHIGFAU86CB,臻新城裔,4A號,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,35.36,住,,,1120517,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.47,2,1,2,有,無,5100000,77963,其他,13.75,600000,,RPPNMLOLNHIGFAU76DB,太魯閣讚2.0,D棟9號,
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街,13.75,住,,,1120518,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,39.06,1,1,1,有,無,3420000,87558,,0.0,0,,RPQNMLPLNHIGFAU86CB,文雲硯,4B棟4B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市林森路439巷,25.34,住,,,1120520,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.87,2,2,2,有,無,8200000,80887,坡道平面,20.33,1200000,,RPPNMLQLNHIGFAU86CB,木沐川,1棟2A號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉太昌路,24.29,,鄉村區,乙種建築用地,1120521,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.62,1,1,1,有,無,7170000,75725,坡道平面,33.82,900000,,RPQNMLQLNHIGFAU96CB,芳澤居,A棟7號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,36.73,住,,,1120516,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.54,3,2,2,有,無,10800000,79477,坡道平面,26.75,1200000,,RPPNMLRLNHIGFAU96CB,吉美登峰1,B棟8號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,20.36,商,,,1120512,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.58,4,2,2,有,無,15000000,92046,坡道平面,25.0,1600000,,RPPNMLSLNHIGFAU07CB,三上御景,D棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,28.01,住,,,1120527,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.9,2,2,2,有,無,8550000,79761,坡道平面,26.75,1200000,,RPPNMLTLNHIGFAU17CB,吉美登峰1,D棟5號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,28.93,住,,,1120524,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.93,0,1,1,有,無,4700000,79756,,0.0,0,,RPQNMLTLNHIGFAU27CB,太魯閣讚2.0,D棟3號,
