編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTKNHIGFAU17CB,民享段,14.91,都市：商,10000,142,持分移轉,04170000
RPVNMLTKNHIGFAU67CB,碧雲段,13.75,都市：住,10000,628,持分移轉,03580000
RPTNMLMLNHIGFAU86CB,嘉平段,23.85,都市：住,100000,6535,持分移轉,15140000
RPPNMLTKNHIGFCU27CB,瑞新段,92.00,都市：住,1,1,全筆移轉,00470000
RPTNMLTKNHIGFAU47CB,仁廉段,28.01,都市：住,100000,3009,持分移轉,08230000
RPSNMLMLNHIGFAU76CB,宜安段,25.72,都市：住,100000,616,持分移轉,06410000
RPQNMLPLNHIGFAU86CB,碧雲段,13.75,都市：住,10000,628,持分移轉,03580000
RPPNMLOLNHIGFAU76DB,新興段,35.36,都市：住,835,22,持分移轉,01300000
RPPNMLQLNHIGFAU86CB,林森段,25.34,都市：住,747,26,持分移轉,03330000
RPQNMLQLNHIGFAU96CB,永安段,24.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,291,持分移轉,03200000
RPPNMLTLNHIGFAU17CB,仁廉段,28.01,都市：住,100000,3009,持分移轉,08230000
RPQNMLTLNHIGFAU27CB,新興段,28.93,都市：住,835,18,持分移轉,01300000
RPPNMLSLNHIGFAU07CB,主權段,20.36,都市：商,100000,1209,持分移轉,07510000
RPQNMLLMNHIGFAU56CB,林森段,24.36,都市：住,747,25,持分移轉,03330000
RPPNMLKMNHIGFAU98CB,慈安段,17.31,都市：住,1760,33,持分移轉,07250000
RPPNMLKMNHIGFAU98CB,慈安段,15.69,都市：住,1760,33,持分移轉,07260000
RPPNMLKMNHIGFAU09DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPPNMLRLNHIGFAU96CB,仁廉段,36.73,都市：住,100000,3945,持分移轉,08230000
RPSNMLLMNHIGFAU76CB,裕民段,15.49,都市：住,100000,1707,持分移轉,02490002
RPQNMLLJOHIGFAU98CB,宜安段,25.34,都市：住,100000,607,持分移轉,06410000
RPRNMLLMNHIGFAU66CB,林森段,31.19,都市：住,747,32,持分移轉,03330000
RPPNMLLJOHIGFAU98DB,新興段,35.36,都市：住,835,22,持分移轉,01300000
RPQNMLLJOHIGFAU09DB,新興段,35.36,都市：住,835,22,持分移轉,01300000
RPPNMLMJOHIGFAU98CB,仁廉段,37.27,都市：住,100000,4003,持分移轉,08230000
RPPNMLSJOHIGFAU96CB,宜安段,32.73,都市：住,100000,784,持分移轉,06410000
RPPNMLQJOHIGFAU76CB,嘉平段,23.85,都市：住,100000,6535,持分移轉,15140000
RPPNMLRJOHIGFAU86CB,慈安段,3.14,都市：住,10000,469,持分移轉,00020000
RPPNMLRJOHIGFAU86CB,慈安段,30.63,都市：住,10000,469,持分移轉,00030000
RPPNMLRJOHIGFAU86CB,慈安段,1.41,都市：住,10000,469,持分移轉,00030013
RPPNMLRJOHIGFAU86CB,慈安段,.52,都市：住,10000,469,持分移轉,00030014
RPRNMLSJOHIGFAU27DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPQNMLSJOHIGFAU17DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPPNMLTJOHIGFAU17DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPRNMLTJOHIGFAU37DB,新興段,27.89,都市：住,835,18,持分移轉,01300004
RPSNMLTJOHIGFAU47DB,仁和段,45.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,1218,持分移轉,06700000
RPVNMLTJOHIGFAU77DB,新興段,35.36,都市：住,835,22,持分移轉,01300000
RPPNMLLKOHIGFAU98CB,國風段,19.98,都市：住,10000,165,持分移轉,17560000
RPUNMLTJOHIGFAU67DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPPNMLOKOHIGFAU66CB,國風段,31.25,都市：住,10000,291,持分移轉,14500000
RPPNMLNKOHIGFAU56CB,仁廉段,28.01,都市：住,100000,3009,持分移轉,08230000
