編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLTKNHIGFAU17CB,坡道平面,1650000,28.00,地下三樓
RPTNMLMLNHIGFAU86CB,一樓平面,1200000,9.92,一樓
RPPNMLOLNHIGFAU76DB,其他,600000,13.75,一樓
RPPNMLQLNHIGFAU86CB,坡道平面,1200000,20.33,地下一樓
RPQNMLQLNHIGFAU96CB,坡道平面,900000,33.82,地下一樓
RPPNMLTLNHIGFAU17CB,坡道平面,1200000,26.75,地下一樓
RPPNMLSLNHIGFAU07CB,坡道平面,1600000,25.00,地下二樓
RPQNMLLMNHIGFAU56CB,一樓平面,1400000,6.58,一樓
RPPNMLKMNHIGFAU98CB,坡道平面,1300000,25.34,地下一樓
RPPNMLRLNHIGFAU96CB,坡道平面,1200000,26.75,地下一樓
RPRNMLLMNHIGFAU66CB,一樓平面,1400000,6.58,一樓
RPPNMLMJOHIGFAU98CB,坡道平面,1200000,26.75,地下一樓
RPPNMLSJOHIGFAU96CB,坡道平面,1200000,41.49,地下二樓
RPPNMLRJOHIGFAU86CB,坡道平面,1200000,16.49,一樓
RPRNMLSJOHIGFAU27DB,其他,600000,13.75,一樓
RPQNMLSJOHIGFAU17DB,其他,600000,13.75,一樓
RPPNMLTJOHIGFAU17DB,其他,0,13.75,一樓
RPUNMLTJOHIGFAU67DB,其他,600000,13.75,一樓
RPPNMLOKOHIGFAU66CB,一樓平面,1300000,26.44,一樓
RPPNMLNKOHIGFAU56CB,坡道平面,1200000,26.75,地下一樓
RPPNMLQKOHIGFAU86CB,坡道平面,1300000,24.72,地下一樓
RPSNMLQKOHIGFAU17CB,坡道平面,1200000,24.72,地下二樓
RPSNMLQKOHIGFAU17CB,坡道平面,1200000,24.72,地下二樓
RPTNMLQKOHIGFAU27CB,坡道平面,1300000,24.72,地下一樓
RPUNMLQKOHIGFAU37CB,坡道平面,1200000,24.72,地下二樓
RPQNMLQKOHIGFAU07DB,其他,600000,13.75,一樓
RPPNMLRKOHIGFAU96CB,坡道平面,1300000,25.34,地下一樓
RPRNMLNLOHIGFAU86CB,坡道平面,1400000,24.75,地下一樓
RPRNMLNLOHIGFAU86CB,坡道平面,1600000,37.70,地下一樓
