鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,土地,民勤段1560-2地號,648.0,農,,,1120427,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,65000,100,,0.0,0,112/12/1~115/11/30，租金每月6.5萬115/12/1~118/11/30，租金每月7萬118/12/1~122/11/30，租金每月8萬,RPPNMLLKNHIGFAU98CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路２１２號七樓之六,16.88,商,,,1120415,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840313,141.35000000000002,3,1,2,有,有,有,17000,120,,0.0,0,,RPPNMLMKNHIGFAU09CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉北昌五街５２號七樓之一,6.53,住,,,1120420,土地1建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860113,33.92,1,0,1,有,有,有,6000,177,,0.0,0,,RPSNMLMKNHIGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街１９３號,22.78,住,,,1120426,土地1建物1車位0,見其他登記事項,7,店面(店鋪),住商用,鋼筋混凝土造,,157.53,2,1,2,有,有,有,15000,95,,0.0,0,,RPTNMLMKNHIGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市榮正街９６號８樓,19.5,住,,,1120422,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890807,147.75,3,2,2,有,有,有,16000,108,,0.0,0,,RPPNMLPKNHIGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富強路４８號六樓之十一,7.75,住,,,1120427,土地1建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840608,55.74,1,0,1,有,有,有,8500,152,,0.0,0,,RPQNMLPKNHIGFAU86CC
花蓮市,建物,花蓮縣花蓮市德安二街６０號,0.0,住,,,1120417,土地0建物0車位0,一層,11,店面(店鋪),住商用,鋼筋混凝土造,0841104,87.81,0,0,1,有,有,無,15000,171,,0.0,0,,RPRNMLPKNHIGFAU96CC
花蓮市,建物,花蓮縣花蓮市國盛４街５５號３樓之７,16.03,住,,,1120509,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810616,53.93000000000001,2,1,1,有,無,有,13500,250,,0.0,0,,RPWNMLPKNHIGFAU47CC
吉安鄉,建物,花蓮縣吉安鄉福興３街４８巷５號,45.0,住,,,1120504,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0671201,88.58,3,1,2,有,無,有,12000,135,,0.0,0,,RPOOMLPKNHIGFAU76CC
吉安鄉,建物,花蓮縣吉安鄉仁里４街１６２號,80.0,住,,,1120508,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690414,104.85,3,2,2,有,無,有,13500,129,,0.0,0,,RPQOMLPKNHIGFAU96CC
