編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKNHIGFAU98CC,民勤段,11.00,都市：其他:道路用地,,,,15590003
RPSNMLMKNHIGFAU76CC,自強段,6.53,都市：住,,,,05600000
RPPNMLLKNHIGFAU98CC,民勤段,408.00,都市：農,,,,15600002
RPPNMLMKNHIGFAU09CC,主權段,16.88,都市：商,,,,06720000
RPPNMLLKNHIGFAU98CC,民勤段,229.00,都市：農,,,,15610000
RPTNMLMKNHIGFAU86CC,莊敬段,22.78,都市：住,,,,01310000
RPQNMLPKNHIGFAU86CC,裕民段,7.75,都市：住,,,,04350000
RPPNMLPKNHIGFAU76CC,主權段,19.50,都市：住,,,,07850000
RPRNMLPKNHIGFAU96CC,德安段,.00,都市：住,,,,19020000
RPWNMLPKNHIGFAU47CC,富國段,16.03,都市：住,,,,00710000
RPQOMLPKNHIGFAU96CC,仁義段,80.00,都市：住,,,,04190000
RPOOMLPKNHIGFAU76CC,福興段,45.00,都市：住,,,,10630000
RPTNMLRKNHIGFAU37CC,德安段,16.80,都市：住,,,,19020000
RPRNMLRKNHIGFAU17CC,自強段,.00,都市：住,,,,04680000
RPQNMLRKNHIGFAU07CC,富國段,4.71,都市：商,,,,03210002
RPQNMLRKNHIGFAU07CC,富國段,4.71,都市：商,,,,03210003
RPQNMLRKNHIGFAU07CC,富國段,4.71,都市：商,,,,03210004
RPROMLPKNHIGFAU07CC,裕民段,5.49,都市：商,,,,01880000
RPQNMLTKNHIGFAU27CC,仁廉段,80.00,都市：住,,,,03700003
RPUNMLRKNHIGFAU47CC,仁廉段,85.00,都市：住,,,,00570002
RPPNMLTKNHIGFAU17CC,富國段,154.67,都市：住,,,,05470000
RPSNMLMLNHIGFAU86CC,富國段,8.51,都市：住,,,,01570000
RPQNMLNLNHIGFAU76CC,莊敬段,19.81,都市：住,,,,02410001
RPUNMLNLNHIGFAU17CC,富國段,9.22,都市：住,,,,00570000
RPWNMLNLNHIGFAU37CC,稻園段,3845.54,都市：農,,,,02640000
RPRNMLOLNHIGFAU96CC,嘉北段,30.52,都市：住,,,,04910000
RPPNMLOLNHIGFAU76CC,莊敬段,35.87,都市：住,,,,04350000
RPTNMLOLNHIGFAU17CC,自強段,.00,都市：住,,,,04680000
RPQNMLOLNHIGFAU86CC,福祥段,17.50,都市：住,,,,09970000
RPRNMLPLNHIGFAU07CC,國股段,29.95,都市：住,,,,02420000
RPQNMLPLNHIGFAU96CC,富國段,3.14,都市：商,,,,03210002
RPQNMLPLNHIGFAU96CC,富國段,3.14,都市：商,,,,03210003
RPQNMLPLNHIGFAU96CC,富國段,3.14,都市：商,,,,03210004
RPSNMLOLNHIGFAU07CC,福安段,10.08,都市：商,,,,02170000
RPPNMLQLNHIGFAU96CC,南埔段,600.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,25100000
RPRNMLQLNHIGFAU17CC,裕民段,184.00,都市：住,,,,04250000
