編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKQHIGFDV37DA,29,7.92,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,,持分移轉
RPPNMLPKQHIGFDV37DA,29,31.50,見其他登記事項,鋼筋混凝土造,84年1月10日,八層,八層,全筆移轉
RPPNMLPKQHIGFDV37DA,29,4.22,走廊,鋼筋混凝土造,84年1月10日,八層,,持分移轉
RPQNMLOKQHIGFDV37DA,25,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,五層 陽台,全筆移轉
RPQNMLOKQHIGFDV37DA,25,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLOKQHIGFDV37DA,25,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLOKQHIGFDV37DA,25,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPPNMLMLQHIGFCV07DA,2,301.45,Ｈ２住宅,鋼骨造,110年4月7日,二層,一層 二層 見其他登記事項,全筆移轉
RPQOMLQKQHIGFAV37DA,29,9.17,地下一層（共同使用）防空斗避難室兼停車空間,鋼筋混凝土造,83年12月17日,八層,,持分移轉
RPQOMLQKQHIGFAV37DA,29,4.45,地下二層（共同使用）防空避難室兼停車空間,鋼筋混凝土造,83年12月17日,八層,,持分移轉
RPPNMLMJQHIGFDV96DA,28,7.30,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPPNMLMJQHIGFDV96DA,28,32.84,套房,鋼筋混凝土造,84年7月14日,八層,七層 見其他登記事項,全筆移轉
RPPNMLQKQHIGFDV47DA,30,69.11,出租套房,鋼筋混凝土造,82年11月8日,八層,八層 陽台,全筆移轉
RPPNMLQKQHIGFDV47DA,30,27.49,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,,持分移轉
RPQNMLRLQHIGFDV77DA,29,5.45,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPQNMLRLQHIGFDV77DA,29,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,六層 陽台,全筆移轉
RPPNMLTJQHIGFDV67DA,25,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,五層 陽台,全筆移轉
RPPNMLTJQHIGFDV67DA,25,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLTJQHIGFDV67DA,25,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLTJQHIGFDV67DA,25,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
