編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLLJQHIGFAV17DA,中山段,9.00,都市：其他:住宅區,1,1,全筆移轉,03860005
RPPNMLQJQHIGFDV37DA,南興段,13954.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04960000
RPUNMLNJQHIGFAV27DA,上岩灣段,468.09,都市：其他:住宅區,6,1,持分移轉,07920000
RPUNMLNJQHIGFAV27DA,上岩灣段,210.43,都市：其他:住宅區,6,1,持分移轉,07920001
RPUNMLNJQHIGFAV27DA,上岩灣段,111.21,都市：其他:住宅區,6,1,持分移轉,07920002
RPUNMLNJQHIGFAV27DA,上岩灣段,1.58,都市：其他:住宅區,6,1,持分移轉,07920003
RPUNMLNJQHIGFAV27DA,上岩灣段,124.20,都市：其他:道路用地,6,1,持分移轉,07920004
RPUNMLNJQHIGFAV27DA,上岩灣段,73.45,都市：其他:道路用地,6,1,持分移轉,07920005
RPUNMLNJQHIGFAV27DA,上岩灣段,1.28,都市：其他:道路用地,6,1,持分移轉,07920006
RPUNMLNJQHIGFAV27DA,上岩灣段,24.42,都市：其他:道路用地,6,1,持分移轉,07920007
RPUNMLNJQHIGFAV27DA,上岩灣段,27.42,都市：其他:道路用地,6,1,持分移轉,07920008
RPUNMLNJQHIGFAV27DA,上岩灣段,89.66,都市：其他:住宅區,6,1,持分移轉,07930000
RPUNMLNJQHIGFAV27DA,上岩灣段,24.68,都市：其他:住宅區,6,1,持分移轉,07930001
RPUNMLNJQHIGFAV27DA,上岩灣段,45.85,都市：其他:道路用地,6,1,持分移轉,07930002
RPUNMLNJQHIGFAV27DA,上岩灣段,9.89,都市：其他:道路用地,6,1,持分移轉,07930003
RPUNMLNJQHIGFAV27DA,上岩灣段,.07,都市：其他:道路用地,6,1,持分移轉,07930004
RPTOMLSJQHIGFAV77DA,大南段,3087.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00360000
RPTOMLSJQHIGFAV77DA,大南段,1065.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00360002
RPTOMLSJQHIGFAV77DA,大南段,2028.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00360004
RPQNMLQKQHIGFAV27DA,太平段,208.48,非都市：特定農業區 ; 非都市編定：農牧用地,1000,253,持分移轉,12350000
RPPNMLPKQHIGFDV37DA,秀山段,.65,都市：其他:道路用地,10000,56,持分移轉,03470000
RPPNMLPKQHIGFDV37DA,秀山段,8.50,都市：其他:出租旅館區,10000,56,持分移轉,03470001
RPQNMLOKQHIGFDV37DA,秀山段,6.53,都市：其他:旅館區,100000,105,持分移轉,06590003
RPPNMLMLQHIGFCV07DA,大原段,873.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,47210000
RPSNMLMLQHIGFAV17DA,知本段,977.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,78770001
RPPNMLLLQHIGFDV07DA,都哇拔段,87.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00460000
RPPNMLMJQHIGFDV96DA,秀山段,17.31,都市：其他:出租旅館區,10000,15,持分移轉,07230000
RPPNMLMJQHIGFDV96DA,秀山段,.00,都市：其他:道路用地,10000,15,持分移轉,07230001
RPPNMLOLQHIGFCV37EA,大原段,1269.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,32060000
RPPNMLOLQHIGFCV37EA,大原段,1264.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,32070000
RPOOMLSJQHIGFAV27DA,路頂段,1189.53,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,04340001
RPPNMLQKQHIGFDV47DA,秀山段,16.73,都市：其他:出租旅館區,10000,52,持分移轉,07280000
RPUNMLMLQHIGFAV37DA,北南王段,1158.94,都市：其他:住宅區,1,1,全筆移轉,01330000
RPPNMLOLQHIGFDV37DA,泰德段,667.35,,1,1,全筆移轉,01020010
RPQNMLRLQHIGFDV77DA,秀山段,8.08,都市：其他:出租旅館區,10000,7,持分移轉,07230000
RPQNMLRLQHIGFDV77DA,秀山段,.00,都市：其他:道路用地,10000,7,持分移轉,07230001
RPPNMLTLQHIGFCV87EA,鸞山段,165.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04220000
RPPNMLNLQHIGFAV96DA,南榮段,603.65,都市：其他:體育場用地,2,1,持分移轉,05690000
RPPNMLPLQHIGFAV17DA,知本段,2000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,82970001
RPPNMLNLQHIGFCV17DA,大原段,1219.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21930000
