編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLQKQHIGFAV37DA,坡道平面,500000,,地下二樓
RPSNMLRJQHIGFAV47DA,坡道平面,0,,地下一樓
RPTNMLOKQHIGFAV37DA,坡道平面,0,28.75,地下一樓
RPTNMLRJQHIGFAV57DA,坡道平面,800000,13.75,地下一樓
RPRNMLSKQHIGFAV57DA,其他,0,,一樓
RPSNMLOKOHIGFAV07DA,坡道平面,0,,地下一樓
RPUNMLQKOHIGFAV47DA,坡道機械,0,,一樓
RPSNMLRKOHIGFAV37DA,坡道機械,0,,地下一樓
RPWNMLLLOHIGFAV27DA,其他,0,,一樓
RPRNMLPKLHIGFAV76DA,升降機械,0,,地下一樓
RPXNMLLLOHIGFAV37DA,其他,0,,一樓
RPUNMLLLOHIGFAV07DA,其他,0,,一樓
RPROMLLLOHIGFAV86DA,其他,0,,一樓
RPSNMLLLOHIGFAV86DA,其他,0,,一樓
RPPOMLLLOHIGFAV66DA,其他,0,,一樓
RPTNMLLLOHIGFAV96DA,其他,0,,一樓
RPOOMLLLOHIGFAV56DA,其他,0,,一樓
RPRNMLLLOHIGFAV76DA,其他,0,,一樓
RPQOMLLLOHIGFAV76DA,其他,0,,一樓
RPOPMLPLOHIGFAV07DA,坡道平面,930000,38.33,地下一樓
RPXOMLPLOHIGFAV87DA,坡道平面,980000,39.42,地下一樓
RPWNMLPLOHIGFAV67DA,坡道平面,980000,39.42,地下一樓
RPPPMLPLOHIGFAV17DA,坡道平面,1030000,39.42,地下一樓
RPXNMLPLOHIGFAV77DA,坡道平面,830000,39.42,地下二樓
RPRPMLOJQHIGFAV27DA,坡道平面,800000,13.75,地下二樓
RPWOMLOJQHIGFAV67DA,坡道平面,900000,12.65,地下二樓
RPXOMLOJQHIGFAV77DA,坡道平面,800000,13.75,地下二樓
RPOQMLOJQHIGFAV07DA,坡道平面,800000,12.65,地下二樓
RPRQMLOJQHIGFAV37DA,坡道平面,900000,13.75,地下二樓
RPQOMLPLOHIGFAV17DA,坡道平面,830000,39.42,地下二樓
RPPOMLPLOHIGFAV07DA,坡道平面,830000,39.42,地下二樓
RPROMLPLOHIGFAV27DA,坡道平面,980000,39.42,地下一樓
RPVQMLOJQHIGFAV77DA,坡道平面,800000,13.75,地下二樓
RPSSMLOJQHIGFAV67DA,坡道平面,600000,13.75,地下二樓
RPRUMLOJQHIGFAV77DA,坡道平面,800000,13.75,地下一樓
RPQNMLPLOHIGFAV07DA,坡道平面,830000,39.42,地下一樓
RPWNMLNLOHIGFAV47DA,坡道平面,830000,39.42,地下一樓
RPRNMLPLOHIGFAV17DA,坡道平面,830000,42.18,地下一樓
RPUOMLPLOHIGFAV57DA,坡道平面,830000,39.42,地下二樓
RPWOMLPLOHIGFAV77DA,坡道平面,980000,39.42,地下一樓
RPVOMLPLOHIGFAV67DA,坡道平面,980000,39.42,地下一樓
RPOQMLPLOHIGFAV17DA,坡道平面,680000,39.42,地下二樓
RPPNMLPJQHIGFAV96DA,坡道平面,750000,13.75,地下二樓
RPROMLOJQHIGFAV17DA,坡道平面,900000,12.65,地下二樓
RPVPMLPLOHIGFAV77DA,坡道平面,730000,39.42,地下二樓
RPTOMLOJQHIGFAV37DA,坡道平面,900000,13.75,地下二樓
RPXPMLPLOHIGFAV97DA,坡道平面,730000,39.42,地下二樓
RPTNMLNLOHIGFAV17DA,坡道平面,830000,39.42,地下一樓
RPTTMLOJQHIGFAV87DA,坡道平面,900000,13.75,地下二樓
RPSTMLOJQHIGFAV77DA,坡道平面,800000,13.75,地下二樓
RPRPMLPLOHIGFAV37DA,坡道平面,680000,39.42,地下二樓
RPSPMLPLOHIGFAV47DA,坡道平面,680000,38.33,地下二樓
RPUPMLPLOHIGFAV67DA,坡道平面,780000,39.42,地下二樓
RPPQMLPLOHIGFAV27DA,坡道平面,780000,38.33,地下一樓
RPORMLPLOHIGFAV27DA,坡道平面,830000,40.67,地下一樓
RPVNMLLJQHIGFAV17DA,一樓平面,0,15.53,一樓
RPWNMLLJQHIGFAV27DA,一樓平面,0,11.58,一樓
RPSNMLSLOHIGFAV57DA,坡道平面,780000,40.67,地下一樓
RPRNMLNLOHIGFAV96DA,坡道平面,780000,39.42,地下一樓
RPPNMLPLOHIGFAV96DA,坡道平面,880000,39.42,地下一樓
RPUNMLNLOHIGFAV27DA,坡道平面,880000,42.18,地下一樓
RPUNMLPLOHIGFAV47DA,坡道平面,680000,40.67,地下二樓
RPOOMLPLOHIGFAV96DA,坡道平面,680000,39.42,地下二樓
RPTPMLPLOHIGFAV57DA,坡道平面,730000,39.42,地下二樓
RPWPMLPLOHIGFAV87DA,坡道平面,730000,40.67,地下二樓
RPPUMLOJQHIGFAV57DA,坡道平面,900000,13.75,地下二樓
RPPRMLPLOHIGFAV37DA,坡道平面,780000,39.42,地下一樓
RPOUMLOJQHIGFAV47DA,坡道平面,900000,13.75,地下二樓
RPPNMLNLOHIGFAV76DA,坡道平面,680000,40.67,地下二樓
RPQNMLNLOHIGFAV86DA,坡道平面,780000,39.42,地下一樓
RPQNMLQLOHIGFAV17DA,坡道平面,680000,38.33,地下二樓
RPQQMLPLOHIGFAV37DA,坡道平面,830000,39.42,地下一樓
RPWQMLPLOHIGFAV97DA,坡道平面,780000,39.42,地下二樓
RPWNMLQLOHIGFAV77DA,坡道平面,780000,39.42,地下二樓
RPXNMLQLOHIGFAV87DA,坡道平面,730000,39.42,地下二樓
RPOOMLQLOHIGFAV07DA,坡道平面,730000,,地下二樓
RPWRMLPLOHIGFAV08DA,坡道平面,680000,38.33,地下二樓
RPXRMLPLOHIGFAV18DA,坡道平面,730000,39.42,地下二樓
RPQNMLOJPHIGFAV86DA,坡道平面,680000,39.42,地下二樓
RPVOMLQLOHIGFAV77DA,坡道平面,680000,39.42,地下二樓
RPWOMLQLOHIGFAV87DA,坡道平面,730000,39.42,地下二樓
RPXOMLQLOHIGFAV97DA,坡道平面,680000,39.42,地下二樓
RPOPMLQLOHIGFAV17DA,坡道平面,680000,39.42,地下二樓
RPROMLPKQHIGFAV37DA,一樓平面,0,11.58,一樓
RPQUMLOJQHIGFAV67DA,坡道平面,800000,13.75,地下二樓
RPTPMLOJQHIGFAV47DA,坡道平面,750000,15.00,地下二樓
RPQOMLPKQHIGFAV27DA,一樓平面,0,11.58,一樓
RPURMLOJQHIGFAV77DA,坡道平面,800000,13.75,地下二樓
RPOSMLOJQHIGFAV27DA,坡道平面,800000,13.75,地下二樓
RPQSMLOJQHIGFAV47DA,坡道平面,800000,13.75,地下二樓
RPPQMLOJQHIGFAV17DA,坡道平面,700000,15.00,地下一樓
RPOPMLOJQHIGFAV96DA,坡道平面,700000,13.75,地下二樓
RPWNMLLMPHIGFAV47DA,坡道平面,900000,13.75,地下二樓
RPXRMLOJQHIGFAV08DA,坡道平面,800000,13.75,地下一樓
RPSNMLOJQHIGFAV17DA,坡道平面,900000,13.75,地下一樓
RPORMLOJQHIGFAV17DA,坡道平面,800000,13.75,地下一樓
RPORMLOJQHIGFAV17DA,坡道平面,800000,13.75,地下一樓
RPQRMLOJQHIGFAV37DA,坡道平面,800000,13.75,地下一樓
RPSNMLTJQHIGFAV67DA,坡道平面,900000,13.75,地下一樓
RPSRMLOJQHIGFAV57DA,坡道平面,900000,13.75,地下二樓
