鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1120512,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,79.4,2,1,1,有,無,6730000,96784,坡道機械,16.58,650000,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPSNMLPKNHIGFAV07CB,達永崌里東,A6號,
台東市,房地(土地+建物),臺東縣臺東市中正路131號後方,14.79,住,,,1120512,土地3建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.56,2,2,2,有,無,6850000,82970,,0.0,0,,RPQNMLMLNHIGFAV66CB,大同富御,1棟13E號,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,99.76,住,,,1120527,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,208.47,5,2,6,有,無,14150000,67875,,0.0,0,,RPPNMLKMNHIGFAV56DB,晉鋐豐榮,A5號,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,102.7,住,,,1120528,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,211.67,5,2,6,有,無,14200000,67086,,0.0,0,,RPQNMLKMNHIGFAV66DB,晉鋐豐榮,A7號,
台東市,房地(土地+建物)+車位,臺東縣臺東市國泰街71號旁,113.5,住,,,1120518,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,203.84,4,2,5,有,無,15000000,73587,其他,0.0,0,,RPPNMLLJOHIGFAV09DB,國泰精品,A7號,
台東市,房地(土地+建物)+車位,臺東縣臺東市新站路2巷,154.03,住,,,1120520,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,258.61,4,2,5,有,無,17320000,66973,其他,0.0,0,,RPPNMLPJOHIGFAV76CB,素直,A2棟A2號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中正路131號後方,20.29,商,,,1120519,土地3建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.99,3,2,2,有,無,10030000,80360,坡道平面,13.75,930000,,RPVNMLPJOHIGFAV37CB,大同富御,1棟6B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中正路131號後方,25.28,商,,,1120519,土地3建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.83,3,2,2,有,無,12130000,79388,坡道平面,13.75,930000,,RPWNMLPJOHIGFAV47CB,大同富御,1棟6C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中正路131號後方,19.75,商,,,1120604,土地3建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.05,2,2,2,有,無,9700000,80417,坡道平面,13.75,830000,,RPXNMLPJOHIGFAV57CB,大同富御,1棟7G號,
台東市,房地(土地+建物),臺東縣臺東市興航街72號旁,52.0,住,,,1120603,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,134.78,3,2,2,有,無,10500000,77905,,0.0,0,,RPPNMLRJOHIGFAV96CB,齊揚日光A區,A棟2A1號,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,99.27,住,,,1120607,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,208.47,5,2,6,有,無,14150000,67875,,0.0,0,,RPPNMLRJOHIGFAV07DB,晉鋐豐榮,A6號,
台東市,房地(土地+建物)+車位,臺東縣臺東市復興路117號,26.01,住,,,1120513,土地5建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.8,3,2,2,有,無,11500000,91265,一樓平面,13.75,1000000,,RPPNMLTJOHIGFAV17CB,富湛,1棟10C號,
台東市,房地(土地+建物),臺東縣臺東市復興路117號,23.82,住,,,1120515,土地5建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.11,3,2,2,有,無,8800000,75143,,0.0,0,,RPQNMLTJOHIGFAV27CB,富湛,1棟8E號,
台東市,房地(土地+建物),臺東縣臺東市南王段592-19,130.78,住,,,1120607,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.91,4,2,4,有,無,12800000,71544,,0.0,0,1.賣方同意贈送車庫遮雨棚採光罩，樣式由賣方決定。廚具費:100000元,RPPNMLMKOHIGFAV56CB,南王富御住宅,H棟0號,
台東市,房地(土地+建物)+車位,臺東縣臺東市仁愛街29號旁,43.41,住,,,1120514,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.54,3,2,2,有,無,10500000,85942,一樓平面,14.0,1000000,車位編號:自設停車6號,RPPNMLMKOHIGFAV66DB,麗築東京天后之星,5A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市仁愛街29號旁,43.41,住,,,1120514,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.54,3,2,2,有,無,10350000,84585,一樓平面,14.0,1000000,車位編號:自設停車7號,RPQNMLMKOHIGFAV76DB,麗築東京天后之星,4A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120606,土地2建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,77.93,2,1,1,有,無,6970000,103015,坡道機械,16.58,650000,A10戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPPNMLNKOHIGFAV66CB,達永崌里東,A10號,
台東市,房地(土地+建物),臺東縣臺東市仁愛街29號旁,29.55,住,,,1120518,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.19,2,2,1,有,無,6300000,83788,,0.0,0,,RPPNMLPKOHIGFAV96DB,麗築東京天后之星,2D號,
台東市,房地(土地+建物)+車位,臺東縣臺東市仁愛街29號旁,29.55,住,,,1120526,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.19,2,2,1,有,無,7380000,86182,一樓平面,10.0,900000,車位編號:法定車位12號,RPQNMLPKOHIGFAV07DB,麗築東京天后之星,5D號,
台東市,房地(土地+建物)+車位,臺東縣臺東市仁愛街29號旁,35.19,住,,,1120603,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.64,2,2,2,有,無,8450000,83110,一樓平面,14.0,1000000,車位編號:法定車位3號,RPRNMLPKOHIGFAV17DB,麗築東京天后之星,3B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路11號之附近,108.08,住,,,1120610,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,202.22,4,2,5,有,無,15000000,74177,其他,0.0,0,,RPPNMLQLOHIGFAV07CB,台東市清榮95地號9戶住宅新建工程,B3棟0號,
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路11號之附近,111.04,住,,,1120529,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,202.22,4,2,5,有,無,15000000,74177,其他,0.0,0,,RPQNMLQLOHIGFAV17CB,台東市清榮95地號9戶住宅新建工程,B5棟0號,
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路11號之附近,108.08,其他,,,1120618,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,202.22,4,2,5,有,無,15000000,74177,其他,0.0,0,,RPRNMLQLOHIGFAV27CB,台東市清榮95地號9戶住宅新建工程,B2棟0號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中正路131號後方,25.28,商,,,1120605,土地3建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.83,3,2,2,有,無,12000000,78466,坡道平面,13.75,930000,,RPPNMLSLOHIGFAV27CB,大同富御,1棟4C號,
台東市,房地(土地+建物),臺東縣臺東市開封街308號旁,156.0,住,,,1120628,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,306.24,5,2,6,有,無,36000000,117555,,0.0,0,,RPPNMLSLOHIGFAV37DB,開封品苑,B棟0號,
