編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPKNHIGFAV07CB,台東段,8.38,都市：住,100000,642,持分移轉,07970001
RPSNMLPKNHIGFAV07CB,台東段,9.36,都市：住,100000,642,持分移轉,07970002
RPPNMLLJOHIGFAV09DB,岩灣段,113.50,都市：住,100000,12271,持分移轉,00720000
RPPNMLKMNHIGFAV56DB,豐谷段,99.76,都市：住,1,1,全筆移轉,00520015
RPQNMLMLNHIGFAV66CB,台東段,14.28,都市：住,100000,832,持分移轉,02350000
RPQNMLMLNHIGFAV66CB,台東段,.19,都市：商,100000,832,持分移轉,02350016
RPQNMLMLNHIGFAV66CB,台東段,.32,都市：商,100000,832,持分移轉,02350017
RPQNMLKMNHIGFAV66DB,豐谷段,102.70,都市：住,1,1,全筆移轉,00520017
RPPNMLPJOHIGFAV76CB,岩灣段,154.03,都市：住,1,1,全筆移轉,00310001
RPVNMLPJOHIGFAV37CB,台東段,19.58,都市：商,100000,1141,持分移轉,02350000
RPVNMLPJOHIGFAV37CB,台東段,.26,都市：住,100000,1141,持分移轉,02350016
RPPNMLRJOHIGFAV96CB,興航段,52.00,都市：住,100000,6612,持分移轉,00050000
RPVNMLPJOHIGFAV37CB,台東段,.44,都市：住,100000,1141,持分移轉,02350017
RPWNMLPJOHIGFAV47CB,台東段,24.40,都市：商,100000,1422,持分移轉,02350000
RPWNMLPJOHIGFAV47CB,台東段,.33,都市：住,100000,1422,持分移轉,02350016
RPWNMLPJOHIGFAV47CB,台東段,.55,都市：住,100000,1422,持分移轉,02350017
RPXNMLPJOHIGFAV57CB,台東段,19.06,都市：商,100000,1111,持分移轉,02350000
RPXNMLPJOHIGFAV57CB,台東段,.26,都市：住,100000,1111,持分移轉,02350016
RPXNMLPJOHIGFAV57CB,台東段,.43,都市：住,100000,1111,持分移轉,02350017
RPPNMLRJOHIGFAV07DB,豐谷段,99.27,都市：住,1,1,全筆移轉,00520016
RPQNMLTJOHIGFAV27CB,台東段,2.83,都市：住,119700,2382,持分移轉,05340001
RPQNMLTJOHIGFAV27CB,台東段,2.35,都市：住,119700,2382,持分移轉,05340011
RPQNMLTJOHIGFAV27CB,台東段,16.14,都市：住,119700,2382,持分移轉,05340021
RPQNMLTJOHIGFAV27CB,台東段,1.25,都市：住,119700,2382,持分移轉,05340025
RPQNMLTJOHIGFAV27CB,台東段,1.25,都市：住,119700,2382,持分移轉,05340028
RPPNMLTJOHIGFAV17CB,台東段,3.09,都市：住,119700,2601,持分移轉,05340001
