編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLPKNHIGFAV07CB,坡道機械,650000,16.58,地下二樓
RPPNMLLJOHIGFAV09DB,其他,0,,一樓
RPPNMLPJOHIGFAV76CB,其他,0,,一樓
RPVNMLPJOHIGFAV37CB,坡道平面,930000,13.75,地下一樓
RPWNMLPJOHIGFAV47CB,坡道平面,930000,13.75,地下一樓
RPXNMLPJOHIGFAV57CB,坡道平面,830000,13.75,地下一樓
RPPNMLTJOHIGFAV17CB,一樓平面,1000000,13.75,一樓
RPPNMLMKOHIGFAV66DB,一樓平面,1000000,14.00,一樓
RPRNMLPKOHIGFAV17DB,一樓平面,1000000,14.00,一樓
RPPNMLNKOHIGFAV66CB,坡道機械,650000,16.58,地下二樓
RPQNMLPKOHIGFAV07DB,一樓平面,900000,10.00,一樓
RPQNMLMKOHIGFAV76DB,一樓平面,1000000,14.00,一樓
RPPNMLQLOHIGFAV07CB,其他,0,,一樓
RPRNMLQLOHIGFAV27CB,其他,0,,一樓
RPQNMLQLOHIGFAV17CB,其他,0,,一樓
RPPNMLSLOHIGFAV27CB,坡道平面,930000,13.75,地下一樓
RPQNMLPJPHIGFAV07DB,一樓平面,1000000,14.00,一樓
RPPNMLKMOHIGFAV56CB,坡道平面,930000,35.93,地下二樓
RPRNMLPJPHIGFAV17DB,一樓平面,1000000,14.00,一樓
RPPNMLRJPHIGFAV07CB,坡道平面,1000000,12.65,一樓
RPPNMLPJPHIGFAV96DB,一樓平面,950000,13.00,一樓
RPRNMLKKPHIGFAV66CB,坡道平面,940000,33.16,地下二樓
RPPNMLMKPHIGFAV66CB,其他,0,,一樓
RPSNMLNKPHIGFAV07CB,一樓平面,600000,13.75,一樓
RPTNMLKKPHIGFAV86CB,坡道平面,990000,33.16,地下二樓
RPWNMLNKPHIGFAV47CB,坡道平面,990000,36.31,地下二樓
RPUNMLKKPHIGFAV96CB,坡道機械,650000,16.58,地下二樓
RPXNMLNKPHIGFAV57CB,坡道平面,990000,36.31,地下二樓
RPTNMLNKPHIGFAV17CB,一樓平面,600000,13.75,一樓
RPSNMLKKPHIGFAV76CB,坡道平面,990000,33.16,地下二樓
RPRNMLNKPHIGFAV96CB,坡道平面,990000,36.31,地下二樓
RPQNMLNKPHIGFAV86CB,坡道平面,980000,33.16,地下二樓
RPOOMLNKPHIGFAV76CB,坡道平面,1050000,36.31,地下一樓
RPQOMLNKPHIGFAV96CB,坡道平面,990000,36.31,地下二樓
RPSOMLNKPHIGFAV17CB,坡道平面,990000,36.31,地下二樓
RPWOMLNKPHIGFAV57CB,坡道平面,990000,36.31,地下二樓
RPPOMLNKPHIGFAV86CB,坡道平面,1050000,36.31,地下一樓
RPPOMLNKPHIGFAV86CB,坡道平面,1050000,36.31,地下一樓
RPXOMLNKPHIGFAV67CB,坡道平面,990000,36.31,地下二樓
RPTOMLNKPHIGFAV27CB,坡道平面,990000,36.31,地下二樓
RPROMLNKPHIGFAV07CB,坡道平面,1050000,36.31,地下一樓
RPVOMLNKPHIGFAV47CB,坡道平面,990000,36.31,地下二樓
RPUOMLNKPHIGFAV37CB,坡道平面,990000,36.31,地下二樓
RPOPMLNKPHIGFAV86CB,坡道平面,1050000,36.31,地下一樓
RPQPMLNKPHIGFAV07CB,坡道平面,1050000,36.31,地下一樓
RPSPMLNKPHIGFAV27CB,坡道平面,990000,36.31,地下二樓
RPPPMLNKPHIGFAV96CB,坡道平面,1050000,36.31,地下一樓
RPUPMLNKPHIGFAV47CB,坡道平面,970000,36.31,地下二樓
RPQNMLSKPHIGFAV37CB,坡道平面,930000,35.93,地下二樓
RPRPMLNKPHIGFAV17CB,坡道平面,1050000,36.31,地下一樓
RPSNMLSKPHIGFAV57CB,坡道平面,980000,35.93,地下二樓
RPPNMLSKPHIGFAV27CB,坡道平面,1030000,35.93,地下一樓
RPTPMLNKPHIGFAV37CB,坡道平面,990000,36.31,地下二樓
RPRNMLSKPHIGFAV47CB,坡道平面,980000,35.93,地下二樓
RPQNMLSKPHIGFAV47DB,其他,0,,一樓
RPPNMLQLPHIGFAV17CB,坡道平面,1080000,35.93,地下一樓
RPPNMLPLPHIGFAV07CB,一樓平面,600000,36.11,一樓
RPPNMLNJQHIGFAV76CB,一樓平面,800000,21.00,一樓
RPQNMLTJQHIGFAV47CB,坡道平面,930000,13.75,地下一樓
RPRNMLTJQHIGFAV57CB,坡道平面,900000,12.65,地下一樓
RPPNMLSLPHIGFAV37CB,其他,0,,一樓
RPQNMLKKQHIGFAV66CB,坡道平面,990000,36.31,地下二樓
RPTNMLKKQHIGFAV96CB,坡道平面,990000,36.31,地下二樓
RPVNMLKKQHIGFAV17CB,坡道平面,1050000,36.31,地下一樓
RPTNMLTJQHIGFAV77CB,坡道平面,930000,13.75,地下一樓
RPPNMLPKQHIGFAV17DB,一樓平面,900000,10.00,一樓
RPPNMLKKQHIGFAV56CB,其他,0,,一樓
RPRNMLKKQHIGFAV76CB,坡道平面,1030000,36.31,地下一樓
RPSNMLKKQHIGFAV86CB,坡道平面,970000,36.31,地下二樓
RPUNMLKKQHIGFAV07CB,坡道平面,1000000,36.31,地下一樓
RPWNMLKKQHIGFAV27CB,坡道平面,1030000,36.31,地下一樓
RPPNMLQKQHIGFAV17CB,坡道平面,1030000,36.31,地下一樓
RPPOMLKKQHIGFAV66CB,坡道平面,990000,36.31,地下二樓
RPQNMLOLQHIGFAV17CB,坡道平面,970000,35.93,地下一樓
RPPNMLOLQHIGFAV07CB,坡道平面,870000,35.93,地下二樓
