鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,建物,臺東縣臺東市漢中街１００號１樓A區,0.0,住,,,1120526,土地0建物1車位0,全,4,透天厝,騎樓、Ｈ２住宅、樓梯間,ＲＣ造,1100223,77.0,0,1,2,有,無,有,25600,332,,0.0,0,土地清冊是表示建物坐落之基地。租約未承租基地之土地因系統關係透天須強制輸入土地資訊，本租約只承租建物一樓。一樓為店面視為1間大廳使用及有兩間廁所視同2間衛浴或衛生間。租金是有包含二代健保2.11%及預扣10%之所得稅。,RPPNMLLJOHIGFAV09CC
卑南鄉,建物,臺東縣卑南鄉和平路６８號,0.0,,特定農業區,農牧用地,1120602,土地0建物1車位0,見其他登記事項,1,其他,集貨包裝處理場,鋼骨造,1100318,44.33,0,0,0,無,無,無,16000,361,,0.0,0,,RPPNMLSJOHIGFAV17CC
台東市,土地,中山段310地號,252.0,住,,,1120512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,79,,0.0,0,,RPPNMLTJOHIGFAV27CC
台東市,建物,臺東縣臺東市開封街６３２巷５２號,0.0,住,,,1120620,土地0建物0車位0,二層,3,套房(1房1廳1衛),住宅、樓梯間,ＲＣ造,1030922,23.14,1,0,1,有,無,有,7500,324,,0.0,0,,RPPNMLNJPHIGFAV76CC
台東市,房地(土地+建物),臺東縣臺東市福建路２４１號,41.0,商,,,1120703,土地1建物1車位0,見其他登記事項,3,店面(店鋪),店舖．住宅,鋼筋混凝土造,0660914,94.2,2,1,3,有,無,有,29000,308,,0.0,0,,RPPNMLOJPHIGFAV86CC
台東市,建物,臺東縣臺東市中興路２段４５０巷２８弄５８號２樓,0.0,住,,,1120612,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850628,40.82,1,1,1,有,無,有,11000,269,,0.0,0,,RPPNMLKKPHIGFAV56CC
台東市,建物,臺東縣臺東市博愛路４２２號４樓,0.0,住,,,1120629,土地0建物1車位0,四層,5,辦公商業大樓,避難室、店舖、停車空間、辦公室、騎樓,鋼筋混凝土造,0871224,226.8,0,1,2,有,有,無,30000,132,,0.0,0,租賃標的物含他項用途四樓露台面積約225.2平方公尺,RPQNMLRKPHIGFAV37CC
台東市,房地(土地+建物),臺東縣臺東市仁八街６８號３樓,39.9,住,,,1120720,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0721019,97.46000000000001,3,2,2,有,無,有,14000,144,,0.0,0,,RPPNMLMJQHIGFAV76CC
台東市,建物,臺東縣臺東市正氣路３９９-３號４F,0.0,住,,,1120801,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701021,122.4,3,2,2,有,有,有,14000,114,,0.0,0,,RPPNMLTJQHIGFAV47CC
台東市,建物,臺東縣臺東市廣州街１２８號２樓之２,0.0,住,,,1120801,土地0建物0車位0,二層,5,套房(1房1廳1衛),Ｈ２集合住宅,ＲＣ造,1110728,45.79,1,0,1,有,有,有,7500,164,,0.0,0,1號房,RPPNMLKKQHIGFAV66CC
