編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJOHIGFAV27CC,中山段,175.00,都市：住,,,,03100000
RPPNMLLJOHIGFAV09CC,自強段,.00,都市：住,,,,05380000
RPPNMLSJOHIGFAV17CC,利家段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,73430000
RPPNMLNJPHIGFAV76CC,中心段,.00,都市：住,,,,03440006
RPPNMLNJPHIGFAV76CC,中心段,.00,都市：住,,,,03450000
RPPNMLTJOHIGFAV27CC,中山段,77.00,都市：住,,,,03490001
RPPNMLOJPHIGFAV86CC,台東段,41.00,都市：商,,,,04650006
RPPNMLKKPHIGFAV56CC,豐年段,.00,都市：住,,,,00270000
RPQNMLRKPHIGFAV37CC,台東段,.00,都市：住,,,,05720002
RPPNMLMJQHIGFAV76CC,馬蘭段,39.90,都市：住,,,,15990000
RPPNMLTJQHIGFAV47CC,台東段,.00,都市：住,,,,05610004
RPPNMLKKQHIGFAV66CC,台東段,.00,都市：住,,,,01290001
RPPNMLKKQHIGFAV66CC,台東段,.00,都市：住,,,,01290005
