編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLJQHIGFAW66DA,9,21.02,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台,全筆移轉
RPPNMLLJQHIGFAW66DA,9,3.24,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,,持分移轉
RPQNMLOKQHIGFAW17DA,8,27.27,集合住宅,鋼筋混凝土造,104年11月25日,三層,一層,全筆移轉
RPQNMLOKQHIGFAW17DA,8,3.69,共有部分：本共有部分之項目有樓梯間及走廊等二項。,鋼筋混凝土造,104年11月25日,三層,,持分移轉
RPTNMLSKQHIGFAW87DA,1,99.18,集合住宅,鋼筋混凝土造,111年10月7日,五層,五層 陽台,全筆移轉
RPTNMLSKQHIGFAW87DA,1,18.12,集合住宅：本共有部分之項目有樓梯間、水塔間等２項。,鋼筋混凝土造,111年10月7日,五層,,持分移轉
RPUNMLSKQHIGFAW97DA,8,25.98,集合住宅,鋼筋混凝土造,104年4月14日,三層,三層 陽台,全筆移轉
RPUNMLSKQHIGFAW97DA,8,5.04,共有部分：本共有部分之項目計有樓梯間、騎樓、閣樓等３項。,鋼筋混凝土造,104年4月14日,三層,,持分移轉
RPRNMLMLQHIGFAW17DA,5,198.88,集村農舍,鋼筋混凝土造,107年7月18日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLRLQHIGFAW47DA,1,86.14,集合住宅,鋼筋混凝土造,111年11月24日,五層,四層 陽台,全筆移轉
RPPNMLRLQHIGFAW47DA,1,14.48,集合住宅：本共有部分項目有梯廳、走廊、安全梯、無障礙電梯等４項。,鋼筋混凝土造,111年11月24日,五層,,持分移轉
RPPNMLOJQHIGFAW96DA,5,71.05,集合住宅,鋼筋混凝土造,107年2月14日,三層,一層 陽台,全筆移轉
RPPNMLOJQHIGFAW96DA,5,5.87,共有部分：本共有部分之項目有樓梯間及水箱等２項。,鋼筋混凝土造,107年2月14日,三層,,持分移轉
