編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJRHIGFAW37EA,沙宅劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,05210000
RPPNMLNJQHIGFAW96EA,陳坑段,460.72,都市：其他:農業區,1,1,全筆移轉,01600000
RPPNMLLJQHIGFAW66DA,北二三劃測段,13.73,都市：其他:自然村專用區,10000,373,持分移轉,02290000
RPPNMLSJQHIGFAW47EA,碧山段,1600.01,都市：其他:保護區,1,1,全筆移轉,00930000
RPPNMLSJQHIGFAW47EA,碧山段,481.32,都市：其他:農業區,1,1,全筆移轉,01880000
RPSNMLKKQHIGFAW96DA,湖尾村測段,59.04,都市：其他:自然村專用區,1,1,全筆移轉,01100000
RPQNMLTJQHIGFAW57DA,長寮段,219.43,都市：其他:自然村專用區,1,1,全筆移轉,00290000
RPQNMLRJQHIGFAW37DA,中蘭劃測段,970.00,都市：其他:農業區,1,1,全筆移轉,04080000
RPPNMLLKQHIGFAW86EA,汶沙測段,87.03,都市：其他:自然村專用區,1,1,全筆移轉,16640000
RPRNMLOKQHIGFAW27DA,安西劃段,850.26,都市：其他:農業區,1,1,全筆移轉,10570000
RPRNMLLKQHIGFAW07EA,北五劃段,797.31,都市：其他:農業區,1,1,全筆移轉,02070000
RPRNMLLKQHIGFAW07EA,北五劃段,35.69,都市：其他:道路用地,1,1,全筆移轉,02070002
RPPNMLQKQHIGFAW37EA,寧安四劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,01090000
RPPNMLOKQHIGFAW17EA,新頭段,1000.00,都市：其他:甲種工業區,1,1,全筆移轉,02370031
RPTNMLLJQHIGFAW07DA,下新厝段,555.00,都市：其他:自然村專用區,1,1,全筆移轉,00280000
RPPNMLOKQHIGFAW07DA,陽宅段,246.68,都市：其他:自然村專用區,1,1,全筆移轉,04020000
RPPNMLQKQHIGFAW27DA,安岐村測段,220.74,都市：其他:自然村專用區,1,1,全筆移轉,00260000
RPQNMLOKQHIGFAW17DA,夏興段,17.09,都市：其他:自然村專用區,10000,611,持分移轉,13150014
RPUNMLPKQHIGFAW67DA,羅劃測段,1000.03,都市：其他:自然村專用區,1,1,全筆移轉,01620001
RPTNMLSKQHIGFAW87DA,寧山段,32.42,都市：其他:自然村專用區,20,1,持分移轉,09640000
RPTNMLSKQHIGFAW87DA,寧山段,16.98,都市：其他:自然村專用區,20,1,持分移轉,09650000
RPTNMLSKQHIGFAW87DA,寧山段,20.93,都市：其他:農業區,20,1,持分移轉,09650001
RPUNMLSKQHIGFAW97DA,北二三劃測段,18.39,都市：其他:自然村專用區,10000,679,持分移轉,00790017
RPRNMLLKQHIGFAW96DA,東林段,138.69,都市：其他:自然村專用區,1,1,全筆移轉,01220003
RPSNMLTJQHIGFAW77DA,榮湖段,978.00,都市：其他:農業區,1,1,全筆移轉,13230000
RPRNMLMLQHIGFAW17DA,寧湖二劃測段,108.70,都市：其他:農業區,1,1,全筆移轉,04910010
RPRNMLMLQHIGFAW17DA,寧湖二劃測段,5.70,都市：其他:農業區,16,1,持分移轉,04910017
RPRNMLMLQHIGFAW17DA,寧湖二劃測段,1.00,都市：其他:農業區,16,1,持分移轉,04910018
RPRNMLMLQHIGFAW17DA,大園段,354.39,都市：其他:國家公園區,1,1,全筆移轉,08710000
RPPNMLNLQHIGFAW17EA,寧山段,303.39,都市：其他:保護區,1,1,全筆移轉,04680000
RPRNMLOLQHIGFAW37DA,大園段,493.68,都市：其他:國家公園區,1,1,全筆移轉,01500000
RPVNMLNLQHIGFAW67DA,太湖劃測段,481.55,都市：其他:國家公園區,1,1,全筆移轉,01030000
RPVNMLNLQHIGFAW67DA,太湖劃測段,481.55,都市：其他:國家公園區,1,1,全筆移轉,01030001
RPPNMLRLQHIGFAW47DA,寧湖一劃段,44.00,都市：其他:自然村專用區,10,1,持分移轉,02950000
RPUNMLKKQHIGFAW17DA,西堡劃測段,1058.76,都市：其他:保護區,1,1,全筆移轉,02020002
