編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNJPHIGFAW76CB,安西劃段,31.02,都市：其他:自然村專用區,10000,826,持分移轉,08760000
RPPNMLLLOHIGFAW66CB,安西劃段,44.43,都市：其他:自然村專用區,10000,1183,持分移轉,08760000
RPPNMLNLQHIGFAW07CB,羅劃測段,55.59,都市：住,100000,5565,持分移轉,02000000
RPPNMLNLQHIGFAW07CB,羅劃測段,50.78,都市：住,100000,5565,持分移轉,02010000
RPPNMLOLQHIGFAW27DB,青山段,41.48,都市：其他:自然村專用區,10000,519,持分移轉,09180000
RPPNMLQJOHIGFAW96CB,盤山村測段,34.26,都市：其他:自然村專用區,100000,5270,持分移轉,01900000
RPPNMLQJOHIGFAW96CB,盤山村測段,2.86,都市：其他:自然村專用區,100000,5270,持分移轉,01900002
RPPNMLQJOHIGFAW96CB,盤山村測段,1.70,都市：其他:自然村專用區,100000,5270,持分移轉,01880006
RPPNMLLMNHIGFAW66CB,盤山村測段,32.39,都市：其他:自然村專用區,100000,4983,持分移轉,01900000
RPPNMLLMNHIGFAW66CB,盤山村測段,2.71,都市：其他:自然村專用區,100000,4983,持分移轉,01900002
RPPNMLLMNHIGFAW66CB,盤山村測段,1.61,都市：其他:自然村專用區,100000,4983,持分移轉,01880006
