編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLTKPHIGFAX97DA,坡道平面,0,,地下一樓
RPQNMLLJPHIGFAX76DA,其他,0,,一樓
RPQNMLSKQHIGFAX67DA,坡道平面,0,,地下二樓
RPTNMLOKPHIGFAX47DA,坡道平面,0,,地下二樓
RPXNMLMKNHIGFAX47DA,坡道平面,700000,23.30,地下一樓
RPSNMLTLQHIGFAX08DA,一樓平面,0,,一樓
RPQNMLMKOHIGFAX86DA,坡道平面,0,,地下一樓
RPQNMLKMOHIGFAX86DA,坡道平面,0,,地下二樓
RPQNMLMKPHIGFAX96DA,坡道平面,0,,地下一樓
RPQNMLSJQHIGFAX57DA,其他,0,,一樓
RPPOMLTKOHIGFAX57DA,一樓平面,550000,9.05,一樓
RPUNMLTKOHIGFAX97DA,一樓平面,550000,9.05,一樓
RPWOMLTKOHIGFAX28DA,一樓平面,600000,9.05,一樓
RPVNMLKLOHIGFAX27DA,一樓平面,440000,9.05,一樓
RPPNMLMLQHIGFAX07DA,一樓平面,550000,9.05,一樓
