編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJRHIGFAZ07DA,福沃段,17.37,,1,1,全筆移轉,03050007
RPRNMLTJOHIGFAZ77DA,仁愛段,41.56,,1,1,全筆移轉,07510000
RPRNMLTJOHIGFAZ77DA,仁愛段,73.71,,1,1,全筆移轉,07510001
RPPNMLQKOHIGFAZ37DA,清水段,37.31,,2,1,持分移轉,13460000
RPPNMLLLPHIGFAZ07DA,白沙段,94.44,,1,1,全筆移轉,01140000
RPQNMLLLPHIGFAZ17DA,白沙段,33.40,,1,1,全筆移轉,01150000
RPPNMLKKQHIGFAZ96DA,珠螺段,69.60,,1,1,全筆移轉,00290000
RPPNMLKKQHIGFAZ96DA,珠螺段,85.03,,1,1,全筆移轉,00290001
RPPNMLKKQHIGFAZ96DA,珠螺段,22.47,,1,1,全筆移轉,02860000
RPPNMLRJPHIGFAZ47DA,仁愛段,47.74,,1,1,全筆移轉,04320002
RPPNMLLMNHIGFAZ96DA,田沃段,23.40,,2,1,持分移轉,03580000
RPPNMLRJQHIGFAZ57DA,東引西段,52.66,,1,1,全筆移轉,04370000
RPPNMLKMOHIGFAZ96DA,珠螺段,127.92,,1,1,全筆移轉,02480000
RPQNMLTJOHIGFAZ67DA,清水段,70.61,,5,1,持分移轉,10750000
RPUNMLTJOHIGFAZ08DA,清水段,520.00,,1,1,全筆移轉,12050025
RPPNMLTJOHIGFAZ57DA,清水段,70.61,,5,1,持分移轉,10750000
RPPNMLTKOHIGFAZ67DA,午沙段,139.45,,1,1,全筆移轉,00260000
RPPNMLTKOHIGFAZ67DA,午沙段,2.80,,1,1,全筆移轉,00260001
RPPNMLMJNHIGFAZ76DA,復興段,107.81,,2,1,持分移轉,07770000
RPSNMLTJOHIGFAZ87DA,清水段,70.61,,5,1,持分移轉,10750000
RPWNMLTJOHIGFAZ28DA,清水段,70.61,,5,1,持分移轉,10750000
RPTNMLTJOHIGFAZ97DA,清水段,70.61,,5,1,持分移轉,10750000
