鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,車位,臺北市大安區市民大道四段１０２號地下二層,1.51,住,,,1121102,土地1建物1車位1,地下二層,十五層,其他,停車空間,鋼筋混凝土造,0790804,32.56,0,0,0,無,有,2850000,,坡道平面,32.56,2850000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPUNMLSJJIIGFFA18DA,0.0,0.0,0.0,有,0001
北投區,土地,豐年段一小段357地號,40.69,農,,,1121102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1720000,42271,,0.0,0,,RPWNMLQJJIIGFEA08DA,0.0,0.0,0.0,無,0002
大同區,車位,民權西路３００號等共有部分,1.03,都市：其他:特定專用區(供一般商業使用)。,,,1121102,土地1建物1車位1,,,其他,,,,38.11,0,0,0,無,有,2200000,,升降機械,38.1,2200000,僅車位交易；,RPTNMLQJJIIGFBA47DA,0.0,0.0,0.0,有,0003
萬華區,房地(土地+建物),臺北市萬華區和平西路三段８９巷４之１號,5.25,商,,,1121101,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0600227,16.42,2,1,1,有,無,2440000,148599,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPUNMLRJJIIGFBA67DA,16.42,0.0,0.0,無,
中山區,建物,臺北市中山區松江路１８５號十三樓之１,0.0,,,,1121103,土地0建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0671219,113.66999999999999,0,0,0,無,有,2900251,25515,,0.0,0,地上權房屋；,RPPNMLTJJIIGFCA57EA,99.99,0.0,0.0,有,
文山區,房地(土地+建物),臺北市文山區汀州路四段２９１號六樓,10.27,商,,,1121101,土地1建物1車位0,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1120420,116.97,3,2,2,有,有,6884471,58857,,0.0,0,本案為參與都更權利變換之現地安置戶分配,RPSNMLKKJIIGFAA76DA,70.23,0.0,9.32,有,
文山區,房地(土地+建物),臺北市文山區汀州路四段２８５號四樓,8.36,商,,,1121106,土地1建物1車位0,四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1120420,94.87,2,1,1,有,有,5303120,55899,,0.0,0,此案為都更重建以協議合建方式之現地安置受補償戶,RPTNMLKKJIIGFAA86DA,60.26,0.0,4.26,有,
文山區,土地,老泉段二小段166-12地號,116.19,都市：其他:保護區。,,,1121103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,737000,6343,,0.0,0,未登記建物；農作物；農業設施；,RPQNMLNKJIIGFAA86DA,0.0,0.0,0.0,無,
北投區,車位,臺北市北投區石牌路二段３１９之１號,0.31,住,,,1121103,土地1建物1車位1,一層,十四層,其他,一般事務所,鋼骨鋼筋混凝土造,0930712,40.879999999999995,0,0,0,無,有,2850000,,坡道平面,0.0,2850000,僅車位交易；,RPPNMLNKJIIGFEA27EA,0.0,0.0,0.0,有,0004
中正區,房地(土地+建物),臺北市中正區同安街８６巷２３號三樓,13.83,住,,,1121103,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),,加強磚造,,38.6,3,2,1,有,無,7120000,184456,,0.0,0,,RPOOMLLJJIIGFAA09DA,38.6,0.0,0.0,無,0005
內湖區,車位,臺北市內湖區內湖路一段３６０巷１７、１９號、洲子街８１、８３、８５號門牌房屋地下一層,6.71,工,,,1121101,土地1建物1車位2,地下一層,十層,其他,停車空間,鋼筋混凝土造,0871029,68.83,0,0,0,無,有,3200000,,坡道平面,68.82,3200000,僅車位交易；,RPTNMLKKJIIGFCA07DA,0.0,0.0,0.0,有,0006
中山區,土地,吉林段三小段727地號,5.0,住,,,1121102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,400000,,0.0,0,,RPPNMLNKJIIGFCA07EA,0.0,0.0,0.0,無,0007
北投區,建物,臺北市北投區東華街二段８號,0.0,,,,1121106,土地0建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住商用,加強磚造,0621227,20.3,0,0,0,無,無,900000,44335,,0.0,0,,RPSNMLNKJIIGFEA57EA,20.3,0.0,0.0,無,
北投區,土地,振興段一小段172-1地號,5.78,都市：其他:道路用地(公共設施用地)。65/6/18,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,140000,24221,,0.0,0,包含公共設施保留地用地；,RPVNMLNKJIIGFEA87EA,0.0,0.0,0.0,無,0008
士林區,土地,富安段一小段84-4地號,62.3,都市：其他:娛樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,57785,,0.0,0,,RPTNMLOKJIIGFEA77EA,0.0,0.0,0.0,無,
大同區,土地,橋北段一小段420地號,126.0,住,,,1121103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,56000000,444444,,0.0,0,,RPQOMLTKIIIGFBA57DA,0.0,0.0,0.0,無,
大同區,房地(土地+建物),臺北市大同區敦煌路２４巷２弄１０號二樓,31.5,住,,,1121102,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0620829,66.99,2,1,1,有,無,10500000,156740,,0.0,0,陽台外推；,RPXNMLNJJIIGFBA57DA,66.99,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區民生東路五段１９０號十三樓之５,2.97,商,,,1121104,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721229,36.03,1,1,1,有,有,8900000,247016,,0.0,0,陽台外推；,RPUNMLOKJIIGFDA67DA,26.5,0.0,3.78,有,0009
信義區,土地,雅祥段一小段130地號,2.5,住,,,1121104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,770061,308024,,0.0,0,,RPVOMLMKIIIGFDA67EA,0.0,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區八德路四段６３６號五樓之２,4.99,商,,,1121101,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,50.47,1,1,1,有,有,15550000,308104,,0.0,0,夾層；,RPRNMLOKJIIGFDA47EA,29.53,2.79,0.0,有,0010
松山區,車位,臺北市松山區南京東路四段２３號,0.11,商,,,1121103,土地2建物1車位1,一層,十五層,其他,住家用,鋼筋混凝土造,0971205,1.54,0,0,0,無,有,910000,,塔式車位,0.0,910000,僅車位交易；,RPTNMLOKJIIGFDA67EA,0.0,0.0,0.0,有,0011
松山區,房地(土地+建物),臺北市松山區八德路三段２０號五樓之２,39.56,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區) 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,,,1121103,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0631016,267.08,3,2,0,有,有,24000000,89861,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKJIIGFDA47EA,267.08,0.0,0.0,有,
