編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSJJIIGFFA18DA,仁愛段六小段,1.51,都市：其他:第四之一種住宅區(特)。,10000,6,持分移轉,06190000
RPTNMLQJJIIGFBA47DA,延平段二小段,1.03,都市：其他:特定專用區(供一般商業使用)。,100000,100,持分移轉,00380000
RPTNMLKKJIIGFAA86DA,萬隆段二小段,8.36,都市：其他:第一種商業區。,100000,294,持分移轉,06230000
RPSNMLKKJIIGFAA76DA,萬隆段二小段,10.27,都市：其他:第一種商業區。,100000,361,持分移轉,06230000
RPQNMLNKJIIGFAA86DA,老泉段二小段,28.58,都市：其他:保護區。,1,1,全筆移轉,01660011
RPQNMLNKJIIGFAA86DA,老泉段二小段,87.61,都市：其他:保護區。,1,1,全筆移轉,01660012
RPTNMLKKJIIGFCA07DA,西湖段四小段,6.71,都市：其他:科技工業區(A區)(不得作住宅使用)。,10000,20,持分移轉,01260000
RPWNMLQJJIIGFEA08DA,豐年段一小段,28.98,都市：其他:農業區。,48,1,持分移轉,03570000
RPWNMLQJJIIGFEA08DA,豐年段一小段,11.71,都市：其他:農業區。,48,1,持分移轉,03580000
RPVNMLNKJIIGFEA87EA,振興段一小段,5.78,都市：其他:道路用地(公共設施用地)。65/6/18,24000,450,持分移轉,01720001
RPTNMLOKJIIGFEA77EA,富安段一小段,62.30,都市：其他:娛樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,4,1,持分移轉,00840004
RPUNMLRJJIIGFBA67DA,龍山段二小段,5.25,都市：其他:第三種商業區。,40,1,持分移轉,00990000
RPXNMLNJJIIGFBA57DA,大龍段一小段,5.25,都市：其他:第三種住宅區。,4,1,持分移轉,01540000
RPXNMLNJJIIGFBA57DA,大龍段一小段,26.25,都市：其他:第三種住宅區。,4,1,持分移轉,01660000
