編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQJJIIGFBA47DA,升降機械,2200000,38.10,地下三樓
RPUNMLSJJIIGFFA18DA,坡道平面,2850000,32.56,地下二樓
RPTNMLKKJIIGFCA07DA,坡道平面,1600000,34.41,地下一樓
RPTNMLKKJIIGFCA07DA,坡道平面,1600000,34.41,地下一樓
RPTNMLOKJIIGFDA67EA,塔式車位,910000,,
RPWNMLTJJIIGFBA08DA,坡道平面,2500000,33.70,地下四樓
RPPNMLNKJIIGFEA27EA,坡道平面,2850000,,地下三樓
RPXNMLKKJIIGFBA37DA,坡道機械,0,,地下二樓
RPTOMLRKJIIGFAA67DA,坡道平面,1800000,,地下二樓
RPOOMLPKJIIGFAA96DA,坡道平面,0,42.19,地下二樓
RPOOMLPKJIIGFAA96DA,坡道平面,0,42.19,地下二樓
RPOOMLPKJIIGFAA96DA,坡道平面,0,42.19,地下二樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,46.40,地下二樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,46.40,地下二樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,31.64,地下三樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,31.64,地下三樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,31.64,地下四樓
RPPNMLRKJIIGFEA57DA,坡道平面,0,31.64,地下四樓
RPTNMLQKJIIGFCA77EA,坡道平面,0,30.82,地下四樓
RPTNMLQKJIIGFCA77EA,坡道平面,0,30.82,地下四樓
RPOOMLRJJIIGFFA57DA,坡道平面,2800000,36.99,地下五樓含以下
RPWOMLRKJIIGFAA97DA,坡道平面,2358000,,地下二樓
RPSOMLNKJIIGFEA57DA,升降機械,0,38.11,地下二樓
RPOQMLMJJIIGFAA76DA,坡道平面,3100000,44.04,地下四樓
RPOOMLRKJIIGFAA17DA,其他,1700000,14.51,一樓
RPRNMLKLJIIGFEA17DA,坡道平面,2000000,,地下三樓
RPSNMLMLJIIGFFA57DA,坡道平面,3600000,38.25,地下三樓
