編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKQHIGFDA18CB,中南段二小段,15.28,都市：住,1000000,10780,持分移轉,06080000
RPPNMLSKQHIGFDA18CB,中南段二小段,.06,都市：住,1000000,10780,持分移轉,06090000
RPPNMLSKQHIGFDA18CB,中南段二小段,3.15,都市：住,1000000,10780,持分移轉,06090001
RPPNMLRKQHIGFDA08CB,西松段二小段,2.62,都市：商,100000,274,持分移轉,07220000
RPPNMLRKQHIGFDA08CB,西松段二小段,2.52,都市：住,100000,274,持分移轉,07220001
RPPNMLRKQHIGFDA08CB,西松段二小段,.09,都市：商,100000,274,持分移轉,07230000
RPPNMLRKQHIGFDA08CB,西松段二小段,.23,都市：商,100000,274,持分移轉,07240000
RPPNMLTKQHIGFDA28CB,中南段二小段,15.27,都市：住,1000000,10771,持分移轉,06080000
RPPNMLTKQHIGFDA28CB,中南段二小段,.06,都市：住,1000000,10771,持分移轉,06090000
RPPNMLTKQHIGFDA28CB,中南段二小段,3.15,都市：住,1000000,10771,持分移轉,06090001
RPPNMLKLQHIGFDA47CB,中南段二小段,11.64,都市：住,1000000,8211,持分移轉,06080000
RPPNMLKLQHIGFDA47CB,中南段二小段,.05,都市：住,1000000,8211,持分移轉,06090000
RPPNMLKLQHIGFDA47CB,中南段二小段,2.40,都市：住,1000000,8211,持分移轉,06090001
RPQNMLOKQHIGFFA08CB,龍泉段一小段,7.71,都市：住,100000,3875,持分移轉,01160000
RPPNMLNKQHIGFDA67CB,中南段二小段,15.31,都市：住,1000000,10798,持分移轉,06080000
RPQNMLOKQHIGFDA87CB,中南段二小段,14.69,都市：住,1000000,10363,持分移轉,06080000
RPQNMLOKQHIGFDA87CB,中南段二小段,.06,都市：住,1000000,10363,持分移轉,06090000
RPPNMLNKQHIGFDA67CB,中南段二小段,.06,都市：住,1000000,10798,持分移轉,06090000
RPQNMLOKQHIGFDA87CB,中南段二小段,3.03,都市：住,1000000,10363,持分移轉,06090001
RPPNMLNKQHIGFDA67CB,中南段二小段,3.15,都市：住,1000000,10798,持分移轉,06090001
RPQNMLNKQHIGFEA87CB,軟橋段,25.14,都市：住,1000000,7828,持分移轉,00220000
RPPNMLNKQHIGFEA77CB,軟橋段,26.70,都市：住,1000000,8313,持分移轉,00220000
RPTNMLRKQHIGFEA58CB,軟橋段,26.00,都市：住,100000,1547,持分移轉,00330000
RPQNMLLLQHIGFAA37CB,木柵段一小段,2.13,都市：住,10000,154,持分移轉,07570001
RPQNMLLLQHIGFAA37CB,木柵段一小段,5.14,都市：住,10000,154,持分移轉,07710000
