鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,建物,臺北市中正區和平西路一段１１號十樓,0.0,商,,,1120726,土地0建物0車位0,十層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,42.6,1,0,1,有,無,有,12800,300,,0.0,0,此為分租套房，第十層共分成21間，一間平均面積約為42.60平方公尺。電費及每月垃圾費650元、水費250元、鍋爐費300元皆為承租人負擔。,RPPNMLLKQHIGFAA27CC,,,,,,
文山區,建物,臺北市文山區興隆路二段１３０巷３０號二樓,0.0,住,,,1120804,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630219,85.45,3,2,1,有,無,有,25000,293,,0.0,0,,RPQNMLLKQHIGFAA37CC,,,,,,
中正區,建物,臺北市中正區和平西路一段１１號十樓,0.0,商,,,1120727,土地0建物0車位0,十層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,42.6,1,1,1,有,無,有,17300,406,,0.0,0,此為分租套房，第十層共分成21間，一間平均面積約為42.60平方公尺。電費及每月垃圾費650元、水費250元、鍋爐費300元皆為承租人負擔。,RPRNMLLKQHIGFAA47CC,,,,,,
中正區,建物,臺北市中正區和平西路一段１１號十一樓,0.0,商,,,1120725,土地0建物0車位0,十一層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,40.66,1,0,1,有,無,有,12800,315,,0.0,0,此為分租套房，第十一層共分成22間，一間平均面積約為40.66平方公尺。電費及每月垃圾費650元、水費250元、鍋爐費300元皆為承租人負擔。,RPSNMLLKQHIGFAA57CC,,,,,,
中正區,建物,臺北市中正區中華路二段３３５之１號,0.0,住,,,1120801,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),店鋪、集合住宅,鋼筋混凝土造,0691029,38.75,2,1,1,有,有,有,17000,439,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費及每月管理費150元皆由承租人負擔。,RPTNMLLKQHIGFAA67CC,,,,,,
中正區,建物,臺北市中正區寧波西街１８號七樓之１,0.0,住,,,1120718,土地0建物1車位0,七層,11,辦公商業大樓,自由職業事務所,鋼筋混凝土造,0940607,34.94,2,1,2,有,有,有,28000,801,,0.0,0,含管理費、稅金或水電等費用。；,RPUNMLLKQHIGFAA77CC,,,,,,
大同區,建物,臺北市大同區市民大道一段２０１號十樓之３,0.0,其他,,,1120720,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0980724,84.62,1,1,1,有,有,有,50000,591,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPPNMLLKQHIGFBA37CC,,,,,,
大同區,建物,臺北市大同區五原路１９號四樓之９,0.0,商,,,1120724,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981216,116.62,4,2,2,有,有,有,56000,480,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQNMLLKQHIGFBA47CC,,,,,,
萬華區,建物,臺北市萬華區西寧南路７０號地下一層之２４,0.0,商,,,1120810,土地0建物1車位0,地下一層,10,店面(店鋪),商業用,鋼筋混凝土造,0620604,41.29,0,0,0,無,無,無,30000,727,,0.0,0,,RPRNMLLKQHIGFBA57CC,,,,,,
