編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLRJJIIGFEB18DA,孟春段,935.21,都市：其他:農業區,1,1,全筆移轉,00480000
RPVNMLRJJIIGFEB18DA,孟春段,63.81,都市：其他:農業區,1,1,全筆移轉,00510003
RPSNMLRJJIIGFJB38DA,坪林段,6.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06230004
RPRNMLTJJIIGFEB97DA,安農段,1500.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01790000
RPPNMLMJJIIGFHB37DA,僑興段,66.50,都市：其他:文教區,1,1,全筆移轉,00260000
RPQOMLNJJIIGFBB07DA,陳平段,4.40,都市：其他:第五種住宅區,10000,113,持分移轉,29880005
RPQNMLMKJIIGFEB27DA,安行段,1762.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06290000
RPTNMLSJJIIGFAB67DA,後壠子段,11.98,都市：其他:第二種住宅區,100000,478,持分移轉,01310040
RPPNMLOKJIIGFEB37DA,安行段,33.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,04200005
RPWNMLNKJIIGFDB87DA,南嵩段,78.00,都市：其他:第一種住宅區,13674,7800,持分移轉,05740001
RPVNNLKKJIIGFBB37DA,東義段,10.90,都市：其他:第二種商業區,30000,258,持分移轉,03310000
RPPNMLSJJIIGFFB87EA,忠孝段,84.11,都市：其他:第四種住宅區,72,8,持分移轉,05250000
RPUSMLKKJIIGFBB67DA,乾溝子段,5.18,都市：其他:第二種住宅區,10000,194,持分移轉,00710036
RPPNMLOKJIIGFDB27DA,合作段,50.00,都市：其他:農業區,2,1,持分移轉,02770003
RPRNMLNKJIIGFDB37DA,圳寮段,316.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01000005
RPPOMLSJJIIGFJB28DA,新興段,28.01,都市：其他:住宅區,10000,31,持分移轉,01500000
RPPNMLPJJIIGFKB97DA,文昌段,1629.00,都市：其他:農業區,1,1,全筆移轉,20220000
RPQOMLOKJIIGFBB27DA,文正段,11.00,都市：其他:第一種商業區,5,1,持分移轉,00160007
RPQOMLOKJIIGFBB27DA,文正段,2.00,都市：其他:第一種商業區,5,1,持分移轉,00160036
RPUPMLTJJIIGFCB28DA,上石碑段,3.68,都市：其他:第二種住宅區,10000,84,持分移轉,08240000
RPXOMLOKJIIGFBB97DA,建業段,2.71,都市：其他:第三種住宅區。,10000,10,持分移轉,05330000
RPUNMLOKJIIGFAB47DA,平和段,3.34,都市：其他:第一種商業區,10000,9,持分移轉,00500000
RPSNMLTJJIIGFFB18DA,信義段,9.18,都市：其他:農業區,1000,3,持分移轉,06170000
RPXQMLLJJIIGFBB77DA,中德段,2.20,都市：其他:第三種住宅區。,1000000,664,持分移轉,04660000
RPSOMLMJJIIGFFB57DA,銀聯段,82.00,都市：其他:第四種住宅區,1,1,全筆移轉,07320019
RPQNMLNJJIIGFFB37DA,南勢東段,362.69,都市：其他:第二種住宅區,168,26,持分移轉,03480000
RPRNMLPKJIIGFFB77DA,正英段,10.11,都市：其他:第二種住宅區,60,3,持分移轉,07970000
RPRNMLPKJIIGFFB77DA,正英段,1.01,都市：其他:保護區,90,3,持分移轉,08010000
RPRNMLPKJIIGFFB77DA,正英段,6.86,都市：其他:第二種住宅區,90,3,持分移轉,08020000
RPRNMLPKJIIGFFB77DA,正英段,1.98,都市：其他:第二種住宅區,90,3,持分移轉,08030000
RPPOMLQKJIIGFCB47DA,楓樹段,76.00,都市：其他:第二之二種住宅區,1,1,全筆移轉,14050000
RPPNMLNKJIIGFCB17EA,寶山段,121.17,都市：其他:農業區,6,1,持分移轉,11400005
RPPNMLRJJIIGFEB57DA,三十甲段,2856.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01110014
