編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLOKQHIGFIB78CB,自治段,10.00,都市：住,10000,115,持分移轉,01590000
RPTNMLOKQHIGFIB78CB,自治段,7.01,都市：住,10000,115,持分移轉,01600000
RPTNMLOKQHIGFIB78CB,自治段,3.02,都市：住,10000,115,持分移轉,01750000
RPTNMLOKQHIGFIB78CB,自治段,9.96,都市：住,10000,115,持分移轉,01770000
RPQNMLOKQHIGFIB48CB,新榮泉段,21.87,都市：商,100000,1130,持分移轉,00250000
RPUNMLOKQHIGFIB88CB,自治段,9.91,都市：住,10000,114,持分移轉,01590000
RPUNMLOKQHIGFIB88CB,自治段,6.95,都市：住,10000,114,持分移轉,01600000
RPUNMLOKQHIGFIB88CB,自治段,2.99,都市：住,10000,114,持分移轉,01750000
RPUNMLOKQHIGFIB88CB,自治段,9.87,都市：住,10000,114,持分移轉,01770000
RPSNMLOKQHIGFIB68CB,自治段,10.95,都市：住,10000,126,持分移轉,01590000
RPSNMLOKQHIGFIB68CB,自治段,7.68,都市：住,10000,126,持分移轉,01600000
RPSNMLOKQHIGFIB68CB,自治段,3.31,都市：住,10000,126,持分移轉,01750000
RPSNMLOKQHIGFIB68CB,自治段,10.91,都市：住,10000,126,持分移轉,01770000
RPUNMLPKQHIGFAB18CB,下橋子頭段,6.75,都市：住,100000,300,持分移轉,01940006
RPUNMLPKQHIGFAB18CB,下橋子頭段,13.19,都市：住,100000,300,持分移轉,01940007
RPOOMLPKQHIGFAB67CB,頂橋子頭段,15.90,都市：商,100000,1367,持分移轉,03670099
RPOOMLPKQHIGFAB67CB,頂橋子頭段,2.28,都市：住,100000,1367,持分移轉,03670114
RPQNMLLKQHIGFGB97CB,水底寮段上水底寮小段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02130010
RPQNMLLKQHIGFGB97CB,水底寮段上水底寮小段,29.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,02130000
RPQNMLLKQHIGFGB97CB,水底寮段上水底寮小段,1.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,02130011
RPQNMLLKQHIGFGB97CB,水底寮段上水底寮小段,1.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,02130012
RPTOMLPKQHIGFFB68CB,榜文段,110.01,都市：住,1,1,全筆移轉,09750004
RPTOMLPKQHIGFFB68CB,榜文段,14.98,都市：住,100000,6248,持分移轉,09750000
RPQNMLOKQHIGFFB18CB,庄北段,24.02,都市：住,10000,149,持分移轉,10720000
RPWNMLPKQHIGFFB88CB,朝天段,5.01,都市：住,100000,5925,持分移轉,07350000
RPWNMLPKQHIGFFB88CB,朝天段,43.48,都市：住,100000,14369,持分移轉,07350006
RPWNMLPKQHIGFFB88CB,朝天段,62.85,都市：農,9,2,持分移轉,07400000
RPQNMLPKQHIGFDB08CB,中陽段,28.94,都市：住,100000,906,持分移轉,03510000
RPQNMLPKQHIGFDB08CB,中陽段,.02,都市：住,100000,906,持分移轉,03510001
RPSNMLOKQHIGFDB18CB,鳳山段,20.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,170890,2074,持分移轉,01510000
RPRNMLOKQHIGFDB08CB,鳳山段,20.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,170890,2089,持分移轉,01510000
RPQNMLQKQHIGFAB87CB,下橋子頭段,12.60,都市：住,1000,25,持分移轉,01310014
RPQNMLQKQHIGFAB87CB,下橋子頭段,.92,都市：住,1000,25,持分移轉,01310032
RPQNMLQKQHIGFAB87CB,下橋子頭段,.83,都市：商,1000,25,持分移轉,01310033
RPQNMLQKQHIGFAB87CB,下橋子頭段,1.62,都市：商,1000,25,持分移轉,01310034
RPQNMLQKQHIGFDB18CB,大順段,15.40,都市：住,100000,2998,持分移轉,03090000
RPQNMLQKQHIGFDB18CB,大順段,4.36,都市：住,100000,2998,持分移轉,03100000
RPRNMLQKQHIGFDB28CB,豐原段,13.28,都市：住,100000,5354,持分移轉,08940032
RPRNMLQKQHIGFDB28CB,豐原段,10.92,都市：住,100000,5354,持分移轉,08940046
RPWOMLPKQHIGFFB98CB,鹿峰西段,38.05,都市：其他:第四種住宅區,100000,3099,持分移轉,07100000
RPSNMLPKQHIGFKB98CB,龍崗段,26.56,都市：住,100000,1185,持分移轉,00800000
