編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLOKQHIGFIB78CB,坡道平面,1600000,25.29,地下二樓
RPQNMLOKQHIGFIB48CB,坡道平面,1880000,28.65,地下二樓
RPUNMLOKQHIGFIB88CB,坡道平面,1700000,25.29,地下二樓
RPSNMLOKQHIGFIB68CB,坡道平面,1700000,25.29,地下二樓
RPUNMLPKQHIGFAB18CB,坡道平面,1850000,27.10,地下三樓
RPOOMLPKQHIGFAB67CB,坡道平面,2000000,41.31,地下二樓
RPQNMLLKQHIGFGB97CB,坡道平面,0,,地下一樓
RPQNMLOKQHIGFFB18CB,升降機械,700000,15.70,地下二樓
RPQNMLPKQHIGFDB08CB,坡道平面,1900000,23.72,地下一樓
RPSNMLOKQHIGFDB18CB,坡道平面,1400000,32.26,地下二樓
RPRNMLOKQHIGFDB08CB,坡道機械,1000000,17.79,地下二樓
RPQNMLQKQHIGFDB18CB,升降平面,1150000,27.76,一樓
RPRNMLQKQHIGFDB28CB,升降機械,900000,13.32,地下一樓
RPWOMLPKQHIGFFB98CB,坡道平面,1850000,38.02,地下二樓
RPSNMLPKQHIGFKB98CB,坡道機械,620000,12.43,地下一樓
RPPNMLQKQHIGFKB78CB,其他,800000,6.59,一樓
RPPNMLPKQHIGFFB28DB,坡道機械,500000,22.02,地下四樓
RPQNMLPKQHIGFFB38DB,坡道機械,500000,22.02,地下四樓
RPTNMLRKQHIGFKB66CB,坡道機械,1000000,12.90,地下一樓
RPSNMLRKQHIGFKB56CB,坡道機械,800000,12.90,地下一樓
RPQNMLSKQHIGFAB08CB,坡道平面,1900000,29.76,地下三樓
RPTNMLSKQHIGFAB38CB,坡道平面,1500000,34.73,地下二樓
RPUNMLSKQHIGFAB48CB,坡道平面,1200000,34.73,地下五樓含以下
RPQOMLSKQHIGFAB18CB,坡道平面,1600000,27.10,地下三樓
RPWOMLSKQHIGFAB78CB,坡道平面,1850000,27.10,地下三樓
RPPNMLOKQHIGFBB77DB,坡道平面,1700000,26.88,地下一樓
RPRNMLRKQHIGFHB78CB,坡道平面,1200000,29.51,地下二樓
RPRNMLSKQHIGFFB68CB,坡道平面,1400000,40.15,地下二樓
RPSNMLSKQHIGFFB78CB,坡道機械,500000,19.74,地下四樓
RPQNMLSKQHIGFJB98CB,坡道平面,1700000,26.36,地下一樓
RPQNMLSKQHIGFJB98CB,坡道平面,1800000,28.65,地下一樓
RPWNMLPKQHIGFJB66CB,坡道平面,1650000,28.59,地下一樓
RPVNMLTKQHIGFFB56CB,坡道平面,1150000,24.81,地下三樓
RPWNMLTKQHIGFFB66CB,坡道平面,1250000,24.81,地下二樓
RPPNMLKLQHIGFAB27CB,坡道平面,1850000,27.10,地下三樓
RPPNMLLLQHIGFAB37CB,坡道平面,1990000,42.81,地下五樓含以下
RPQNMLLLQHIGFAB47CB,升降機械,1150000,17.45,地下二樓
RPRNMLSKQHIGFCB38CB,坡道平面,1900000,28.30,地下四樓
RPWNMLSKQHIGFCB88CB,坡道平面,1950000,28.93,地下一樓
RPPNMLRKQHIGFCB08CB,坡道平面,2000000,39.67,地下二樓
RPPNMLRKQHIGFCB08CB,坡道平面,2000000,39.67,地下二樓
RPVNMLRKQHIGFFB09DB,坡道平面,1800000,37.57,地下一樓
RPSNMLRKQHIGFFB78DB,坡道平面,1700000,34.01,地下一樓
RPUNMLLLQHIGFBB97CB,坡道平面,2150000,27.76,地下二樓
RPPNMLSKQHIGFBB08CB,坡道平面,1900000,35.06,地下二樓
RPPNMLSKQHIGFBB08CB,坡道平面,2000000,35.06,地下二樓
RPQNMLSKQHIGFBB18CB,坡道平面,1800000,34.97,地下二樓
RPWNMLLLQHIGFBB18CB,坡道平面,2200000,27.76,地下一樓
