鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
東區,建物,臺中市東區東區練武路２９３巷１２弄２號,0.0,住,,,1120714,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0670506,68.5,1,2,1,有,無,有,12000,175,,0.0,0,,RPPNMLLKQHIGFAB37CC,,,,,,
中區,房地(土地+建物)+車位,臺中市中區三民路二段５１號７樓之２,16.89,商,,,1120713,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110418,124.47,2,2,1,有,有,有,25000,201,坡道平面,43.98,0,含管理費、稅金或水電等費用。；,RPQNMLLKQHIGFAB47CC,,,,,,
西區,建物,臺中市西區向上路一段２８９巷９號５樓之５,0.0,住,,,1120712,土地0建物0車位0,五層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821124,33.33,1,0,1,有,有,有,10000,300,,0.0,0,,RPRNMLLKQHIGFAB57CC,,,,,,
西區,建物,臺中市西區三民路一段５０巷８號８樓之２３,0.0,住,,,1120720,土地0建物0車位0,八層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,30.810000000000002,1,0,1,有,有,有,8500,276,,0.0,0,,RPSNMLLKQHIGFAB67CC,,,,,,
西區,建物,臺中市西區三民路一段５０巷８號５樓之３９,0.0,住,,,1120720,土地0建物0車位0,五層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,29.1,1,0,1,有,有,有,7300,251,,0.0,0,,RPTNMLLKQHIGFAB77CC,,,,,,
南區,建物,臺中市南區復興路三段１號１２樓之３,0.0,住,,,1120715,土地0建物0車位0,十二層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700815,24.33,1,0,1,有,有,有,5500,226,,0.0,0,,RPUNMLLKQHIGFAB87CC,,,,,,
南區,建物,臺中市南區仁和二街５３號三樓,0.0,住,,,1120801,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0960921,158.13,3,2,2,有,有,有,25000,158,,0.0,0,台中市政府包租代管計畫。水電費、瓦斯費、網路費皆由承租人負擔。,RPVNMLLKQHIGFAB97CC,,,,,,
西區,建物,臺中市西區美村路一段２６８號七樓之３,0.0,住,,,1120801,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710226,103.72,3,2,2,有,有,有,21000,202,,0.0,0,台中市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費2000元皆由承租人負擔。,RPWNMLLKQHIGFAB08CC,,,,,,
西區,建物,臺中市西區柳川西路二段１９３巷１０號３樓之２,0.0,商,,,1120722,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,見其他登記事項,0611018,36.63,1,0,1,有,有,有,8000,218,,0.0,0,社宅案件,RPXNMLLKQHIGFAB18CC,,,,,,
