鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
仁愛區,房地(土地+建物),基隆市仁愛區仁三路９８號４樓,12.38,商,,,1121101,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0611226,77.2,0,0,0,無,無,1500000,19430,,0.0,0,,RPSNMLRJJIIGFDC97EA,77.2,0.0,0.0,無,
七堵區,土地,溪頭段466地號,7.59,住,,,1121105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,506000,66667,,0.0,0,,RPXNMLQJJIIGFDC28DA,0.0,0.0,0.0,無,0001
信義區,房地(土地+建物),基隆市信義區深澳坑路１６８巷５２弄１０號,20.67,住,,,1121101,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840610,91.28,3,1,2,有,無,2300000,25197,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLTJJIIGFDC58DA,42.33,42.73,0.0,無,0002
仁愛區,建物,基隆市仁愛區愛一路８７之３號,0.0,,,,1121106,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671124,78.99000000000001,2,1,2,有,無,3450000,43676,,0.0,0,,RPRNMLKKJIIGFDC17DA,62.32,0.0,0.0,無,0003
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街１１８號,6.17,住,,,1121102,土地1建物1車位0,一層，騎樓，地下一層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830312,49.21,0,0,0,無,有,2400000,48780,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；含租約；,RPUNMLKKJIIGFDC47DA,32.72,2.77,0.0,有,
中正區,房地(土地+建物),基隆市中正區觀海街１８９號７樓,6.07,住,,,1121103,土地2建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,32.2,1,1,1,有,有,1870000,58075,,0.0,0,,RPOTMLQJJIIGFDC97DA,20.79,0.0,3.12,有,
中正區,土地,祥豐段443-38地號,80.0,住,,,1121106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,32500,,0.0,0,,RPSNMLPKJIIGFDC87EA,0.0,0.0,0.0,無,0004
安樂區,房地(土地+建物),基隆市安樂區新西街６８巷１７之１號,29.33,住,,,1121106,土地3建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0580530,72.06,2,2,1,有,無,3700000,51346,,0.0,0,,RPUPMLSJJIIGFDC38DA,63.49,0.0,8.57,無,0005
安樂區,房地(土地+建物),基隆市安樂區中和路８５巷２７號９樓,12.91,住,,,1121104,土地7建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,50.3,2,1,1,有,有,4100000,81511,,0.0,0,夾層；,RPWPMLSJJIIGFDC58DA,35.56,0.33,4.26,有,0006
中正區,房地(土地+建物),基隆市中正區祥豐街５９號,29.41,住,,,1121105,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751229,100.69,3,2,1,有,無,5880000,58397,,0.0,0,其他增建；,RPPPMLTJJIIGFDC97DA,88.14,5.55,0.0,無,
七堵區,土地,長安段560地號,55.17,,山坡地保育區,農牧用地,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,27189,,0.0,0,,RPWNMLOKJIIGFDC08DA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１６４弄４１號３樓,33.63,住,,,1121130,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,120.0,3,2,2,有,有,5000,42,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKJIIGFDC77EA,97.33,0.0,7.77,無,
七堵區,土地,溪頭段582地號,58.06,住,,,1121105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3160800,54440,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKJIIGFDC87EA,0.0,0.0,0.0,無,0007
信義區,房地(土地+建物),基隆市信義區培德路１８５之１號,19.07,住,,,1121101,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710501,81.54,3,1,1,有,無,3600000,44150,,0.0,0,,RPUOMLNKJIIGFDC87DA,70.0,0.0,11.54,無,0008
七堵區,房地(土地+建物),基隆市七堵區崇禮街１２９巷２之３號,23.5,住,,,1121105,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681231,58.27,3,1,1,有,無,1500000,25742,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRJJIIGFDC97DA,58.27,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區新豐街２０４號７樓,5.64,住,,,1121112,土地1建物1車位0,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,31.060000000000002,1,1,1,有,有,2400000,77270,,0.0,0,,RPVNMLOKJIIGFDC97DA,19.72,0.0,4.31,有,0009
中正區,房地(土地+建物),基隆市中正區正義路７４巷３０弄１１號,37.0,住,,,1121109,土地2建物1車位0,三層，四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0581107,100.37,0,0,0,無,無,4800000,47823,,0.0,0,頂樓加蓋；,RPRNMLRKJIIGFDC87DA,100.37,0.0,0.0,無,0010
