編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPPMLTJJIIGFDC97DA,37,93.69,住家用,鋼筋混凝土造,75年12月29日,五層,一層 平台 停車場,全筆移轉
RPWOMLTJJIIGFDC58DA,28,85.06,住家用,鋼筋混凝土造,84年6月10日,四層,一層 平台 地下一層,全筆移轉
RPPPMLTJJIIGFDC97DA,37,5.75,共用部份,鋼筋混凝土造,75年12月29日,五層,,持分移轉
RPPPMLTJJIIGFDC97DA,37,1.25,共用部份,鋼筋混凝土造,75年12月29日,五層,,持分移轉
RPWOMLTJJIIGFDC58DA,28,4.84,共用部份,鋼筋混凝土造,84年6月10日,四層,,持分移轉
RPWOMLTJJIIGFDC58DA,28,1.39,共用部份,鋼筋混凝土造,84年6月10日,五層,,持分移轉
RPWPMLSJJIIGFDC58DA,26,.89,共用部份,鋼筋混凝土造,86年5月8日,十一層,,持分移轉
RPWPMLSJJIIGFDC58DA,26,40.15,住家用,鋼筋混凝土造,86年5月8日,十一層,九層 陽台 雨遮,全筆移轉
RPUPMLSJJIIGFDC38DA,54,72.06,住家用,加強磚造,58年5月30日,三層,二層 陽台,全筆移轉
RPWPMLSJJIIGFDC58DA,26,8.82,共用部份,鋼筋混凝土造,86年5月8日,十一層,,持分移轉
RPWPMLSJJIIGFDC58DA,26,.45,共用部份,鋼筋混凝土造,86年5月8日,十一層,,持分移轉
RPUOMLNKJIIGFDC87DA,42,81.54,住家用,鋼筋混凝土造,71年5月1日,五層,二層 陽台,全筆移轉
RPRNMLKKJIIGFDC17DA,45,16.67,共用部份,鋼筋混凝土造,67年11月24日,四層,,持分移轉
RPRNMLKKJIIGFDC17DA,45,62.32,,鋼筋混凝土造,67年11月24日,四層,四層,全筆移轉
RPPNMLRKJIIGFDC77EA,29,105.10,住家用,鋼筋混凝土造,83年10月15日,五層,三層 陽台,全筆移轉
RPPNMLRKJIIGFDC77EA,29,4.90,共用部份,鋼筋混凝土造,83年10月15日,五層,,持分移轉
RPPNMLRKJIIGFDC77EA,29,10.00,共用部份,鋼筋混凝土造,83年10月15日,五層,,持分移轉
RPSNMLRJJIIGFDC97EA,51,77.20,住家用,鋼筋混凝土加強磚造,61年12月26日,四層,四層,全筆移轉
RPRNMLRKJIIGFDC87DA,54,100.37,住家用,加強磚造,58年11月7日,四層,三層 四層,全筆移轉
RPXSMLQJJIIGFDC78DA,42,99.10,住家用,鋼筋混凝土造,71年2月27日,四層,三層 陽台,全筆移轉
RPSOMLPKJIIGFDC87DA,48,76.40,住家用,鋼筋混凝土造,65年1月27日,四層,三層,全筆移轉
