編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPPMLTJJIIGFDC97DA,港濱段,29.41,都市：其他:住宅區(住二),10000,285,持分移轉,16460000
RPWOMLTJJIIGFDC58DA,培德段,20.67,都市：其他:住宅區(住四),10000,24,持分移轉,07640000
RPWPMLSJJIIGFDC58DA,代天府段,12.62,都市：其他:住宅區(住三),100000,31,持分移轉,08370000
RPUPMLSJJIIGFDC38DA,保定段,20.67,都市：其他:住宅區,6,2,持分移轉,03950000
RPWPMLSJJIIGFDC58DA,代天府段,.08,都市：其他:道路用地,100000,31,持分移轉,08370001
RPWPMLSJJIIGFDC58DA,代天府段,.10,都市：其他:住宅區(住三),100000,31,持分移轉,08370002
RPWPMLSJJIIGFDC58DA,代天府段,.02,都市：其他:保護區,100000,31,持分移轉,08370003
RPUPMLSJJIIGFDC38DA,保定段,5.33,都市：其他:住宅區,6,2,持分移轉,03950001
RPUPMLSJJIIGFDC38DA,保定段,3.33,都市：其他:住宅區,6,2,持分移轉,03950002
RPWPMLSJJIIGFDC58DA,代天府段,.00,都市：其他:住宅區(住三),100000,31,持分移轉,08370004
RPWPMLSJJIIGFDC58DA,代天府段,.05,都市：其他:住宅區(住三),100000,31,持分移轉,08370005
RPWPMLSJJIIGFDC58DA,代天府段,.03,都市：其他:道路用地,100000,31,持分移轉,08370006
RPUOMLNKJIIGFDC87DA,光明段,8.86,都市：其他:住宅區,6000,151,持分移轉,03490001
RPUOMLNKJIIGFDC87DA,光明段,10.21,都市：其他:住宅區,6000,175,持分移轉,03490002
RPPNMLRKJIIGFDC77EA,情人湖段,33.53,都市：其他:住宅區(住二),100000,142,持分移轉,01350000
RPQNMLRKJIIGFDC87EA,溪頭段,50.05,都市：其他:住宅區(住三),5760,99,持分移轉,05820000
RPPNMLRKJIIGFDC77EA,情人湖段,.10,都市：其他:道路用地,100000,142,持分移轉,01350001
RPQNMLRKJIIGFDC87EA,溪頭段,8.01,都市：其他:住宅區(住三),5760,198,持分移轉,05830000
RPSNMLRJJIIGFDC97EA,復興段一小段,10.04,都市：其他:商業區(商四),240,33,持分移轉,01430000
RPSNMLRJJIIGFDC97EA,復興段一小段,2.34,都市：其他:商業區(商四),240,33,持分移轉,01440000
