鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120813,土地1建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.04,2,1,1,有,無,10180000,97592,坡道平面,29.66,1750000,,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.72,商,,,1120813,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.97,2,1,1,有,無,9550000,94764,坡道平面,29.66,1750000,,RPUNMLSLQHIGFDC98CB,夢悅城,C棟06號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,22.42,商,,,1120813,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.78,4,1,2,有,無,16200000,98549,坡道平面,29.66,1800000,,RPVNMLSLQHIGFDC09CB,夢悅城,E棟03號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,商,,,1120813,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.75,3,1,2,有,無,12650000,103686,坡道平面,29.66,1650000,,RPXNMLSLQHIGFDC66CB,夢悅城,F棟01號,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.24,商,,,1120813,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.47,2,1,1,有,無,8250000,96525,,0.0,0,,RPTOMLSLQHIGFDC98CB,夢悅城,B棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120815,土地1建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.58,2,1,1,有,無,9930000,96915,坡道平面,29.66,1700000,,RPOPMLSLQHIGFDC58CB,夢悅城,G棟05號,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,28.17,住,,,1120820,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.85,2,2,2,有,無,8910000,91998,,0.0,0,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,RPPNMLKMQHIGFDC87DB,富源鑫Ⅲ森活,A3棟08號,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,36.19,住,,,1120817,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,168.78,3,2,2,有,無,11920000,85003,坡道平面,45.02,1400000,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,RPQNMLKMQHIGFDC97DB,富源鑫Ⅲ森活,B2棟02號,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,36.4,住,,,1120817,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,169.57,3,2,2,有,無,12240000,86230,坡道平面,45.02,1500000,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,RPSNMLKMQHIGFDC18DB,富源鑫Ⅲ森活,A1棟02號,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1120815,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.92,3,2,2,有,無,12780000,95214,坡道平面,41.35,1300000,,RPPNMLPJRHIGFDC08CB,海豔,E4棟4號,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,35.97,住,,,1120811,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,168.74,3,2,2,有,無,12550000,90123,坡道平面,45.02,1400000,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,RPQNMLQJRHIGFDC38DB,富源鑫Ⅲ森活,B2棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120816,土地1建物1車位2,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.46,2,1,1,有,無,12000000,98661,坡道平面,59.32,3600000,,RPPNMLTJRHIGFDC48CB,夢悅城,G棟06號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1120819,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.52,2,1,1,有,無,10050000,96132,坡道平面,29.66,1700000,,RPQNMLTJRHIGFDC58CB,夢悅城,E棟07號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120823,土地1建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2,1,1,有,無,10000000,95475,坡道平面,29.66,1750000,,RPRNMLTJRHIGFDC68CB,夢悅城,C棟09號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120819,土地1建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.99,2,1,1,有,無,10000000,99027,坡道平面,29.66,1550000,,RPSNMLTJRHIGFDC78CB,夢悅城,B棟08號,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.24,商,,,1120819,土地1建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.41,2,1,1,有,無,8390000,97095,,0.0,0,,RPTNMLTJRHIGFDC88CB,夢悅城,C棟09號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1120816,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.78,3,1,2,有,無,13300000,96598,坡道平面,29.66,1600000,,RPUNMLTJRHIGFDC98CB,夢悅城,E棟05號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120820,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.71,2,1,1,有,無,9400000,98074,坡道機械,14.57,1050000,,RPVNMLTJRHIGFDC09CB,夢悅城,G棟06號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120819,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2,1,1,有,無,10300000,100104,坡道平面,29.66,1650000,,RPWNMLTJRHIGFDC56CB,夢悅城,C棟09號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.5,商,,,1120819,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.8,2,1,1,有,無,10120000,96097,坡道平面,29.66,1650000,,RPXNMLTJRHIGFDC66CB,夢悅城,E棟06號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.58,商,,,1120816,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.74,2,1,1,有,無,9600000,96248,坡道平面,29.66,1700000,,RPOOMLTJRHIGFDC48CB,夢悅城,B棟06號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.48,商,,,1120819,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,1,2,有,無,14400000,104245,坡道平面,29.66,1900000,,RPPOMLTJRHIGFDC58CB,夢悅城,E棟01號,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.37,商,,,1120816,土地1建物1車位0,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.6,2,1,1,有,無,8380000,96767,,0.0,0,,RPQOMLTJRHIGFDC68CB,夢悅城,D棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.37,商,,,1120816,土地1建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.68,4,1,2,有,無,15650000,100705,坡道平面,29.66,1650000,,RPROMLTJRHIGFDC78CB,夢悅城,E棟03號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120816,土地1建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.58,2,1,1,有,無,10300000,98917,坡道平面,29.66,1900000,,RPSOMLTJRHIGFDC88CB,夢悅城,G棟05號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.45,商,,,1120823,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.58,2,1,1,有,無,9880000,101087,坡道平面,29.66,1700000,,RPTOMLTJRHIGFDC98CB,夢悅城,A棟02號,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.24,商,,,1120819,土地1建物1車位0,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.35,2,1,1,有,無,8400000,97279,,0.0,0,,RPUOMLTJRHIGFDC09CB,夢悅城,D棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120816,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.13,2,1,1,有,無,10050000,97695,坡道平面,29.66,1700000,,RPVOMLTJRHIGFDC56CB,夢悅城,B棟08號,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.45,商,,,1120816,土地1建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.92,2,1,1,有,無,8360000,103312,,0.0,0,,RPWOMLTJRHIGFDC66CB,夢悅城,B棟02號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120816,土地1建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.99,2,1,1,有,無,9980000,98207,坡道平面,29.66,1600000,,RPXOMLTJRHIGFDC76CB,夢悅城,A棟08號,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,商,,,1120826,土地1建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.82,3,1,2,有,無,14000000,102827,坡道平面,29.66,1850000,,RPPNMLKLRHIGFDC77CB,夢悅城,E棟01號,
