編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSLQHIGFDC48CB,坡道平面,1750000,29.66,地下三樓
RPVNMLSLQHIGFDC09CB,坡道平面,1800000,29.66,地下三樓
RPXNMLSLQHIGFDC66CB,坡道平面,1650000,29.66,地下三樓
RPUNMLSLQHIGFDC98CB,坡道平面,1750000,29.66,地下二樓
RPOPMLSLQHIGFDC58CB,坡道平面,1700000,29.66,地下三樓
RPRNMLTJRHIGFDC68CB,坡道平面,1750000,29.66,地下三樓
RPQNMLTJRHIGFDC58CB,坡道平面,1700000,29.66,地下四樓
RPPNMLTJRHIGFDC48CB,坡道平面,1800000,29.66,地下二樓
RPPNMLTJRHIGFDC48CB,坡道平面,1800000,29.66,地下二樓
RPSNMLTJRHIGFDC78CB,坡道平面,1550000,29.66,地下二樓
RPPNMLPJRHIGFDC08CB,坡道平面,1300000,41.35,地下三樓
RPUNMLTJRHIGFDC98CB,坡道平面,1600000,29.66,地下四樓
RPVNMLTJRHIGFDC09CB,坡道機械,1050000,14.57,地下一樓
RPWNMLTJRHIGFDC56CB,坡道平面,1650000,29.66,地下一樓
RPXNMLTJRHIGFDC66CB,坡道平面,1650000,29.66,地下四樓
RPPOMLTJRHIGFDC58CB,坡道平面,1900000,29.66,地下二樓
RPOOMLTJRHIGFDC48CB,坡道平面,1700000,29.66,地下一樓
RPQNMLQJRHIGFDC38DB,坡道平面,1400000,45.02,地下二樓
RPQNMLKMQHIGFDC97DB,坡道平面,1400000,45.02,地下二樓
RPSNMLKMQHIGFDC18DB,坡道平面,1500000,45.02,地下一樓
RPXOMLTJRHIGFDC76CB,坡道平面,1600000,29.66,地下二樓
RPRNMLKLRHIGFDC97CB,坡道平面,1550000,29.66,地下四樓
RPQNMLKLRHIGFDC87CB,坡道平面,1700000,29.66,地下四樓
RPTOMLTJRHIGFDC98CB,坡道平面,1700000,29.66,地下一樓
RPVOMLTJRHIGFDC56CB,坡道平面,1700000,29.66,地下二樓
RPPNMLKLRHIGFDC77CB,坡道平面,1850000,29.66,地下二樓
RPROMLTJRHIGFDC78CB,坡道平面,1650000,29.66,地下四樓
RPSOMLTJRHIGFDC88CB,坡道平面,1900000,29.66,地下二樓
RPVNMLKLRHIGFDC38CB,坡道平面,1550000,29.66,地下三樓
RPTNMLKLRHIGFDC18CB,坡道平面,1700000,29.66,地下二樓
RPTNMLKLRHIGFDC18CB,坡道平面,1700000,29.66,地下二樓
RPXNMLKLRHIGFDC58CB,坡道平面,1550000,29.66,地下三樓
RPPOMLKLRHIGFDC87CB,坡道平面,1600000,29.66,地下三樓
RPROMLKLRHIGFDC08CB,坡道平面,1850000,29.66,地下二樓
RPWNMLKLRHIGFDC48CB,坡道平面,1800000,29.66,地下三樓
RPQOMLKLRHIGFDC97CB,坡道平面,1650000,29.66,地下二樓
RPUNMLKLRHIGFDC28CB,坡道平面,1600000,29.66,地下三樓
RPVOMLKLRHIGFDC48CB,坡道平面,1500000,29.66,地下四樓
RPTOMLKLRHIGFDC28CB,坡道平面,1800000,29.66,地下二樓
RPPPMLKLRHIGFDC97CB,坡道平面,1650000,29.66,地下二樓
RPOPMLKLRHIGFDC87CB,坡道平面,1600000,29.66,地下二樓
RPQPMLKLRHIGFDC08CB,坡道平面,1550000,29.66,地下二樓
RPWOMLKLRHIGFDC58CB,坡道平面,1800000,29.66,地下三樓
RPRPMLKLRHIGFDC18CB,坡道平面,1650000,29.66,地下四樓
RPUOMLKLRHIGFDC38CB,坡道平面,1550000,29.66,地下二樓
RPSOMLKLRHIGFDC18CB,坡道平面,1600000,29.66,地下四樓
