鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,建物,基隆市中正區新豐街４８８號之５ ７樓,0.0,其他,,,1120728,土地0建物1車位0,七層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,80.55,1,1,1,有,有,有,12000,149,,0.0,0,水電費、瓦斯費、網路費及每月管理費732元皆由承租人負擔。,RPPNMLLKQHIGFDC77CC,,,,,,
中正區,建物,基隆市中正區新豐街２５８號９樓,0.0,住,,,1120801,土地0建物1車位0,九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,32.55,1,0,0,無,有,有,6000,184,,0.0,0,,RPQNMLLKQHIGFDC87CC,,,,,,
中正區,建物,基隆市中正區新豐街２２８號１４樓,0.0,住,,,1120801,土地0建物1車位0,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,30.89,1,0,0,無,有,有,6000,194,,0.0,0,,RPRNMLLKQHIGFDC97CC,,,,,,
七堵區,建物,基隆市七堵區崇智街３５巷９之３號,0.0,住,,,1120728,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640802,65.37,1,2,1,有,無,有,12000,184,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPSNMLLKQHIGFDC08CC,,,,,,
中正區,建物,基隆市中正區中正路４８４號３樓,0.0,商,,,1120729,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740619,75.58999999999999,2,1,1,有,無,有,11000,146,,0.0,0,每月水電費由承租人另外負擔。,RPTNMLLKQHIGFDC18CC,,,,,,
安樂區,建物,基隆市安樂區武崙街１８６巷１２之２號５樓,0.0,住,,,1120804,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),第五層：集合住宅；突出物一層：樓梯間,鋼筋混凝土造,1110219,107.72,2,2,1,有,有,有,19800,184,坡道平面,0.0,3500,,RPUNMLLKQHIGFDC28CC,,,,,,
中正區,建物,基隆市中正區新豐街２９０號１６樓,0.0,住,,,1120805,土地0建物1車位0,十六層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,94.05000000000001,1,1,1,有,有,有,8500,90,,0.0,0,,RPVNMLLKQHIGFDC38CC,,,,,,
中正區,建物,基隆市中正區新豐街３３３巷５４號４樓,0.0,住,,,1120802,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,56.449999999999996,2,1,1,有,有,有,10000,177,,0.0,0,,RPWNMLLKQHIGFDC48CC,,,,,,
安樂區,建物,基隆市安樂區中和路１６８巷１１弄２６號３樓,0.0,住,,,1120804,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,95.10000000000001,2,1,2,有,無,有,12000,126,,0.0,0,,RPXNMLLKQHIGFDC58CC,,,,,,
安樂區,建物,基隆市安樂區麥金路２３３號２１樓,0.0,住,,,1120729,土地0建物1車位0,二十一層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050124,70.29,2,1,1,有,有,無,14000,199,,0.0,0,,RPPNMLMKQHIGFDC87CC,,,,,,
中正區,建物,基隆市中正區祥豐街９５號６樓之５,0.0,住,,,1120712,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880510,31.05,1,0,0,無,有,有,6500,209,,0.0,0,,RPPNMLPKQHIGFDC18CC,,,,,,
信義區,建物,基隆市信義區深溪路５５巷５０號５樓之２,0.0,住,,,1120807,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,137.03,3,2,2,有,有,有,17500,128,,0.0,0,水電費、瓦斯費、網路費及每月管理費1082元皆由承租人負擔。,RPQNMLPKQHIGFDC28CC,,,,,,
中山區,建物,基隆市中山區中山一路１４５巷１５之２號,0.0,住,,,1120808,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710920,50.24,1,0,1,有,無,有,8500,169,,0.0,0,每月水電費由承租人負擔。,RPRNMLPKQHIGFDC38CC,,,,,,
安樂區,建物,基隆市安樂區中和路１６８巷１１弄１４號五樓,0.0,住,,,1120731,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,84.13,3,2,2,有,無,有,10000,119,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPSNMLPKQHIGFDC48CC,,,,,,
安樂區,建物,基隆市安樂區基金一路１４６號,0.0,住,,,1120802,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,122.8,3,2,1,有,有,有,12000,98,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPTNMLPKQHIGFDC58CC,,,,,,
中正區,建物,基隆市中正區新豐街２２６號９樓,0.0,住,,,1120802,土地0建物1車位0,九層,23,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851129,32.29,1,0,1,有,有,有,6600,204,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPUNMLPKQHIGFDC68CC,,,,,,
安樂區,建物,基隆市安樂區基金二路１巷１７４之１號５樓,0.0,住,,,1120801,土地0建物1車位0,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811103,187.99,4,2,2,有,有,有,15000,80,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPVNMLPKQHIGFDC78CC,,,,,,
七堵區,建物,基隆市七堵區崇廉街２０巷５４之３號,0.0,住,,,1120801,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710426,92.52,3,1,1,有,無,有,13500,146,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPWNMLPKQHIGFDC88CC,,,,,,
信義區,房地(土地+建物),基隆市信義區深溪路５５巷６８號７樓,26.41,住,,,1120815,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,100.0,3,2,2,有,無,有,18000,180,,0.0,0,,RPXNMLPKQHIGFDC09DC,,,,,,
中正區,建物,基隆市中正區調和街３００號五樓之７,0.0,住,,,1120811,土地0建物1車位0,五層,14,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080212,63.239999999999995,1,1,1,有,有,有,14000,221,,0.0,0,水電瓦斯費及網路費均由承租人負擔。,RPPNMLQKQHIGFDC28CC,,,,,,
中正區,建物,基隆市中正區新豐街３３３巷５號,0.0,住,,,1120807,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840821,118.34,3,1,2,有,有,有,13500,114,,0.0,0,水電費、瓦斯費、網路費及每月管理費1500元皆由承租人負擔。,RPQNMLQKQHIGFDC38CC,,,,,,
中正區,建物,基隆市中正區調和街２９８號十一樓之５,0.0,住,,,1120810,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080212,106.72,2,1,1,有,有,有,14000,131,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPRNMLQKQHIGFDC48CC,,,,,,
安樂區,建物,基隆市安樂區樂一路１２巷１０３號４樓,0.0,住,,,1120804,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781229,59.98,2,1,1,有,無,有,8000,133,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPSNMLQKQHIGFDC58CC,,,,,,
中正區,建物,基隆市中正區中正路３３５號三樓之二,0.0,其他,,,1120810,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0960806,97.47,2,1,1,有,有,有,15000,154,,0.0,0,水電費、瓦斯費、網路費及每月管理費1916元皆由承租人負擔。,RPTNMLQKQHIGFDC68CC,,,,,,
信義區,建物,基隆市信義區正信路２２７巷２３弄４８號３樓,0.0,住,,,1120808,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860607,140.89999999999998,3,2,2,有,有,有,14500,103,,0.0,0,水電費、瓦斯費、網路費及每月管理費1008元皆由承租人負擔。,RPUNMLQKQHIGFDC78CC,,,,,,
